,,,,,,,,,Touches,,,,,,,Take-Ons,,,,,Carries,,,,,,,,Receiving,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
182,Neil El Aynaoui,fr FRA,MF,Lens,fr Ligue 1,23-270,2001,11.1,754,34,177,400,183,12,752,18,3,16.7,10,55.6,362,1576,614,9,9,2,14,14,478,18,Matches
183,Ayman Azhil,ma MAR,MF,Dortmund,de Bundesliga,23-353,2001,0.3,9,0,2,4,3,0,9,1,0,0.0,1,100.0,4,12,0,0,0,0,1,1,5,1,Matches
184,Adam Aznou,ma MAR,DFMF,Valladolid,es La Liga,18-300,2006,3.6,199,15,63,100,40,3,199,11,4,36.4,3,27.3,95,473,234,5,4,1,12,4,93,15,Matches
185,Adam Aznou,ma MAR,DF,Bayern Munich,de Bundesliga,18-300,2006,0.2,18,1,1,7,11,0,18,0,0,,0,,12,40,16,0,2,0,0,0,14,2,Matches
186,César Azpilicueta,es ESP,DF,Atlético Madrid,es La Liga,35-213,1989,6.3,498,26,153,269,77,6,498,1,1,100.0,0,0.0,272,1262,899,8,10,0,3,0,357,8,Matches
187,Paulo Azzi,br BRA,DF,Cagliari,it Serie A,30-257,1994,4.7,242,19,66,97,84,8,242,13,8,61.5,4,30.8,119,804,450,15,10,3,3,4,135,26,Matches
188,Oussama El Azzouzi,ma MAR,MF,Bologna,it Serie A,23-304,2001,0.1,6,0,2,4,0,0,6,0,0,,0,,4,25,6,0,0,0,0,0,5,0,Matches
189,Papa Ba,es ESP,MF,Girona,es La Liga,20-198,2004,0.5,20,1,5,10,5,1,20,2,1,50.0,1,50.0,9,69,24,1,0,1,1,1,14,2,Matches
190,Shavy Babicka,ga GAB,MFFW,Toulouse,fr Ligue 1,24-301,2000,11.6,383,4,42,130,225,46,383,35,11,31.4,19,54.3,239,1478,746,30,15,12,24,17,269,108,Matches
191,Jacopo Bacci,it ITA,MF,Empoli,it Serie A,19-283,2005,0.1,8,0,3,5,0,0,8,0,0,,0,,4,24,1,0,0,0,0,0,4,0,Matches
192,Aliou Badara Baldé,gn GUI,MFFW,Bochum,de Bundesliga,22-107,2002,1.0,43,0,2,18,25,2,43,9,2,22.2,6,66.7,30,207,129,2,4,0,5,3,29,5,Matches
193,Loïc Bade,fr FRA,DF,Sevilla,es La Liga,24-352,2000,22.2,1653,220,998,623,43,15,1653,16,12,75.0,2,12.5,917,4415,2196,7,8,0,13,6,1143,4,Matches
194,Milan Badelj,hr CRO,MF,Genoa,it Serie A,36-032,1989,14.9,929,56,244,568,123,13,929,16,8,50.0,6,37.5,446,1741,693,7,7,1,17,9,600,14,Matches
195,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,24-003,2001,3.7,336,31,138,186,13,0,336,1,0,0.0,1,100.0,177,660,340,3,5,0,1,0,247,2,Matches
196,Alex Baena,es ESP,MF,Villarreal,es La Liga,23-252,2001,23.2,1313,16,172,523,650,70,1312,47,17,36.2,23,48.9,740,4563,2664,75,74,10,34,26,854,130,Matches
197,Juma Bah,sl SLE,DF,Valladolid,es La Liga,18-352,2006,9.6,523,85,321,194,10,8,523,4,3,75.0,1,25.0,265,1091,459,0,1,0,3,5,316,1,Matches
198,Juma Bah,sl SLE,DF,Lens,fr Ligue 1,18-352,2006,2.2,106,30,67,37,3,1,106,2,2,100.0,0,0.0,51,204,61,0,1,0,0,2,47,0,Matches
199,Leon Bailey,jm JAM,FWMF,Aston Villa,eng Premier League,27-232,1997,12.6,539,18,76,155,318,69,539,57,22,38.6,24,42.1,344,2540,1334,57,22,33,35,25,386,121,Matches
200,Eric Bailly,ci CIV,DF,Villarreal,es La Liga,30-351,1994,6.4,370,49,179,179,13,5,370,3,3,100.0,0,0.0,185,1004,501,1,4,0,6,1,236,0,Matches
201,Theo Bair,ca CAN,FW,Auxerre,fr Ligue 1,25-214,1999,8.7,258,9,22,111,126,41,258,7,2,28.6,5,71.4,114,544,260,13,4,8,14,7,182,37,Matches
202,Stefan Bajcetic,es ESP,MFDF,Las Palmas,es La Liga,20-158,2004,5.0,254,18,75,142,39,4,254,9,5,55.6,2,22.2,110,499,213,4,3,0,14,4,130,4,Matches
203,Cédric Bakambu,cd COD,FW,Betis,es La Liga,33-352,1991,6.2,163,5,10,67,88,27,163,5,1,20.0,3,60.0,84,407,226,8,4,6,16,9,117,34,Matches
204,Mitchel Bakker,nl NED,MF,Atalanta,it Serie A,24-282,2000,0.2,10,0,2,5,3,0,10,0,0,,0,,6,23,15,0,0,0,0,0,7,1,Matches
205,Mitchel Bakker,nl NED,DFFW,Lille,fr Ligue 1,24-282,2000,9.5,620,10,85,261,278,28,620,15,8,53.3,7,46.7,359,1669,912,36,15,5,14,9,445,94,Matches
206,Darryl Bakola,fr FRA,DFMF,Marseille,fr Ligue 1,17-119,2007,0.2,15,0,4,6,5,0,15,1,0,0.0,1,100.0,9,49,23,0,1,0,0,1,14,0,Matches
207,Ridle Baku,de GER,FWMF,Wolfsburg,de Bundesliga,26-355,1998,13.0,646,15,112,307,234,34,646,20,9,45.0,10,50.0,352,1626,643,16,9,8,15,10,391,78,Matches
208,Ridle Baku,de GER,DFMF,RB Leipzig,de Bundesliga,26-355,1998,8.9,503,28,120,210,177,22,503,18,13,72.2,3,16.7,226,1038,510,15,13,3,15,9,276,59,Matches
209,Dilane Bakwa,fr FRA,MFFW,Strasbourg,fr Ligue 1,22-215,2002,21.3,1044,16,128,438,495,57,1044,92,33,35.9,48,52.2,665,4454,2233,81,57,31,43,28,764,184,Matches
210,Tommaso Baldanzi,it ITA,MFFW,Roma,it Serie A,22-006,2003,7.4,388,4,32,151,214,33,388,33,13,39.4,19,57.6,236,1652,828,32,28,9,12,3,273,50,Matches
211,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,21-162,2003,21.7,1457,35,267,710,505,37,1457,100,41,41.0,39,39.0,911,5852,3036,93,59,11,40,26,1045,216,Matches
212,Keita Baldé,sn SEN,FW,Monza,it Serie A,30-021,1995,3.1,123,0,5,75,45,7,123,9,3,33.3,4,44.4,99,524,263,7,7,2,7,6,114,15,Matches
213,Carlos Baleba,cm CMR,MF,Brighton,eng Premier League,21-085,2004,21.6,1166,54,269,686,244,10,1166,44,25,56.8,16,36.4,621,3661,1851,33,32,2,29,28,681,25,Matches
214,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,26-062,1999,21.0,2396,173,917,1431,65,13,2396,22,15,68.2,7,31.8,1500,6820,4338,9,15,2,15,13,1896,4,Matches
215,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,33-087,1992,8.7,473,29,163,214,101,6,473,4,2,50.0,1,25.0,205,660,285,7,5,2,8,1,238,14,Matches
216,Fodé Ballo-Touré,sn SEN,DF,Le Havre,fr Ligue 1,28-085,1997,2.3,143,6,35,80,31,0,143,7,1,14.3,4,57.1,73,479,272,8,5,0,5,5,83,8,Matches
217,Botond Balogh,hu HUN,DF,Parma,it Serie A,22-296,2002,20.1,1125,237,683,425,21,7,1125,0,0,,0,,593,2629,1364,7,3,0,9,1,678,1,Matches
218,Folarin Balogun,us USA,FW,Monaco,fr Ligue 1,23-269,2001,5.2,157,0,3,60,95,42,157,9,3,33.3,5,55.6,107,561,275,13,6,6,26,7,134,57,Matches
219,Mario Balotelli,it ITA,FWMF,Genoa,it Serie A,34-229,1990,0.7,23,1,4,7,12,1,23,0,0,,0,,10,46,23,0,1,0,1,0,16,5,Matches
220,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,34-338,1990,11.8,543,62,285,237,22,2,543,1,1,100.0,0,0.0,318,1247,535,1,2,0,2,1,350,3,Matches
221,Jonathan Bamba,ci CIV,FWMF,Celta Vigo,es La Liga,29-003,1996,9.0,468,7,74,235,170,21,468,38,15,39.5,19,50.0,307,1885,936,31,15,8,20,13,351,71,Matches
222,Mohamed Bamba,ci CIV,MF,Reims,fr Ligue 1,20-172,2004,0.1,22,1,8,12,2,0,22,0,0,,0,,14,38,18,0,1,0,0,0,17,0,Matches
223,Samuel Bamba,de GER,FWDF,Bochum,de Bundesliga,21-044,2004,0.2,21,0,0,10,12,1,21,3,1,33.3,2,66.7,16,103,41,2,1,1,3,0,17,6,Matches
224,Lameck Banda,zm ZAM,FWMF,Lecce,it Serie A,24-059,2001,5.8,202,4,35,76,97,16,202,24,8,33.3,12,50.0,138,1313,683,20,8,14,13,7,137,36,Matches
225,Daniel Bandeira,pt POR,MF,Hellas Verona,it Serie A,24-352,2000,4.5,266,12,75,171,24,0,266,1,1,100.0,0,0.0,148,750,352,1,2,0,4,6,167,4,Matches
226,Mattia Bani,it ITA,DF,Genoa,it Serie A,31-109,1993,14.8,924,160,602,308,19,6,924,4,2,50.0,0,0.0,489,2094,942,6,1,0,3,3,626,3,Matches
227,Noahkai Banks,us USA,DF,Augsburg,de Bundesliga,18-118,2006,3.1,229,23,94,124,14,2,229,1,0,0.0,1,100.0,123,580,253,2,5,0,2,1,129,3,Matches
228,Scott Banks,sct SCO,FWMF,St. Pauli,de Bundesliga,23-184,2001,1.1,45,2,11,11,24,6,45,7,2,28.6,3,42.9,22,141,59,3,1,3,0,2,25,8,Matches
229,Adrian Baquerin,es ESP,FW,Valladolid,es La Liga,18-025,2007,0.0,2,0,0,2,0,0,2,1,0,0.0,0,0.0,2,4,1,0,0,0,1,0,1,0,Matches
