,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Outcomes,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
100,Julián Álvarez,ar ARG,FWMF,Atlético Madrid,es La Liga,25-057,2000,20.2,667,619,46,4,5,6,37,6,22,10,4,0,491,2,23,Matches
101,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,30-064,1995,15.8,913,867,42,34,1,15,3,1,0,0,0,0,763,4,11,Matches
102,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,22-329,2002,2.6,91,90,0,0,0,0,0,0,0,0,0,0,68,1,3,Matches
103,Will Alves,eng ENG,FW,Leicester City,eng Premier League,20-054,2005,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
104,Selim Amallah,ma MAR,MF,Valladolid,es La Liga,28-134,1996,11.6,310,271,35,15,3,4,29,1,16,7,7,0,240,4,8,Matches
105,Harry Amass,eng ENG,DF,Manchester Utd,eng Premier League,18-013,2007,0.2,20,12,8,0,0,0,1,8,0,0,0,0,14,0,0,Matches
106,Amath,sn SEN,FWDF,Valladolid,es La Liga,28-256,1996,3.5,83,81,2,0,0,2,4,2,0,0,0,0,63,0,6,Matches
107,Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,31-020,1994,8.8,526,428,96,9,0,2,15,87,0,0,0,0,386,2,13,Matches
108,Aurele Amenda,ch SUI,DF,Eint Frankfurt,de Bundesliga,21-241,2003,0.8,47,44,3,1,0,2,0,1,0,0,0,0,41,0,1,Matches
109,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,27-049,1998,17.4,637,488,148,5,3,0,28,143,0,0,0,0,515,1,18,Matches
110,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,29-046,1996,20.1,1433,1288,143,30,1,0,24,113,0,0,0,0,1269,2,21,Matches
111,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,28-153,1996,20.5,1314,1122,182,92,9,9,117,6,77,25,37,1,1006,10,30,Matches
112,Samuel Amo-Ameyaw,eng ENG,FWDF,Southampton,eng Premier League,18-254,2006,0.3,9,8,1,0,0,0,2,0,1,0,0,0,8,0,0,Matches
113,Samuel Amo-Ameyaw,eng ENG,DFFW,Strasbourg,fr Ligue 1,18-254,2006,1.1,44,41,3,0,1,0,4,0,3,1,0,0,36,0,1,Matches
114,Mathis Amougou,fr FRA,MF,Chelsea,eng Premier League,19-070,2006,0.1,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,Matches
115,Mathis Amougou,fr FRA,MF,Saint-Étienne,fr Ligue 1,19-070,2006,9.5,301,290,7,4,1,1,1,1,0,0,0,0,232,4,4,Matches
116,Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,24-324,2000,22.0,605,568,33,0,9,12,30,14,0,0,0,0,425,4,37,Matches
117,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,28-220,1996,2.0,133,122,11,10,0,4,3,1,0,0,0,0,112,0,0,Matches
118,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,28-302,1996,1.0,83,81,2,1,0,0,1,0,1,0,0,0,61,0,0,Matches
119,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,28-302,1996,19.7,1440,1360,74,60,0,27,6,5,0,0,0,0,1200,6,4,Matches
120,Elliot Anderson,eng ENG,MF,Nott'ham Forest,eng Premier League,22-143,2002,22.0,955,880,72,20,6,2,64,2,43,14,26,0,751,3,25,Matches
121,André,br BRA,MF,Wolves,eng Premier League,23-256,2001,19.4,899,873,24,21,4,12,0,1,0,0,0,0,833,2,11,Matches
122,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,34-238,1990,22.9,1492,1446,42,38,0,17,12,4,0,0,0,0,1239,4,23,Matches
123,Marcos André,br BRA,FW,Valladolid,es La Liga,28-160,1996,13.0,207,183,22,2,3,6,1,1,0,0,0,0,136,2,5,Matches
124,Robert Andrich,de GER,MFDF,Leverkusen,de Bundesliga,30-188,1994,14.6,787,766,20,13,2,5,9,3,0,0,0,0,699,1,3,Matches
125,Angeliño,es ESP,DF,Roma,it Serie A,28-084,1997,26.3,1575,1354,216,31,1,16,81,178,6,2,4,0,1251,5,22,Matches
126,Lorenzo Anghelè,it ITA,FW,Juventus,it Serie A,20-031,2005,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
127,Faustino Anjorin,eng ENG,MF,Empoli,it Serie A,23-126,2001,10.9,382,365,16,8,2,3,13,0,4,1,2,0,309,1,7,Matches
128,Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,28-252,1996,13.7,1359,1303,56,28,2,6,18,25,0,0,0,0,1238,0,12,Matches
129,Leandro Antonetti,pr PUR,FW,Sevilla,es La Liga,22-075,2003,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
130,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,35-001,1990,9.3,188,175,11,0,3,6,25,7,0,0,0,0,114,2,14,Matches
131,Antoniu,es ESP,MFFW,Espanyol,es La Liga,22-205,2002,5.5,117,115,1,0,0,0,13,1,0,0,0,0,77,1,6,Matches
132,Antony,br BRA,DFMF,Manchester Utd,eng Premier League,25-033,2000,1.6,69,62,7,2,0,0,5,5,0,0,0,0,56,0,1,Matches
133,Antony,br BRA,FW,Betis,es La Liga,25-033,2000,6.6,329,310,18,2,2,2,16,7,9,2,2,0,264,1,9,Matches
134,Anuar,ma MAR,MFFW,Valladolid,es La Liga,30-073,1995,14.2,353,333,20,6,1,0,15,10,1,0,0,0,283,0,5,Matches
135,Dennis Appiah,fr FRA,DF,Saint-Étienne,fr Ligue 1,32-293,1992,17.6,870,697,170,13,3,2,38,157,0,0,0,0,656,3,35,Matches
136,Aritz Arambarri,es ESP,DF,Leganés,es La Liga,27-057,1998,2.0,67,65,2,2,0,1,0,0,0,0,0,0,49,0,1,Matches
137,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,29-180,1995,21.1,573,552,17,12,2,6,13,0,1,1,0,0,414,4,6,Matches
138,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,22-249,2002,21.3,1153,917,235,26,0,1,37,209,0,0,0,0,894,1,30,Matches
139,Julian Araujo,mx MEX,DF,Bournemouth,eng Premier League,23-228,2001,3.9,166,141,25,1,0,0,4,24,0,0,0,0,131,0,2,Matches
140,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,26-022,1999,2.6,262,251,10,7,0,0,0,2,0,0,0,0,243,1,0,Matches
141,Cameron Archer,eng ENG,FW,Southampton,eng Premier League,23-251,2001,13.1,199,183,16,0,2,0,3,0,0,0,0,0,161,0,7,Matches
142,Carlens Arcus,ht HAI,DF,Angers,fr Ligue 1,28-274,1996,18.1,816,670,142,18,2,3,43,123,1,0,0,0,648,4,14,Matches
143,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,32-030,1993,17.1,683,484,195,47,0,2,0,0,0,0,0,0,477,4,2,Matches
144,Adu Ares,es ESP,FW,Athletic Club,es La Liga,23-168,2001,0.2,9,9,0,0,0,0,1,0,0,0,0,0,5,0,1,Matches
145,Jesús Areso,es ESP,DF,Osasuna,es La Liga,25-270,1999,24.5,1158,878,276,2,0,3,126,273,1,0,0,0,823,4,50,Matches
146,David Argüelles,es ESP,MF,Getafe,es La Liga,23-087,2002,0.1,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
147,Joe Aribo,ng NGA,MFDF,Southampton,eng Premier League,28-251,1996,20.3,958,945,12,3,2,1,9,4,0,0,0,0,847,1,15,Matches
148,Adam Armstrong,eng ENG,FWMF,Southampton,eng Premier League,28-047,1997,13.9,288,268,18,0,0,1,14,3,0,0,0,0,231,2,12,Matches
149,Harrison Armstrong,eng ENG,MF,Everton,eng Premier League,18-069,2007,0.5,15,13,1,0,0,0,1,0,0,0,0,0,7,1,0,Matches
150,José Arnaiz,es ESP,MFFW,Osasuna,es La Liga,29-348,1995,1.2,58,49,9,3,0,1,13,1,5,4,0,0,36,0,4,Matches
151,Hákon Arnar Haraldsson,is ISL,MFFW,Lille,fr Ligue 1,21-353,2003,13.4,693,655,36,8,2,3,32,8,18,6,7,0,557,2,16,Matches
152,Marko Arnautović,at AUT,FW,Inter,it Serie A,35-344,1989,2.7,76,74,2,0,0,0,3,0,0,0,0,0,51,0,2,Matches
153,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,30-306,1994,20.9,1068,894,172,89,1,14,115,2,64,37,26,1,835,2,13,Matches
154,Jann-Fiete Arp,de GER,FWMF,Holstein Kiel,de Bundesliga,25-082,2000,7.5,159,133,21,3,1,4,20,7,7,5,2,0,96,5,6,Matches
155,Sergio Arribas,es ESP,DF,Betis,es La Liga,22-047,2003,1.0,54,40,13,1,0,0,0,12,0,0,0,0,37,1,2,Matches
156,Kepa Arrizabalaga,es ESP,GK,Bournemouth,eng Premier League,30-177,1994,22.0,712,505,203,62,0,0,0,0,0,0,0,0,502,4,1,Matches
157,Arthur,br BRA,DFFW,Leverkusen,de Bundesliga,22-012,2003,5.7,258,225,33,0,0,0,12,33,0,0,0,0,200,0,10,Matches
158,Takuma Asano,jp JPN,FWMF,Mallorca,es La Liga,30-139,1994,9.2,168,167,1,0,0,2,18,0,0,0,0,0,106,0,13,Matches
