,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches,-9999
2189,Niklas Pyyhtiä,fi FIN,MF,Bologna,it Serie A,17,2003,0.2,22,21,1,1,0,2,0,0,0,0,0,0,14,3,5,18,3,1,0,0,18,0,0,0,0,Matches,88f53b75
2190,Yacine Qasmi,ma MAR,MF,Rayo Vallecano,es La Liga,30,1991,0.0,3,3,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,Matches,3b3cbebb
2191,Fabio Quagliarella,it ITA,FW,Sampdoria,it Serie A,38,1983,18.5,472,434,38,0,0,125,28,17,0,0,0,0,264,98,110,109,315,26,2,5,322,3,9,28,30,Matches,ee4f2f3b
2192,Quini,es ESP,DF,Granada,es La Liga,31,1989,25.6,960,738,222,4,1,133,21,46,0,0,0,0,431,256,273,101,562,54,218,2,678,5,34,24,40,Matches,7a538238
2193,Dani Raba,es ESP,MFFW,Granada,es La Liga,25,1995,0.3,5,5,0,0,0,0,0,0,0,0,0,0,4,1,0,2,3,0,0,0,4,0,0,0,0,Matches,ea6a7ab4
2194,Dani Raba,es ESP,MFFW,Villarreal,es La Liga,25,1995,1.0,44,33,11,3,1,11,3,3,4,2,2,0,30,3,11,31,10,1,1,0,30,0,1,2,0,Matches,ea6a7ab4
2195,Adrien Rabiot,fr FRA,MF,Juventus,it Serie A,26,1995,25.4,1041,1010,31,25,0,195,8,20,0,0,0,0,794,125,122,674,254,55,6,10,861,1,14,22,30,Matches,8794e251
2196,Uroš Račić,rs SRB,MF,Valencia,es La Liga,23,1998,13.4,506,492,14,9,1,114,36,6,0,0,0,0,304,58,144,61,367,45,1,5,380,0,16,16,15,Matches,faed84db
2197,Nemanja Radoja,rs SRB,MF,Levante,es La Liga,28,1993,13.5,480,466,14,8,0,101,7,4,0,0,0,0,346,63,71,94,344,22,2,1,403,1,6,9,19,Matches,b5dd3469
2198,Nemanja Radonjić,rs SRB,MF,Marseille,fr Ligue 1,25,1996,0.2,10,10,0,0,0,2,0,1,0,0,0,0,8,2,0,1,9,0,0,0,9,0,0,0,0,Matches,0630eb63
2199,Ivan Radovanović,rs SRB,DFMF,Salernitana,it Serie A,32,1988,11.7,509,481,28,25,0,85,17,1,0,0,0,0,334,49,126,65,385,37,1,1,426,0,9,9,5,Matches,023937a9
2200,Ionuț Radu,ro ROU,GK,Inter,it Serie A,24,1997,1.0,23,19,4,0,0,4,0,0,0,0,0,0,14,0,9,2,19,0,0,2,19,0,0,0,0,Matches,67f649be
2201,Ștefan Radu,ro ROU,DF,Lazio,it Serie A,34,1986,6.2,326,287,39,3,0,29,2,7,0,0,0,0,225,43,58,228,41,14,36,0,267,0,8,12,8,Matches,53de807a
2202,Boris Radunović,rs SRB,GK,Cagliari,it Serie A,25,1996,3.0,103,66,37,9,0,11,2,0,0,0,0,0,30,6,67,3,77,0,0,11,58,0,2,0,1,Matches,0dfce079
2203,Sidney Raebiger,de GER,MF,RB Leipzig,de Bundesliga,16,2005,0.0,2,2,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,Matches,a8090a41
2204,Rafinha,br BRA,MFFW,Real Sociedad,es La Liga,28,1993,11.7,681,648,33,16,0,157,17,11,11,5,5,0,536,78,67,557,83,16,2,7,591,3,10,17,11,Matches,0c2ac3cb
2205,Rafinha,br BRA,FWMF,Paris S-G,fr Ligue 1,28,1993,2.4,185,182,3,2,0,32,1,0,1,0,0,1,158,20,7,158,23,0,0,2,168,0,1,7,2,Matches,0c2ac3cb
2206,Antonio Raillo,es ESP,DF,Mallorca,es La Liga,29,1991,17.0,615,581,34,32,0,73,15,1,0,0,0,0,436,69,110,94,448,49,1,3,532,2,9,9,4,Matches,b857bd29
2207,Antonio Raimondo,it ITA,FW,Bologna,it Serie A,17,2004,0.8,13,12,1,0,0,1,0,0,0,0,0,0,7,5,1,6,4,2,0,0,10,0,0,0,2,Matches,ce1a6c7e
2208,Predrag Rajković,rs SRB,GK,Reims,fr Ligue 1,25,1995,38.0,1259,864,395,112,1,88,27,0,0,0,0,0,632,64,563,159,833,1,0,205,890,6,36,6,3,Matches,58ad9383
2209,Jesuran Rak Sakyi,eng ENG,FWMF,Crystal Palace,eng Premier League,18,2002,0.9,30,28,2,2,0,17,1,1,0,0,0,0,23,6,1,27,3,0,0,0,25,0,0,2,1,Matches,45685411
2210,Ivan Rakitić,hr CRO,MF,Sevilla,es La Liga,33,1988,24.2,1652,1491,161,90,3,172,114,30,52,3,40,1,1165,167,320,183,1353,63,18,9,1396,4,32,36,38,Matches,89f951b5
2211,Diant Ramaj,de GER,GK,Eint Frankfurt,de Bundesliga,19,2001,1.0,40,32,8,4,0,5,0,0,0,0,0,0,23,1,16,7,24,0,0,6,28,0,2,0,0,Matches,b90c4a43
2212,Jonás Ramalho,es ESP,DF,Osasuna,es La Liga,28,1993,2.7,130,109,21,0,0,22,1,3,0,0,0,0,80,23,27,4,92,5,21,0,97,0,5,1,8,Matches,be3a0121
2213,Adil Rami,fr FRA,DF,Troyes,fr Ligue 1,35,1985,13.0,519,499,20,16,0,59,34,0,0,0,0,0,379,43,97,58,429,16,4,1,440,2,21,7,5,Matches,8dbff17c
2214,Sandro Ramírez,es ESP,FW,Getafe,es La Liga,26,1995,16.2,394,367,27,3,1,106,8,28,4,4,0,0,279,63,52,42,298,25,5,9,287,1,6,14,24,Matches,833fb62e
2215,Guilherme Ramos,pt POR,DF,Arminia,de Bundesliga,23,1997,10.1,456,417,39,8,0,68,9,6,0,0,0,0,236,58,162,35,319,45,31,0,313,2,15,17,13,Matches,df9c3473
2216,Sergio Ramos,es ESP,DF,Paris S-G,fr Ligue 1,35,1986,8.9,822,806,16,14,1,67,51,0,0,0,0,0,695,38,89,92,699,19,2,4,776,1,10,12,3,Matches,08511d65
2217,Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,23,1998,34.0,1156,880,276,83,0,88,35,0,0,0,0,0,612,45,499,83,862,1,1,157,788,3,46,17,4,Matches,466fb2c5
2218,Aaron Ramsey,wls WAL,MF,Juventus,it Serie A,30,1990,1.1,67,63,4,3,0,9,2,0,0,0,0,0,52,7,8,29,34,4,0,0,60,0,0,2,0,Matches,ef619b0b
2219,Jacob Ramsey,eng ENG,MF,Aston Villa,eng Premier League,20,2001,27.4,1042,1025,17,8,1,174,16,16,0,0,0,0,881,78,83,180,812,26,5,0,898,2,13,27,32,Matches,1544f145
2220,Luca Ranieri,it ITA,DF,Salernitana,it Serie A,22,1999,23.4,981,782,199,24,1,103,9,43,1,0,1,0,466,175,340,687,64,40,174,2,694,4,11,44,47,Matches,8c63fae5
2221,Andrea Ranocchia,it ITA,DF,Inter,it Serie A,33,1988,3.8,186,179,7,6,0,22,1,1,0,0,0,0,147,20,19,20,152,9,0,0,177,0,0,3,0,Matches,539230cf
2222,Raphinha,br BRA,FWMF,Leeds United,eng Premier League,24,1996,32.4,1281,1098,183,44,5,185,74,90,77,50,14,3,717,223,341,1047,117,25,59,14,817,0,29,74,60,Matches,3423f250
2223,Tobias Raschl,de GER,MF,Greuther Fürth,de Bundesliga,21,2000,6.6,264,256,8,7,0,49,3,0,0,0,0,0,218,20,26,34,227,2,1,0,210,0,0,17,11,Matches,bd992863
2224,Elba Rashani,xk KVX,FWMF,Clermont Foot,fr Ligue 1,28,1993,19.5,571,561,10,0,2,116,10,29,4,0,2,0,432,78,61,417,105,25,5,4,440,1,12,27,29,Matches,25749008
2225,Marcus Rashford,eng ENG,FWMF,Manchester Utd,eng Premier League,23,1997,13.7,422,413,9,2,0,77,3,25,0,0,0,0,309,64,49,39,346,17,3,4,297,3,9,22,22,Matches,a1d5bd30
2226,Milot Rashica,xk KVX,FWMF,Norwich City,eng Premier League,25,1996,24.8,597,518,79,23,1,108,42,80,42,20,15,1,348,78,171,103,436,29,14,3,376,2,17,25,27,Matches,6c6a3300
2227,Giacomo Raspadori,it ITA,MFFW,Sassuolo,it Serie A,21,2000,30.4,1076,989,87,26,2,239,40,27,40,18,11,4,791,140,145,312,726,14,6,12,845,6,16,47,38,Matches,6e058f06
2228,Raúl,es ESP,FW,Betis,es La Liga,20,2000,0.0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches,18f0a9f0
2229,David Raum,de GER,DF,Hoffenheim,de Bundesliga,23,1998,30.6,1988,1540,448,50,0,239,79,182,104,46,35,4,1048,469,471,1477,138,57,294,2,1476,6,40,73,85,Matches,7d450ed3
2230,Nicola Ravaglia,it ITA,GK,Sampdoria,it Serie A,32,1988,0.1,4,2,2,0,0,1,0,0,0,0,0,0,0,0,4,0,4,0,0,0,2,0,0,0,0,Matches,d7a35008
2231,David Raya,es ESP,GK,Brentford,eng Premier League,25,1995,24.0,1051,771,280,80,0,80,50,0,0,0,0,0,433,33,585,77,778,2,0,116,705,6,38,18,4,Matches,98ea5115
2232,Ante Rebić,hr CRO,FW,Milan,it Serie A,27,1993,9.9,304,296,8,0,0,58,11,33,0,0,0,0,199,45,60,75,203,11,3,7,196,1,7,25,19,Matches,536cebe5
2233,Arkadiusz Reca,pl POL,DF,Spezia,it Serie A,26,1995,19.7,889,699,190,8,0,119,12,36,0,0,0,0,474,194,221,488,159,42,182,5,626,7,22,45,41,Matches,6213fd82
2234,Lluís Recasens,es ESP,DF,Espanyol,es La Liga,19,2002,0.5,12,12,0,0,0,1,0,0,0,0,0,0,7,2,3,2,8,1,0,0,8,0,0,0,0,Matches,c31ea173
2235,Nathan Redmond,eng ENG,MFFW,Southampton,eng Premier League,27,1994,20.4,726,688,38,2,4,155,12,51,13,5,7,0,473,106,147,63,615,29,3,2,511,2,11,36,22,Matches,ab651565
2236,Sergio Reguilón,es ESP,DF,Tottenham,eng Premier League,24,1996,21.3,986,821,165,18,1,98,29,59,10,6,1,0,593,184,209,740,60,35,137,1,744,4,12,34,43,Matches,3353737a
2237,Manolo Reina,es ESP,GK,Mallorca,es La Liga,36,1985,21.0,640,370,270,87,1,36,25,0,0,0,0,0,250,12,378,49,489,0,0,69,400,5,28,6,1,Matches,605eb473
2238,Pepe Reina,es ESP,GK,Lazio,it Serie A,38,1982,15.0,525,397,128,28,0,40,13,0,0,0,0,0,320,37,168,67,372,1,1,70,428,0,7,10,0,Matches,e358587b
2239,Jeff Reine-Adélaïde,fr FRA,MF,Lyon,fr Ligue 1,23,1998,2.2,169,159,10,5,2,22,4,0,2,0,1,0,144,9,16,13,152,1,2,1,145,2,2,2,2,Matches,d504b3e1
2240,Reinier,br BRA,FWMF,Dortmund,de Bundesliga,19,2002,1.8,82,80,2,1,0,25,4,1,0,0,0,0,65,8,9,7,72,2,1,0,66,0,0,3,4,Matches,6b21b7b5
2241,Karim Rekik,nl NED,DF,Sevilla,es La Liga,26,1994,12.2,757,715,42,5,1,65,8,5,0,0,0,0,627,69,61,554,118,31,37,1,693,2,7,7,6,Matches,3376a776
2242,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,26,1995,35.0,1251,900,351,108,0,112,41,0,0,0,0,0,652,51,548,147,925,1,0,118,943,2,37,13,2,Matches,374ee424
2243,Panagiotis Retsos,gr GRE,DFFW,Leverkusen,de Bundesliga,22,1998,0.4,12,11,1,1,0,2,0,0,0,0,0,0,11,1,0,5,7,0,0,0,10,0,0,1,0,Matches,4bd00a50
2244,Panagiotis Retsos,gr GRE,DFMF,Hellas Verona,it Serie A,22,1998,0.6,22,19,3,1,0,1,1,0,0,0,0,0,13,4,5,2,14,4,2,0,14,0,0,1,0,Matches,4bd00a50
2245,Marco Reus,de GER,MFFW,Dortmund,de Bundesliga,32,1989,27.8,1268,1192,76,46,4,240,22,36,9,3,2,0,1007,132,129,310,908,24,5,12,1026,8,6,63,42,Matches,36a3ff67
2246,Elvis Rexhbeçaj,de GER,MF,Bochum,de Bundesliga,23,1997,28.2,812,757,55,29,0,153,24,29,17,7,3,0,478,125,209,565,151,69,3,5,538,5,18,46,38,Matches,1ae836b1
2247,Gio Reyna,us USA,MF,Dortmund,de Bundesliga,18,2002,4.9,262,234,28,13,1,55,6,6,13,8,3,0,204,28,30,21,227,7,1,3,205,0,3,11,14,Matches,7fa4e703
2248,Bryan Reynolds,us USA,DF,Roma,it Serie A,20,2001,0.0,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,2,0,0,0,0,Matches,2306bf5c
2249,Nico Ribaudo,es ESP,MFFW,Espanyol,es La Liga,20,2001,12.4,434,418,16,3,1,92,15,6,10,8,0,0,332,35,67,40,361,14,2,6,367,1,4,11,11,Matches,ce8039aa
2250,Tiago Ribeiro,pt POR,FW,Monaco,fr Ligue 1,19,2002,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,Matches,507d7569
2251,Franck Ribéry,fr FRA,MFFW,Salernitana,it Serie A,38,1983,15.8,665,596,69,20,3,134,23,24,24,10,7,4,507,79,79,87,537,20,10,7,517,2,8,21,37,Matches,f61c7c4e
2252,Samuele Ricci,it ITA,MF,Torino,it Serie A,19,2001,8.0,380,364,16,14,0,43,6,2,0,0,0,0,324,26,30,25,344,8,0,2,348,0,2,8,5,Matches,9823be92
2253,Samuele Ricci,it ITA,MF,Empoli,it Serie A,19,2001,17.0,921,883,38,37,0,134,19,2,1,1,0,0,750,55,116,89,807,18,0,1,820,2,8,19,12,Matches,9823be92
2254,Declan Rice,eng ENG,MF,West Ham,eng Premier League,22,1999,35.3,2151,2121,30,23,1,309,85,37,0,0,0,0,1752,143,256,297,1725,86,7,2,1950,6,19,30,22,Matches,1c7012b8
2255,Chris Richards,us USA,DF,Hoffenheim,de Bundesliga,21,2000,14.5,968,938,30,21,0,150,10,0,0,0,0,0,748,82,138,293,565,58,4,3,839,0,11,23,11,Matches,0a3d6d2b
2256,Chris Richards,us USA,DF,Bayern Munich,de Bundesliga,21,2000,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,Matches,0a3d6d2b
2257,Omar Richards,eng ENG,DF,Bayern Munich,de Bundesliga,23,1998,4.9,359,300,59,12,0,53,3,6,0,0,0,0,270,67,22,247,58,4,47,0,316,0,5,11,9,Matches,f9b1b7bf
2258,Taylor Richards,eng ENG,MFFW,Brighton,eng Premier League,20,2000,0.3,27,27,0,0,0,2,0,0,0,0,0,0,26,0,1,26,1,0,0,0,23,0,0,1,1,Matches,e0243d23
2259,Richarlison,br BRA,FWMF,Everton,eng Premier League,24,1997,28.0,570,553,17,1,3,214,12,29,0,0,0,0,357,120,93,103,377,48,1,9,352,3,20,35,51,Matches,fa031b34
2260,Marco Richter,de GER,FWMF,Hertha BSC,de Bundesliga,23,1997,18.9,530,487,43,13,0,101,27,38,13,3,9,0,305,96,129,115,361,24,16,7,352,1,24,33,22,Matches,f972644c
2261,Diego Rico,es ESP,DF,Real Sociedad,es La Liga,28,1993,18.3,1131,893,238,27,0,127,11,41,3,0,2,0,591,272,268,792,54,53,208,4,859,6,17,48,46,Matches,d9ba39fc
2262,Sergio Rico,es ESP,GK,Mallorca,es La Liga,27,1993,14.0,359,219,140,49,0,20,7,0,0,0,0,0,133,9,217,31,268,0,0,46,246,0,11,2,0,Matches,5f0241b2
2263,Sergio Rico,es ESP,GK,Paris S-G,fr Ligue 1,27,1993,0.3,8,6,2,2,0,0,0,0,0,0,0,0,4,1,3,0,6,0,0,1,7,0,0,0,0,Matches,5f0241b2
2264,Jaïro Riedewald,nl NED,MF,Crystal Palace,eng Premier League,24,1996,1.3,54,49,5,2,0,8,3,0,2,1,1,0,42,5,7,42,9,2,1,0,45,0,1,2,2,Matches,7a1f2c08
2265,Manuel Riemann,de GER,GK,Bochum,de Bundesliga,32,1988,31.0,1648,1264,384,139,2,156,105,0,0,0,0,0,413,60,1175,149,1232,6,0,103,1026,9,63,33,4,Matches,9f941969
2266,Tomás Rincón,ve VEN,MF,Sampdoria,it Serie A,33,1988,13.0,591,572,19,18,1,113,20,3,0,0,0,0,423,69,99,49,499,27,1,2,500,2,11,21,11,Matches,f1cfc209
2267,Tomás Rincón,ve VEN,MFFW,Torino,it Serie A,33,1988,1.8,93,89,4,3,0,15,7,2,0,0,0,0,64,12,17,14,69,4,1,1,78,1,1,0,1,Matches,f1cfc209
2268,Luis Rioja,es ESP,FWMF,Alavés,es La Liga,27,1993,34.6,932,864,68,28,0,177,35,116,25,8,14,0,563,156,213,766,78,42,15,7,560,5,23,48,63,Matches,eb3dd471
2269,Renaud Ripart,fr FRA,FWDF,Troyes,fr Ligue 1,28,1993,21.0,679,631,48,6,3,153,21,39,1,0,1,0,446,125,108,153,422,30,34,8,485,1,12,41,32,Matches,beae3a73
2270,Mihailo Ristić,rs SRB,DF,Montpellier,fr Ligue 1,25,1995,20.0,1057,832,225,23,4,121,28,49,0,0,0,0,578,231,248,664,148,26,202,2,804,5,23,31,33,Matches,ea0aa7e0
2271,Matt Ritchie,sct SCO,DF,Newcastle Utd,eng Premier League,31,1989,14.9,703,517,186,34,1,74,45,45,48,30,17,0,330,151,222,447,109,33,103,2,511,3,13,22,15,Matches,71ef519e
2272,Maxence Rivera,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2002,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,Matches,46a7b605
2273,Rober,es ESP,DF,Levante,es La Liga,26,1995,22.3,1042,1004,38,33,0,122,26,4,0,0,0,0,680,109,253,164,788,63,3,11,846,2,30,24,16,Matches,c00097d2
2274,Sergi Roberto,es ESP,MFDF,Barcelona,es La Liga,29,1992,4.4,268,248,20,9,0,31,2,7,0,0,0,0,217,23,28,45,201,10,11,0,241,0,5,4,3,Matches,335fa267
2275,Connor Roberts,wls WAL,DF,Burnley,eng Premier League,25,1995,18.8,834,639,195,8,2,81,13,28,2,0,0,0,433,120,281,55,529,49,185,1,562,2,12,38,26,Matches,24fae784
2276,Patrick Roberts,eng ENG,DF,Troyes,fr Ligue 1,24,1997,0.2,6,6,0,0,0,1,0,0,0,0,0,0,5,1,0,5,1,0,0,0,5,0,0,0,1,Matches,59d93937
2277,Tyler Roberts,wls WAL,MFFW,Leeds United,eng Premier League,22,1999,11.0,301,284,17,2,0,58,7,16,0,0,0,0,211,52,38,43,236,11,4,2,222,0,14,8,13,Matches,6c17e046
2278,Andrew Robertson,sct SCO,DF,Liverpool,eng Premier League,27,1994,28.2,2294,1942,352,52,2,165,69,89,80,8,67,0,1525,359,410,1843,136,68,220,3,1859,7,24,58,66,Matches,2e4f5f03
2279,Marc Roca,es ESP,MF,Bayern Munich,de Bundesliga,24,1996,4.2,296,285,11,5,0,36,13,1,4,0,4,0,235,19,42,227,48,15,2,3,256,0,2,5,5,Matches,da27e268
2280,Rubén Rochina,es ESP,MFFW,Granada,es La Liga,30,1991,8.3,379,342,37,14,2,63,26,18,17,8,4,0,205,60,114,321,29,11,5,6,259,4,13,20,9,Matches,ecd8c01e
2281,Cimo Röcker,de GER,DF,Hertha BSC,de Bundesliga,27,1994,0.2,17,17,0,0,1,5,0,0,0,0,0,0,9,3,5,13,1,1,0,0,11,0,1,1,0,Matches,611b1aae
2282,Enzo Roco,cl CHI,DF,Elche,es La Liga,28,1992,28.4,1135,1068,67,66,0,134,49,0,0,0,0,0,752,119,264,131,879,75,1,6,950,5,26,15,10,Matches,37f827ec
2283,Stian Rode Gregersen,no NOR,DF,Bordeaux,fr Ligue 1,26,1995,21.7,923,899,24,14,0,104,20,5,0,0,0,0,704,73,146,69,770,44,10,3,787,2,20,21,14,Matches,5f011e05
2284,Sebastian Rode,de GER,MF,Eint Frankfurt,de Bundesliga,30,1990,8.4,424,412,12,8,1,68,5,3,1,1,0,0,273,80,71,52,328,30,3,3,344,1,6,20,5,Matches,e12b0b5b
2285,Joe Rodon,wls WAL,DF,Tottenham,eng Premier League,23,1997,1.0,31,31,0,0,0,4,0,0,0,0,0,0,24,4,3,0,27,1,0,0,28,0,1,0,0,Matches,8d62d31a
2286,Rodri,es ESP,MF,Manchester City,eng Premier League,25,1996,32.0,2796,2755,41,35,2,464,103,8,0,0,0,0,2177,234,385,371,2248,102,6,5,2587,5,19,39,15,Matches,6434f10d
2287,Rodrigo,es ESP,FW,Betis,es La Liga,21,2000,9.8,414,408,6,2,2,59,4,16,1,0,0,0,339,33,42,372,32,5,3,0,340,0,7,19,10,Matches,85bed4ee
2288,Rodrigo,es ESP,MFFW,Leeds United,eng Premier League,30,1991,25.2,895,838,57,8,5,189,26,28,10,3,3,1,598,173,124,710,96,39,10,18,667,2,18,55,35,Matches,1fb1c435
2289,Gerson Rodrigues,lu LUX,FW,Troyes,fr Ligue 1,26,1995,9.4,221,197,24,1,0,50,5,3,5,4,0,0,147,35,39,7,191,8,3,2,166,1,7,6,11,Matches,3814b753
2290,Kévin Rodrigues,pt POR,DFFW,Rayo Vallecano,es La Liga,27,1994,4.8,225,171,54,6,0,18,7,7,1,1,0,0,126,58,41,136,28,9,47,0,162,1,8,13,10,Matches,f1bed920
2291,Ángel Rodríguez,es ESP,FW,Mallorca,es La Liga,34,1987,17.2,273,261,12,0,2,77,8,8,0,0,0,0,175,51,47,31,214,14,1,6,198,1,8,14,15,Matches,8cfc2f69
2292,Óscar Rodríguez Arnaiz,es ESP,FWMF,Sevilla,es La Liga,23,1998,4.6,210,193,17,4,1,26,14,7,12,1,8,0,146,21,43,28,170,7,1,2,166,0,3,7,6,Matches,19709006
2293,Óscar Rodríguez Arnaiz,es ESP,MFFW,Getafe,es La Liga,23,1998,10.5,424,386,38,21,2,65,27,19,14,8,5,0,256,58,110,56,333,21,3,3,321,1,12,11,13,Matches,19709006
2294,Dani Rodríguez,es ESP,MFFW,Mallorca,es La Liga,33,1988,31.5,975,911,64,22,3,222,31,31,25,11,2,1,655,126,194,166,714,39,7,7,741,3,26,33,39,Matches,70f8e0bd
2295,Guido Rodríguez,ar ARG,MF,Betis,es La Liga,27,1994,28.1,1435,1374,61,57,0,222,53,3,0,0,0,0,1044,169,222,113,1204,84,4,5,1243,1,15,29,24,Matches,34e393f2
2296,Jay Rodriguez,eng ENG,FW,Burnley,eng Premier League,32,1989,15.4,319,315,4,0,0,106,3,8,0,0,0,0,165,72,82,13,207,39,1,14,209,2,9,8,11,Matches,4ab53cdb
2297,Ricardo Rodríguez,ch SUI,DF,Torino,it Serie A,28,1992,27.5,1461,1371,90,34,0,208,78,12,45,26,17,0,1092,99,270,1006,352,50,11,4,1259,9,21,16,19,Matches,7f78ad23
2298,Rodrygo,br BRA,FW,Real Madrid,es La Liga,20,2001,16.9,673,632,41,3,0,104,10,24,26,5,8,1,548,65,60,51,584,15,9,4,558,4,8,18,24,Matches,8f5e92a6
2299,Mads Roerslev,dk DEN,DF,Brentford,eng Premier League,22,1999,13.8,344,319,25,0,0,47,5,23,0,0,0,0,182,65,97,14,271,23,25,2,230,1,10,16,11,Matches,57c94db2
2300,Marko Rog,hr CRO,MF,Cagliari,it Serie A,26,1995,3.5,147,137,10,6,0,29,2,1,1,1,0,0,113,19,15,20,112,4,3,1,122,0,1,4,4,Matches,b6b2b820
2301,Rogério,br BRA,DF,Sassuolo,it Serie A,23,1998,19.2,1139,975,164,27,0,142,42,55,20,0,19,0,767,196,176,901,85,23,117,6,944,4,10,24,35,Matches,10e7f486
2302,Alessio Romagnoli,it ITA,DF,Milan,it Serie A,26,1995,15.7,980,932,48,33,0,77,12,1,0,0,0,0,760,80,140,780,126,34,2,5,877,1,8,12,11,Matches,3ead85f9
2303,Simone Romagnoli,it ITA,DF,Empoli,it Serie A,31,1990,16.6,772,712,60,42,0,104,7,3,0,0,0,0,480,89,203,109,576,48,1,1,609,7,14,23,5,Matches,09899de8
2304,Leonardo Román,es ESP,GK,Mallorca,es La Liga,21,2000,2.0,69,46,23,7,0,5,3,0,0,0,0,0,34,4,31,2,58,0,0,6,49,0,2,2,0,Matches,924ff27e
2305,Cristian Romero,ar ARG,DF,Tottenham,eng Premier League,23,1998,20.5,1278,1237,41,32,1,160,29,2,0,0,0,0,1009,109,160,56,1133,45,9,8,1117,1,14,30,21,Matches,a3d94a58
2306,Iván Romero,es ESP,FW,Sevilla,es La Liga,20,2001,2.0,37,33,4,1,0,6,0,0,0,0,0,0,30,5,2,3,31,2,0,1,30,0,1,0,3,Matches,2fbe6af0
2307,Luka Romero,ar ARG,FW,Lazio,it Serie A,16,2004,0.9,35,32,3,0,0,5,1,1,2,0,0,0,31,2,2,33,1,0,1,0,33,0,1,1,0,Matches,ca6edaa0
2308,Sergio Romero,ar ARG,GK,Venezia,it Serie A,34,1987,16.0,590,402,188,47,0,32,11,0,0,0,0,0,283,35,272,97,361,0,0,101,421,1,12,13,1,Matches,1e26e376
2309,Oriol Romeu,es ESP,MF,Southampton,eng Premier League,29,1991,32.1,1685,1649,36,34,4,346,58,7,0,0,0,0,1185,155,345,249,1265,104,1,4,1396,5,24,35,29,Matches,4b511457
2310,Cristiano Ronaldo,pt POR,FW,Manchester Utd,eng Premier League,36,1985,27.3,888,857,31,2,2,175,9,12,0,0,0,0,687,125,76,118,682,40,6,20,718,3,10,38,30,Matches,dea698d9
2311,Cristiano Ronaldo,pt POR,FW,Juventus,it Serie A,36,1985,0.3,12,11,1,0,0,0,0,0,0,0,0,0,9,2,1,1,10,0,0,1,9,0,0,1,0,Matches,dea698d9
2312,Salomón Rondón,ve VEN,FW,Everton,eng Premier League,31,1989,8.8,192,186,6,0,0,73,2,3,0,0,0,0,90,60,42,27,93,26,1,9,128,0,3,7,8,Matches,b318a643
2313,Valentin Rongier,fr FRA,DFMF,Marseille,fr Ligue 1,26,1994,24.4,1962,1800,162,38,2,274,42,15,0,0,0,0,1559,217,186,332,1431,52,122,6,1773,4,16,42,28,Matches,ed45c4a5
2314,Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,28,1992,7.0,255,197,58,15,0,24,0,0,0,0,0,0,110,6,139,36,173,0,0,28,164,1,2,6,2,Matches,a70b8345
2315,Marten de Roon,nl NED,MFDF,Atalanta,it Serie A,30,1991,28.3,1674,1602,72,48,1,207,63,0,1,1,0,0,1238,161,275,250,1262,92,23,2,1443,3,20,32,17,Matches,2a1beb34
2316,Unai Ropero,es ESP,MF,Alavés,es La Liga,19,2001,0.1,2,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,2,0,0,0,0,Matches,7868c973
2317,Pablo Rosario,nl NED,MF,Nice,fr Ligue 1,24,1997,30.3,1737,1698,39,32,2,296,28,14,0,0,0,0,1368,189,180,174,1442,73,7,6,1528,6,14,45,18,Matches,1a6b7ea4
2318,Romario Rösch,de GER,MF,Mainz 05,de Bundesliga,22,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,87ebfdb8
2319,Danny Rose,eng ENG,DF,Watford,eng Premier League,31,1990,7.7,331,219,112,18,1,25,14,15,8,5,3,0,118,85,128,189,32,20,86,1,221,2,5,10,17,Matches,89d10e53
2320,Francesco Rossi,it ITA,GK,Atalanta,it Serie A,30,1991,0.4,16,11,5,1,0,0,1,0,0,0,0,0,9,0,7,1,15,0,0,0,11,0,1,0,0,Matches,7b5f516f
