,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches,-9999
115,Cameron Archer,eng ENG,MFFW,Aston Villa,eng Premier League,19,2001,0.3,5,5,0,0,0,1,0,0,0,0,0,0,4,1,0,1,3,0,0,1,5,0,0,0,0,Matches,05e8ca6d
116,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,28,1993,1.0,41,24,17,3,0,6,0,0,0,0,0,0,11,1,29,2,35,0,0,3,20,0,0,1,0,Matches,2f965a72
117,Jesús Areso,es ESP,DF,Osasuna,es La Liga,22,1999,2.1,74,41,33,0,0,6,2,2,0,0,0,0,24,11,39,0,32,7,33,0,49,0,2,2,0,Matches,94e01ec6
118,Matias Arezo,uy URU,FW,Granada,es La Liga,18,2002,1.8,39,35,4,1,0,15,0,3,0,0,0,0,19,12,8,7,19,4,1,0,23,0,1,2,2,Matches,484ebdb0
119,Santiago Arias,co COL,DF,Granada,es La Liga,29,1992,4.9,223,174,49,1,0,32,4,13,0,0,0,0,94,59,70,16,138,12,48,3,164,2,1,6,7,Matches,fdd60087
120,Adam Armstrong,eng ENG,FW,Southampton,eng Premier League,24,1997,15.7,315,284,31,0,1,65,9,22,0,0,0,0,215,56,44,64,219,18,2,4,223,1,3,14,13,Matches,68c720b5
121,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,29,1992,16.4,734,702,32,2,1,124,9,32,2,0,1,0,564,95,75,125,577,16,7,5,583,3,10,38,23,Matches,97333cf5
122,Marko Arnautović,at AUT,FW,Bologna,it Serie A,32,1989,29.9,927,872,55,0,3,268,12,20,0,0,0,0,607,186,134,108,687,68,8,23,683,3,6,49,35,Matches,00459419
123,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,27,1994,33.3,1848,1591,257,147,3,262,120,46,102,62,35,0,1128,159,561,1371,384,53,6,10,1445,11,39,46,28,Matches,86e119e0
124,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26,1994,4.0,139,110,29,8,0,18,4,0,0,0,0,0,95,7,37,13,96,0,0,28,115,0,3,0,0,Matches,28d596a0
