,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
122,Marko Arnautović,at AUT,FW,Bologna,it Serie A,32,1989,29.9,6,0,0,50,27,14,20,15,15,0,0,0,115,49,53,48.0,Matches,00459419
123,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,27,1994,33.3,4,0,0,57,64,1,46,68,34,0,1,0,356,33,26,55.9,Matches,86e119e0
124,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26,1994,4.0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,,Matches,28d596a0
125,Tolgay Arslan,de GER,MF,Udinese,it Serie A,30,1990,18.4,9,0,0,32,42,0,25,32,23,1,0,0,186,8,12,40.0,Matches,963a328b
126,Arthur,br BRA,FW,Fiorentina,it Serie A,23,1998,8.3,1,0,0,18,12,1,2,3,6,0,0,0,16,18,29,38.3,Matches,a820e429
127,Santiago Arzamendia,py PAR,MFDF,Cádiz,es La Liga,23,1998,5.2,2,0,0,8,8,1,13,8,12,0,0,0,44,19,15,55.9,Matches,759d8dd7
128,Takuma Asano,jp JPN,FWMF,Bochum,de Bundesliga,26,1994,17.9,1,0,0,16,30,18,25,17,11,0,0,0,104,20,53,27.4,Matches,13ddc856
129,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,24,1997,26.4,5,0,0,45,40,3,3,54,61,0,0,0,312,37,48,43.5,Matches,e26fcca3
130,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,32,1989,6.0,1,0,0,0,0,0,0,0,0,0,0,0,33,0,0,,Matches,9f0ea33f
131,Alejandro Asensio,es ESP,FW,Rayo Vallecano,es La Liga,20,2000,0.1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,100.0,Matches,b4c23f36
132,Marco Asensio,es ESP,FWMF,Real Madrid,es La Liga,25,1996,19.2,2,0,0,12,26,2,43,25,10,0,0,0,102,1,9,10.0,Matches,45af8a54
133,Harrison Ashby,sct SCO,DF,West Ham,eng Premier League,19,2001,0.1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,Matches,b391383a
134,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,20,2001,8.4,5,0,0,20,14,0,1,18,10,0,0,1,72,23,17,57.5,Matches,a69cc629
