,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
151,Jordan Ayew,gh GHA,FW,Crystal Palace,eng Premier League,29,1991,22.4,2,0,0,42,70,1,50,28,34,1,0,0,156,31,62,33.3,Matches,da052c14
152,Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,26,1994,15.0,2,1,0,13,5,1,1,24,9,0,1,0,123,34,32,51.5,Matches,2200181e
153,Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,29,1991,25.2,4,1,0,28,24,2,25,54,45,0,1,0,263,49,51,49.0,Matches,420d7c7d
154,Karim Azamoum,fr FRA,DF,Troyes,fr Ligue 1,31,1990,4.3,2,0,0,12,3,0,0,2,6,0,0,0,21,8,6,57.1,Matches,eaf71a5e
155,Sardar Azmoun,ir IRN,FWMF,Leverkusen,de Bundesliga,26,1995,4.0,0,0,0,8,5,0,0,2,1,0,0,0,21,11,7,61.1,Matches,10549b49
156,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,31,1989,23.0,3,0,0,29,8,2,37,37,31,0,1,0,169,52,34,60.5,Matches,53cad200
157,Iddrisu Baba,gh GHA,MF,Mallorca,es La Liga,25,1996,21.5,9,0,0,50,46,0,6,36,51,0,0,0,280,55,36,60.4,Matches,bfd381b3
158,Carlos Bacca,co COL,FW,Granada,es La Liga,34,1986,5.7,3,0,0,3,9,5,3,1,3,1,0,0,16,12,19,38.7,Matches,09a9e921
159,Daniel Bachmann,at AUT,GK,Watford,eng Premier League,27,1994,12.0,0,0,0,1,2,0,0,0,0,0,1,0,57,0,0,,Matches,1c0eea98
160,Loïc Bade,fr FRA,DF,Rennes,fr Ligue 1,21,2000,10.9,3,1,1,7,2,0,2,21,3,0,0,0,85,32,16,66.7,Matches,114bbdee
161,Milan Badelj,hr CRO,MF,Genoa,it Serie A,32,1989,31.6,4,0,0,48,26,0,10,119,44,1,0,0,397,42,42,50.0,Matches,e8c930bb
162,Édgar Badía,es ESP,GK,Elche,es La Liga,29,1992,24.0,2,0,0,0,1,0,0,1,0,0,0,0,138,0,0,,Matches,e4346678
163,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,20,2001,20.4,4,0,0,27,11,2,1,57,28,0,1,0,239,72,20,78.3,Matches,06df8256
164,Youssouph Badji,sn SEN,FW,Brest,fr Ligue 1,19,2001,1.5,0,0,0,3,0,1,1,0,0,0,0,0,5,7,8,46.7,Matches,6a2b9aee
165,Miguel Baeza,es ESP,DF,Celta Vigo,es La Liga,21,2000,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches,a98f3cbf
166,Nicola Bagnolini,it ITA,GK,Bologna,it Serie A,17,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,ad263695
167,Issa Bah,lu LUX,FW,Venezia,it Serie A,19,2002,0.1,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,100.0,Matches,956a78ea
168,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,29,1992,12.2,0,0,0,27,16,4,8,6,8,0,0,0,40,22,47,31.9,Matches,5046b7d4
169,Leon Bailey,jm JAM,FWMF,Aston Villa,eng Premier League,23,1997,8.5,3,0,0,13,12,3,21,3,12,0,0,0,43,9,16,36.0,Matches,3a233281
170,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,27,1994,2.4,1,0,0,2,0,0,0,8,3,0,0,1,23,5,2,71.4,Matches,a1232f4e
171,Dénys Bain,fr FRA,DF,Brest,fr Ligue 1,28,1993,2.0,0,0,0,5,3,0,0,4,4,0,0,0,9,4,1,80.0,Matches,5065d67d
172,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19,2001,5.7,0,0,0,0,1,0,0,0,0,0,0,0,45,0,0,,Matches,be13e5a8
173,Nedim Bajrami,al ALB,MFFW,Empoli,it Serie A,22,1999,22.8,3,0,0,19,18,7,66,8,28,0,0,0,120,2,23,8.0,Matches,f42d6c13
174,Cédric Bakambu,cd COD,FW,Marseille,fr Ligue 1,30,1991,4.0,1,0,0,7,2,5,4,1,2,0,0,0,13,8,15,34.8,Matches,0af4dcf0
175,Abdoulaye Bakayoko,fr FRA,DF,Saint-Étienne,fr Ligue 1,18,2002,3.4,0,0,0,7,5,0,0,14,10,0,0,0,34,3,3,50.0,Matches,ee95585f
176,Tiemoué Bakayoko,fr FRA,MF,Milan,it Serie A,26,1994,5.6,3,0,0,14,11,0,1,11,13,0,1,0,69,17,7,70.8,Matches,59bf127b
177,Mitchel Bakker,nl NED,DF,Leverkusen,de Bundesliga,21,2000,20.2,6,0,0,16,23,0,38,52,25,0,1,0,159,19,16,54.3,Matches,a8567629
178,Ridle Baku,de GER,DFFW,Wolfsburg,de Bundesliga,23,1998,27.2,4,0,0,34,38,10,68,40,34,0,0,0,222,30,38,44.1,Matches,442b56fa
179,Dilane Bakwa,fr FRA,FWDF,Bordeaux,fr Ligue 1,18,2002,0.5,0,0,0,2,1,0,0,0,0,0,0,0,8,3,1,75.0,Matches,2b5a35e5
180,Tommaso Baldanzi,it ITA,FW,Empoli,it Serie A,18,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,Matches,102e2599
181,Alejandro Balde,es ESP,DFFW,Barcelona,es La Liga,17,2003,2.1,0,0,0,5,4,0,3,2,2,0,0,0,15,1,2,33.3,Matches,5ccc9672
182,Ibrahima Baldé,fr FRA,FWMF,Lens,fr Ligue 1,18,2003,0.6,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,66.7,Matches,a30cb0d4
183,Keita Baldé,sn SEN,FWMF,Cagliari,it Serie A,26,1995,13.7,2,0,0,30,33,9,8,6,3,1,1,0,49,26,65,28.6,Matches,509a4ccb
184,Gareth Bale,wls WAL,FW,Real Madrid,es La Liga,32,1989,3.1,2,0,0,3,1,1,2,5,1,0,0,0,10,7,5,58.3,Matches,a58bb1e1
185,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,33,1988,22.5,2,0,0,26,18,1,36,52,36,0,0,0,201,36,29,55.4,Matches,1fe67e86
186,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,22,1999,10.6,4,1,0,9,7,0,0,33,8,0,0,0,99,22,13,62.9,Matches,7c3ed041
187,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,29,1992,35.0,10,1,0,50,63,4,84,58,15,0,3,0,296,37,38,49.3,Matches,cee88597
188,Fodé Ballo-Touré,sn SEN,DF,Milan,it Serie A,24,1997,5.0,2,0,0,13,10,1,16,4,12,0,1,0,51,7,10,41.2,Matches,f449640d
189,Folarin Balogun,eng ENG,FW,Arsenal,eng Premier League,20,2001,0.8,0,0,0,0,1,1,0,0,0,0,0,0,3,1,2,33.3,Matches,31822f8c
190,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,31,1990,5.1,1,0,0,5,6,0,7,12,0,0,0,1,30,7,5,58.3,Matches,7fecbcdb
191,Jonathan Bamba,fr FRA,MFFW,Lille,fr Ligue 1,25,1996,27.0,3,0,0,13,62,14,53,46,19,0,0,0,179,22,31,41.5,Matches,b2bd0f6c
192,Patrick Bamford,eng ENG,FW,Leeds United,eng Premier League,27,1993,6.2,2,0,0,7,8,5,4,3,2,0,0,0,19,5,15,25.0,Matches,93feac6e
193,Filippo Bandinelli,it ITA,MF,Empoli,it Serie A,26,1995,21.7,10,0,0,57,21,5,50,26,26,0,1,0,178,16,35,31.4,Matches,d44360be
194,Mattia Bani,it ITA,DF,Genoa,it Serie A,27,1993,13.5,1,0,0,13,22,0,0,37,11,0,0,0,148,66,27,71.0,Matches,0821331c
195,Simon Banza,fr FRA,FW,Lens,fr Ligue 1,24,1996,1.4,0,0,0,3,8,0,0,0,2,0,0,0,6,6,3,66.7,Matches,be47b750
196,Shandon Baptiste,gd GRN,MF,Brentford,eng Premier League,23,1998,10.1,2,1,1,7,15,1,5,21,4,0,0,0,83,11,22,33.3,Matches,2886c9b5
197,Antonín Barák,cz CZE,FWMF,Hellas Verona,it Serie A,26,1994,26.0,4,0,0,31,23,3,17,14,17,1,0,0,188,53,80,39.8,Matches,01efac19
198,Barbero,es ESP,MFFW,Osasuna,es La Liga,22,1998,0.2,0,0,0,2,1,0,1,0,1,0,0,0,3,2,5,28.6,Matches,981c1863
199,Danilo Barbosa,br BRA,DF,Nice,fr Ligue 1,25,1996,1.0,0,0,0,0,0,0,0,4,0,0,0,0,7,6,4,60.0,Matches,0557ff4f
200,Barcia,es ESP,DF,Granada,es La Liga,20,2000,0.8,0,0,0,0,0,0,0,2,0,0,0,0,11,1,2,33.3,Matches,0c717ae6
201,Bradley Barcola,fr FRA,FWMF,Lyon,fr Ligue 1,18,2002,2.9,0,0,0,5,0,1,8,5,5,0,0,0,23,6,3,66.7,Matches,a0d55a09
202,Melvin Bard,fr FRA,DF,Nice,fr Ligue 1,20,2000,28.8,3,0,0,24,31,1,72,77,46,0,0,0,268,37,35,51.4,Matches,1ddbc7ca
203,Enis Bardhi,mk MKD,MFFW,Levante,es La Liga,26,1995,18.9,3,0,0,38,46,4,38,18,15,0,1,0,128,6,14,30.0,Matches,cac2537b
204,Francesco Bardi,it ITA,GK,Bologna,it Serie A,29,1992,2.0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,,Matches,0acda699
205,Keidi Bare,al ALB,MF,Espanyol,es La Liga,23,1997,16.5,9,0,0,28,32,0,7,30,20,1,0,0,164,21,31,40.4,Matches,03049c8c
206,Nicolò Barella,it ITA,MF,Inter,it Serie A,24,1997,32.4,9,0,0,34,59,4,67,34,33,1,0,0,308,22,33,40.0,Matches,6928979a
207,Kike Barja,es ESP,MFFW,Osasuna,es La Liga,24,1997,9.6,2,0,0,20,27,0,40,16,7,0,0,0,69,13,14,48.1,Matches,aad53e64
208,Ross Barkley,eng ENG,MF,Chelsea,eng Premier League,27,1993,2.0,0,0,0,2,7,0,1,2,1,0,0,0,12,6,2,75.0,Matches,3a24769f
209,Aymen Barkok,ma MAR,MFFW,Eint Frankfurt,de Bundesliga,23,1998,1.8,0,0,0,5,1,0,0,3,3,0,0,0,21,6,2,75.0,Matches,a2a85828
210,Ashley Barnes,eng ENG,FW,Burnley,eng Premier League,31,1989,9.0,4,0,0,24,14,9,4,6,10,0,1,0,46,41,76,35.0,Matches,2691c772
211,Harvey Barnes,eng ENG,FWMF,Leicester City,eng Premier League,23,1997,23.3,2,0,0,22,27,10,40,10,13,0,0,0,131,25,48,34.2,Matches,3ea50f67
212,Antonio Barragán,es ESP,DF,Elche,es La Liga,34,1987,11.3,5,0,0,21,18,0,17,22,10,0,2,0,65,9,2,81.8,Matches,487d9b09
213,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,21,2000,19.9,3,0,0,44,34,0,7,38,35,2,0,0,173,27,35,43.5,Matches,00242b75
214,Ander Barrenetxea,es ESP,FWMF,Real Sociedad,es La Liga,19,2001,6.1,0,0,0,10,20,1,8,7,15,0,0,0,36,4,7,36.4,Matches,200e89e1
215,Jacob Barrett Laursen,dk DEN,DF,Arminia,de Bundesliga,26,1994,18.1,1,0,0,13,9,1,27,28,16,0,0,1,171,20,32,38.5,Matches,c0d3bd23
216,Musa Barrow,gm GAM,FWMF,Bologna,it Serie A,22,1998,23.7,0,0,0,11,27,6,53,15,12,0,0,0,117,24,48,33.3,Matches,e5bf73f3
217,Abdourahmane Barry,fr FRA,DF,Greuther Fürth,de Bundesliga,21,2000,2.3,2,0,0,8,4,0,6,6,3,0,0,0,28,6,2,75.0,Matches,8df328f4
218,Marc Bartra,es ESP,DF,Betis,es La Liga,30,1991,22.1,5,0,0,22,19,0,0,43,20,0,0,0,206,79,37,68.1,Matches,b742cc0d
219,Daniele Baselli,it ITA,MFFW,Torino,it Serie A,29,1992,1.7,0,0,0,4,4,1,3,3,0,0,0,0,24,1,9,10.0,Matches,ea06dd97
220,Daniele Baselli,it ITA,MF,Cagliari,it Serie A,29,1992,3.2,1,0,0,4,3,0,5,2,3,0,0,0,33,0,5,0.0,Matches,ea06dd97
221,Toma Bašić,hr CRO,MF,Lazio,it Serie A,24,1996,10.9,3,0,0,14,9,0,10,9,8,0,0,0,71,10,10,50.0,Matches,80556f08
222,Toma Bašić,hr CRO,MF,Bordeaux,fr Ligue 1,24,1996,2.3,0,0,0,6,2,0,7,3,3,0,0,0,13,0,1,0.0,Matches,80556f08
223,Amine Bassi,fr FRA,MF,Metz,fr Ligue 1,23,1997,2.0,0,0,0,4,4,0,5,4,4,0,0,0,14,1,4,20.0,Matches,ced1d98f
224,Álvaro Bastida,es ESP,MF,Cádiz,es La Liga,17,2004,2.2,1,0,0,1,0,0,0,4,2,0,0,0,13,1,7,12.5,Matches,42a028c5
225,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,22,1999,25.7,4,0,0,36,34,0,21,38,35,0,1,0,239,62,36,63.3,Matches,75b86fb3
226,Simone Bastoni,it ITA,MFDF,Spezia,it Serie A,24,1996,25.4,5,1,0,43,41,1,59,57,36,0,0,0,224,27,19,58.7,Matches,1ac232b8
227,Lewis Bate,eng ENG,MF,Leeds United,eng Premier League,18,2002,1.6,0,0,0,2,1,0,0,5,0,0,0,0,17,1,2,33.3,Matches,cd4256d3
228,Rodrigo Battaglia,ar ARG,MF,Mallorca,es La Liga,30,1991,13.1,4,0,0,34,25,0,0,20,30,0,1,0,153,36,29,55.4,Matches,d637fc22
229,Maximilian Bauer,de GER,DF,Greuther Fürth,de Bundesliga,21,2000,18.8,5,0,0,30,12,1,0,46,25,0,1,1,158,65,43,60.2,Matches,44a20f0c
230,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,31,1990,33.0,1,0,0,0,4,0,0,0,0,0,0,0,221,0,0,,Matches,47064058
231,Timo Baumgartl,de GER,DF,Union Berlin,de Bundesliga,25,1996,24.1,5,0,0,30,14,0,12,44,37,0,0,2,257,83,57,59.3,Matches,bd7d2e6d
232,Julian Baumgartlinger,at AUT,MF,Leverkusen,de Bundesliga,33,1988,1.0,1,0,0,2,0,0,1,2,3,0,0,0,13,2,2,50.0,Matches,69374ff5
233,Christoph Baumgartner,at AUT,MFFW,Hoffenheim,de Bundesliga,21,1999,21.0,5,0,0,35,31,1,28,21,26,0,0,0,161,47,59,44.3,Matches,437f2b00
234,Jon Bautista,es ESP,FWMF,Real Sociedad,es La Liga,26,1995,0.5,0,0,0,1,1,1,0,1,0,0,0,0,2,1,1,50.0,Matches,debc6b55
235,Mohamed Bayo,gn GUI,FW,Clermont Foot,fr Ligue 1,23,1998,26.8,1,0,0,21,6,14,9,10,8,0,0,0,95,46,70,39.7,Matches,01870104
236,Paul Baysse,fr FRA,DF,Bordeaux,fr Ligue 1,33,1988,0.1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,100.0,Matches,2515040a
237,Noah Joel Sarenren Bazee,ng NGA,MFFW,Augsburg,de Bundesliga,24,1996,2.7,1,0,0,7,3,0,10,6,4,0,0,0,18,7,18,28.0,Matches,fbbc8e15
238,Bebé,cv CPV,FWMF,Rayo Vallecano,es La Liga,31,1990,9.6,2,0,0,12,19,6,46,8,5,1,0,0,66,14,16,46.7,Matches,d8712bf9
239,Ihlas Bebou,tg TOG,FWDF,Hoffenheim,de Bundesliga,27,1994,23.2,0,0,0,33,23,11,47,11,18,0,0,0,107,46,86,34.8,Matches,a53b661f
240,Rodrigo Becão,br BRA,DF,Udinese,it Serie A,25,1996,34.8,10,0,0,68,49,4,12,59,72,0,1,0,268,73,38,65.8,Matches,19e4eab9
241,Mads Bech Sørensen,dk DEN,DF,Brentford,eng Premier League,22,1999,9.3,3,0,0,9,4,0,19,9,7,0,1,0,99,14,10,58.3,Matches,30db8574
242,Sheraldo Becker,sr SUR,FWMF,Union Berlin,de Bundesliga,26,1995,19.5,4,0,0,28,31,9,102,10,9,0,0,0,137,12,68,15.0,Matches,8eb55dbb
243,Jan Bednarek,pl POL,DF,Southampton,eng Premier League,25,1996,29.2,10,0,0,38,17,1,6,95,21,0,1,1,324,114,60,65.5,Matches,4115ce4e
244,Donny van de Beek,nl NED,MF,Everton,eng Premier League,24,1997,5.4,1,0,0,11,1,0,6,9,9,0,0,0,63,6,3,66.7,Matches,50dc94ce
245,Donny van de Beek,nl NED,MF,Manchester Utd,eng Premier League,24,1997,0.8,0,0,0,4,2,0,0,2,3,0,0,0,11,3,3,50.0,Matches,50dc94ce
246,Asmir Begović,ba BIH,GK,Everton,eng Premier League,34,1987,3.0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,,Matches,7b4de647
247,Valon Behrami,ch SUI,MF,Genoa,it Serie A,36,1985,3.5,3,0,0,8,5,0,3,5,3,0,0,0,21,0,9,0.0,Matches,d3d758d8
248,Kevin Behrens,de GER,FW,Union Berlin,de Bundesliga,30,1991,5.5,1,0,0,14,5,1,3,6,3,1,0,0,36,53,48,52.5,Matches,30ae134d
249,Youcef Belaïli,dz ALG,MFFW,Brest,fr Ligue 1,29,1992,9.2,2,0,0,13,22,2,19,9,2,0,1,0,46,5,17,22.7,Matches,1a248246
250,Vid Belec,si SVN,GK,Salernitana,it Serie A,31,1990,21.5,1,0,0,1,1,0,0,0,0,0,1,0,81,0,0,,Matches,4f8ce0e1
251,Ishak Belfodil,dz ALG,FW,Hertha BSC,de Bundesliga,29,1992,18.2,1,0,0,22,12,26,18,6,6,1,0,0,62,49,60,45.0,Matches,ff182fdc
252,Haris Belkebla,dz ALG,MF,Brest,fr Ligue 1,27,1994,25.7,2,0,0,39,43,0,11,50,32,0,0,0,233,30,16,65.2,Matches,2b1bed19
253,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,29,1991,31.8,9,0,0,52,5,6,11,66,34,0,1,1,378,137,56,71.0,Matches,857a5abe
254,Armel Bella Kotchap,de GER,DF,Bochum,de Bundesliga,19,2001,19.6,5,0,0,28,31,3,2,64,24,0,0,2,173,58,20,74.4,Matches,a39d11bc
255,Raoul Bellanova,it ITA,DF,Cagliari,it Serie A,21,2000,27.7,3,0,0,14,36,2,84,44,17,0,1,0,166,23,34,40.4,Matches,e3756e72
256,Karim Bellarabi,de GER,FWDF,Leverkusen,de Bundesliga,31,1990,7.6,2,0,0,22,8,1,20,8,9,2,0,0,38,2,3,40.0,Matches,bee0bab1
257,Jean-Ricner Bellegarde,fr FRA,MF,Strasbourg,fr Ligue 1,23,1998,25.9,5,0,0,46,76,0,29,39,52,0,0,0,248,19,24,44.2,Matches,10f0fdd3
258,Héctor Bellerín,es ESP,DF,Betis,es La Liga,26,1995,22.0,2,1,0,25,12,2,36,23,19,0,0,1,166,34,19,64.2,Matches,f874dd44
259,Jude Bellingham,eng ENG,MF,Dortmund,de Bundesliga,18,2003,31.0,9,0,0,44,102,5,17,44,40,0,0,0,244,40,51,44.0,Matches,57d88cf9
260,George Bello,us USA,DF,Arminia,de Bundesliga,19,2002,4.8,0,0,0,3,7,1,6,9,6,0,0,1,36,3,9,25.0,Matches,aca0a525
261,Jeanuel Belocian,fr FRA,DF,Rennes,fr Ligue 1,16,2005,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches,c678ddd7
262,Andrea Belotti,it ITA,FW,Torino,it Serie A,27,1993,15.2,1,0,0,28,62,16,10,7,7,1,0,0,54,65,90,41.9,Matches,d705ba44
263,Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,22,1999,28.9,4,0,0,22,30,0,9,54,49,0,0,0,331,23,49,31.9,Matches,ed5c5fa3
264,Hatem Ben Arfa,fr FRA,FWMF,Lille,fr Ligue 1,34,1987,3.5,1,0,0,7,4,2,6,1,2,0,0,0,17,0,7,0.0,Matches,74dc806c
265,Salim Ben Seghir,fr FRA,FW,Marseille,fr Ligue 1,18,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,1f6298f2
266,Wissam Ben Yedder,fr FRA,FW,Monaco,fr Ligue 1,30,1990,28.1,3,0,0,22,24,23,24,6,14,1,0,0,112,23,64,26.4,Matches,942b4f90
267,Marco Benassi,it ITA,MF,Empoli,it Serie A,26,1994,4.2,1,0,0,6,4,0,9,3,3,0,0,0,29,8,14,36.4,Matches,0000acda
268,Marco Benassi,it ITA,DFMF,Fiorentina,it Serie A,26,1994,1.8,1,0,0,4,0,0,1,4,3,0,0,0,14,3,4,42.9,Matches,0000acda
269,Darío Benedetto,ar ARG,FW,Elche,es La Liga,31,1990,6.6,1,0,0,5,8,3,6,2,0,0,0,0,18,11,12,47.8,Matches,bef0a7ac
270,Darío Benedetto,ar ARG,FWMF,Marseille,fr Ligue 1,31,1990,0.6,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,66.7,Matches,bef0a7ac
271,László Bénes,sk SVK,MF,M'Gladbach,de Bundesliga,23,1997,2.7,0,0,0,1,11,0,5,0,4,0,0,0,29,6,1,85.7,Matches,fe888e39
272,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,28,1993,37.0,2,0,0,0,7,0,0,0,0,0,0,0,169,0,0,,Matches,8a2248b4
273,Iker Benito,es ESP,MFFW,Osasuna,es La Liga,18,2002,1.3,1,0,0,2,3,0,2,0,1,0,0,0,10,2,3,40.0,Matches,50cbc806
274,Loris Benito,ch SUI,DF,Bordeaux,fr Ligue 1,29,1992,0.7,0,0,0,1,0,0,0,2,0,0,0,0,7,0,0,,Matches,f5b6fb78
275,Pedro Benito,es ESP,FW,Cádiz,es La Liga,21,2000,0.3,0,0,0,3,0,0,0,0,0,0,0,0,1,3,3,50.0,Matches,a7416105
276,Filip Benković,hr CRO,DFFW,Udinese,it Serie A,24,1997,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,100.0,Matches,305a3820
277,Ismaël Bennacer,dz ALG,MF,Milan,it Serie A,23,1997,16.9,7,0,0,32,53,0,15,42,38,0,0,0,187,17,23,42.5,Matches,db092d3b
278,Keanan Bennetts,eng ENG,FWDF,M'Gladbach,de Bundesliga,22,1999,0.6,1,0,0,3,0,0,2,0,0,0,0,0,6,1,1,50.0,Matches,f4c7c708
279,Saïd Benrahma,dz ALG,FWMF,West Ham,eng Premier League,25,1995,24.1,0,0,0,11,22,9,64,12,23,0,0,0,167,15,22,40.5,Matches,5a04fd92
280,Ramy Bensebaini,dz ALG,DF,M'Gladbach,de Bundesliga,26,1995,22.4,6,0,0,35,44,4,16,78,27,0,1,0,242,62,45,57.9,Matches,378825c7
281,Nabil Bentaleb,dz ALG,MF,Angers,fr Ligue 1,26,1994,16.8,4,0,0,31,16,0,7,29,35,0,0,0,165,21,12,63.6,Matches,3189f61a
282,Rodrigo Bentancur,uy URU,MF,Tottenham,eng Premier League,24,1997,15.1,5,0,0,29,19,0,10,18,15,0,0,0,133,25,15,62.5,Matches,3b8674e6
283,Rodrigo Bentancur,uy URU,MF,Juventus,it Serie A,24,1997,12.8,1,0,0,26,12,0,4,37,27,0,0,0,122,23,16,59.0,Matches,3b8674e6
284,Christian Benteke,be BEL,FW,Crystal Palace,eng Premier League,30,1990,12.7,3,0,0,17,17,10,2,1,2,0,0,0,45,88,61,59.1,Matches,ab070c55
285,Karim Benzema,fr FRA,FW,Real Madrid,es La Liga,33,1987,28.8,0,0,0,14,12,31,27,7,5,0,0,0,90,18,42,30.0,Matches,70d74ece
286,Alessandro Berardi,it ITA,GK,Hellas Verona,it Serie A,30,1991,1.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,Matches,ec1f737d
287,Domenico Berardi,it ITA,FW,Sassuolo,it Serie A,26,1994,31.3,9,0,0,63,83,11,51,51,19,2,0,0,207,24,24,50.0,Matches,53a0e358
288,Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,31,1990,11.3,3,0,0,8,22,0,29,28,18,0,0,0,117,27,15,64.3,Matches,b6e50615
289,Álex Berenguer,es ESP,MFFW,Athletic Club,es La Liga,26,1995,24.1,8,0,0,55,51,14,73,24,31,0,0,0,158,50,67,42.7,Matches,dc1c2fce
290,Bartosz Bereszyński,pl POL,DF,Sampdoria,it Serie A,29,1992,32.7,12,0,0,43,43,0,49,57,38,0,0,0,291,48,23,67.6,Matches,61b3978f
291,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,eng Premier League,30,1990,12.2,2,0,0,17,16,3,42,17,9,0,0,0,96,21,16,56.8,Matches,f72293fc
292,Patrick Berg,no NOR,MF,Lens,fr Ligue 1,23,1997,3.4,0,0,0,5,1,0,2,8,7,0,0,0,40,4,3,57.1,Matches,e4114f5d
293,Mitchell van Bergen,nl NED,FWMF,Reims,fr Ligue 1,21,1999,10.9,1,0,0,7,5,10,26,7,3,0,0,0,57,3,19,13.6,Matches,0b2c9aec
294,Steven Bergwijn,nl NED,FWMF,Tottenham,eng Premier League,23,1997,6.3,1,0,0,9,12,1,6,4,4,0,0,0,30,1,6,14.3,Matches,a29b1131
295,Etrit Berisha,al ALB,GK,Torino,it Serie A,32,1989,10.0,1,0,0,1,3,0,0,0,0,0,1,0,49,0,0,,Matches,ee833569
296,Valon Berisha,xk KVX,MFFW,Reims,fr Ligue 1,28,1993,5.1,2,1,1,13,3,2,5,10,6,0,0,0,36,4,5,44.4,Matches,d5575935
297,Federico Bernardeschi,it ITA,MFFW,Juventus,it Serie A,27,1994,16.4,5,0,0,20,30,4,33,11,13,0,0,0,107,7,18,28.0,Matches,ee93c1a9
298,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,24,1997,13.0,0,0,0,0,2,0,0,0,0,0,0,0,60,0,0,,Matches,28dabd43
299,Paul Bernardoni,fr FRA,GK,Saint-Étienne,fr Ligue 1,24,1997,19.0,0,0,0,0,4,0,0,0,0,0,0,0,119,0,0,,Matches,28dabd43
300,Juan Bernat,es ESP,DF,Paris S-G,fr Ligue 1,28,1993,10.6,2,0,0,4,10,1,16,11,15,0,0,0,55,5,10,33.3,Matches,433dc9a2
301,Dimitry Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,23,1998,9.3,0,0,0,0,2,0,0,0,0,0,0,0,44,0,0,,Matches,380a15e2
302,Jason Berthomier,fr FRA,MF,Clermont Foot,fr Ligue 1,31,1990,19.2,0,0,0,16,15,2,46,10,22,0,0,0,135,11,20,35.5,Matches,03e91055
303,Nicolò Bertola,it ITA,MFDF,Spezia,it Serie A,18,2003,0.4,0,0,0,0,0,0,0,5,2,0,0,0,6,1,1,50.0,Matches,04b40c58
304,Ryan Bertrand,eng ENG,DF,Leicester City,eng Premier League,31,1989,3.7,1,0,0,5,1,0,1,3,4,0,0,0,17,3,5,37.5,Matches,01226327
305,Daniel Bessa,it ITA,MFFW,Hellas Verona,it Serie A,28,1993,8.5,5,1,1,23,13,2,11,10,11,0,0,0,93,11,13,45.8,Matches,88895312
306,Beto,gw GNB,FW,Udinese,it Serie A,23,1998,24.1,1,0,0,56,26,13,12,9,8,0,0,0,90,76,141,35.0,Matches,ed5c0319
307,Louis Beyer,de GER,DF,M'Gladbach,de Bundesliga,21,2000,15.4,5,0,0,17,19,0,5,26,21,0,1,0,128,23,25,47.9,Matches,9af1f9ff
308,Bartosz Bialek,pl POL,FW,Wolfsburg,de Bundesliga,19,2001,2.0,1,0,0,4,3,0,0,0,1,0,0,0,9,9,12,42.9,Matches,763b8b37
309,Giulian Biancone,fr FRA,DF,Troyes,fr Ligue 1,21,2000,25.5,10,0,0,38,32,3,72,73,42,0,2,0,217,53,38,58.2,Matches,de40e38c
