,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
115,Cameron Archer,eng ENG,MFFW,Aston Villa,eng Premier League,19,2001,0.3,5,5,100.0,91,28,1,1,100.0,4,4,100.0,0,0,,0,0.0,0.0,0,0,1,0,3,Matches,05e8ca6d
116,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,28,1993,1.0,20,41,48.8,768,546,0,0,,9,9,100.0,11,32,34.4,0,0.0,0.0,0,0,0,0,0,Matches,2f965a72
117,Jesús Areso,es ESP,DF,Osasuna,es La Liga,22,1999,2.1,49,74,66.2,1027,518,16,17,94.1,24,38,63.2,9,19,47.4,0,0.0,0.0,1,4,0,0,3,Matches,94e01ec6
118,Matias Arezo,uy URU,FW,Granada,es La Liga,18,2002,1.8,23,39,59.0,316,138,15,23,65.2,6,10,60.0,1,2,50.0,0,0.3,-0.3,4,4,1,0,3,Matches,484ebdb0
119,Santiago Arias,co COL,DF,Granada,es La Liga,29,1992,4.9,164,223,73.5,2943,1285,63,77,81.8,80,106,75.5,18,33,54.5,0,0.4,-0.4,5,10,4,3,14,Matches,fdd60087
120,Adam Armstrong,eng ENG,FW,Southampton,eng Premier League,24,1997,15.7,223,315,70.8,3764,609,106,136,77.9,96,127,75.6,16,32,50.0,2,1.7,+0.3,12,14,13,0,26,Matches,68c720b5
121,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,29,1992,16.4,583,734,79.4,9335,2293,304,366,83.1,218,254,85.8,43,69,62.3,0,1.4,-1.4,25,39,24,5,68,Matches,97333cf5
122,Marko Arnautović,at AUT,FW,Bologna,it Serie A,32,1989,29.9,683,927,73.7,9972,1619,387,504,76.8,230,295,78.0,35,54,64.8,1,4.4,-3.4,44,27,22,2,52,Matches,00459419
123,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,27,1994,33.3,1445,1848,78.2,33220,10595,419,480,87.3,640,709,90.3,360,607,59.3,2,4.7,-2.7,60,147,33,5,153,Matches,86e119e0
124,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26,1994,4.0,115,139,82.7,2763,1294,28,28,100.0,59,59,100.0,27,51,52.9,0,0.0,0.0,0,1,0,0,0,Matches,28d596a0
125,Tolgay Arslan,de GER,MF,Udinese,it Serie A,30,1990,18.4,547,681,80.3,9973,2507,235,273,86.1,230,265,86.8,67,106,63.2,0,1.7,-1.7,17,65,8,1,57,Matches,963a328b
126,Arthur,br BRA,FW,Fiorentina,it Serie A,23,1998,8.3,114,144,79.2,2020,249,59,70,84.3,42,51,82.4,11,15,73.3,2,0.3,+1.7,6,8,3,0,8,Matches,a820e429
127,Santiago Arzamendia,py PAR,MFDF,Cádiz,es La Liga,23,1998,5.2,109,170,64.1,1801,516,51,63,81.0,43,58,74.1,9,37,24.3,0,0.0,0.0,1,4,4,3,5,Matches,759d8dd7
128,Takuma Asano,jp JPN,FWMF,Bochum,de Bundesliga,26,1994,17.9,263,378,69.6,3900,1239,131,172,76.2,102,135,75.6,14,30,46.7,4,2.4,+1.6,18,21,13,6,34,Matches,13ddc856
129,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,24,1997,26.4,978,1182,82.7,16726,4647,476,561,84.8,382,434,88.0,95,131,72.5,1,0.3,+0.7,10,69,6,0,75,Matches,e26fcca3
130,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,32,1989,6.0,183,222,82.4,4919,2700,34,34,100.0,89,90,98.9,60,97,61.9,0,0.0,0.0,0,1,0,0,0,Matches,9f0ea33f
131,Alejandro Asensio,es ESP,FW,Rayo Vallecano,es La Liga,20,2000,0.1,7,8,87.5,172,51,3,4,75.0,2,2,100.0,2,2,100.0,0,0.0,0.0,1,1,1,1,0,Matches,b4c23f36
132,Marco Asensio,es ESP,FWMF,Real Madrid,es La Liga,25,1996,19.2,740,904,81.9,12641,2393,391,438,89.3,243,275,88.4,85,146,58.2,0,2.3,-2.3,30,50,20,3,54,Matches,45af8a54
133,Harrison Ashby,sct SCO,DF,West Ham,eng Premier League,19,2001,0.1,7,8,87.5,142,18,2,2,100.0,4,5,80.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches,b391383a
134,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,20,2001,8.4,156,228,68.4,2447,879,84,103,81.6,55,75,73.3,12,33,36.4,0,0.2,-0.2,2,13,2,0,22,Matches,a69cc629
135,Fisnik Asllani,xk KVX,MFFW,Hoffenheim,de Bundesliga,18,2002,0.1,6,8,75.0,89,13,4,4,100.0,1,1,100.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0,Matches,35f67a30
136,Kristjan Asllani,al ALB,MF,Empoli,it Serie A,19,2002,15.0,617,746,82.7,13290,3458,208,233,89.3,284,313,90.7,119,186,64.0,1,1.1,-0.1,8,69,4,1,51,Matches,0fdcef0e
137,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,33,1987,34.3,976,1357,71.9,15428,2883,558,679,82.2,274,383,71.5,95,180,52.8,5,6.2,-1.2,60,42,42,10,76,Matches,7dcf86f6
138,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,21,2000,6.8,311,387,80.4,5548,1363,138,161,85.7,134,153,87.6,30,52,57.7,2,1.0,+1.0,7,16,5,2,21,Matches,b026bbf6
139,Simon Asta,de GER,DF,Greuther Fürth,de Bundesliga,20,2001,8.7,287,401,71.6,5377,2378,123,145,84.8,117,158,74.1,43,78,55.1,0,0.1,-0.1,2,15,5,2,22,Matches,dfc85b89
140,Youcef Atal,dz ALG,DF,Nice,fr Ligue 1,25,1996,12.7,559,729,76.7,9314,3348,292,319,91.5,206,257,80.2,55,118,46.6,1,1.5,-0.5,12,31,18,7,48,Matches,6a827d8e
141,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,32,1989,11.5,145,205,70.7,2016,383,94,117,80.3,40,62,64.5,8,14,57.1,1,0.8,+0.2,9,4,10,1,13,Matches,d5dd5f1f
142,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,es La Liga,32,1989,12.0,184,244,75.4,2668,265,103,136,75.7,63,79,79.7,6,9,66.7,1,1.0,0.0,7,6,8,0,12,Matches,d5dd5f1f
143,Emil Audero,it ITA,GK,Sampdoria,it Serie A,24,1997,28.4,693,999,69.4,23435,14943,103,103,100.0,258,264,97.7,331,630,52.5,0,0.4,-0.4,2,18,0,0,0,Matches,649b01d8
144,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,26,1994,26.6,1062,1384,76.7,20037,8766,414,481,86.1,518,624,83.0,117,214,54.7,1,1.9,-0.9,18,59,33,13,119,Matches,3cd3b384
145,Jean-Kévin Augustin,fr FRA,FWMF,Nantes,fr Ligue 1,24,1997,0.9,15,18,83.3,199,31,10,11,90.9,3,5,60.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches,97bfa797
146,Ludwig Augustinsson,se SWE,DF,Sevilla,es La Liga,27,1994,8.8,452,560,80.7,7974,2619,214,230,93.0,182,205,88.8,50,107,46.7,1,0.6,+0.4,10,21,8,4,16,Matches,9fec8860
147,Serge Aurier,ci CIV,DF,Villarreal,es La Liga,28,1992,11.2,627,734,85.4,11498,3965,250,282,88.7,302,343,88.0,64,86,74.4,1,1.2,-0.2,7,36,15,7,50,Matches,5c2b4f07
148,Ezequiel Ávila,ar ARG,FWMF,Osasuna,es La Liga,27,1994,20.8,307,545,56.3,6178,1873,128,191,67.0,119,191,62.3,53,122,43.4,1,1.3,-0.3,17,30,24,17,45,Matches,253a06b9
149,Taiwo Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,23,1997,24.2,334,484,69.0,5185,1358,177,230,77.0,118,167,70.7,22,39,56.4,1,2.1,-1.1,24,30,21,3,48,Matches,e5478b87
150,Ramzi Aya,it ITA,DF,Salernitana,it Serie A,30,1990,1.5,18,28,64.3,386,153,5,6,83.3,9,14,64.3,4,8,50.0,0,0.0,0.0,0,2,0,0,3,Matches,6a1f66a7
151,Jordan Ayew,gh GHA,FW,Crystal Palace,eng Premier League,29,1991,22.4,570,745,76.5,8666,1732,326,368,88.6,197,245,80.4,33,79,41.8,3,2.3,+0.7,21,29,15,5,48,Matches,da052c14
152,Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,26,1994,15.0,788,869,90.7,17190,6225,259,271,95.6,367,391,93.9,154,195,79.0,0,0.0,0.0,2,63,2,0,76,Matches,2200181e
153,Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,29,1991,25.2,1218,1558,78.2,25686,10984,440,500,88.0,554,648,85.5,214,366,58.5,2,0.8,+1.2,8,99,11,4,125,Matches,420d7c7d
154,Karim Azamoum,fr FRA,DF,Troyes,fr Ligue 1,31,1990,4.3,108,145,74.5,2155,843,38,43,88.4,53,65,81.5,16,34,47.1,0,0.0,0.0,0,2,0,0,3,Matches,eaf71a5e
155,Sardar Azmoun,ir IRN,FWMF,Leverkusen,de Bundesliga,26,1995,4.0,80,112,71.4,1264,347,43,53,81.1,29,42,69.0,7,8,87.5,1,0.6,+0.4,6,11,3,0,15,Matches,10549b49
156,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,31,1989,23.0,1442,1713,84.2,24337,9312,707,779,90.8,628,709,88.6,95,176,54.0,2,2.1,-0.1,18,107,20,3,124,Matches,53cad200
157,Iddrisu Baba,gh GHA,MF,Mallorca,es La Liga,25,1996,21.5,623,775,80.4,12803,3801,213,254,83.9,280,324,86.4,117,162,72.2,0,0.3,-0.3,8,59,9,1,67,Matches,bfd381b3
158,Carlos Bacca,co COL,FW,Granada,es La Liga,34,1986,5.7,71,109,65.1,1137,273,34,45,75.6,25,41,61.0,7,12,58.3,1,0.5,+0.5,5,7,4,0,9,Matches,09a9e921
159,Daniel Bachmann,at AUT,GK,Watford,eng Premier League,27,1994,12.0,211,357,59.1,8151,5656,21,21,100.0,79,82,96.3,111,254,43.7,0,0.0,0.0,0,9,0,0,0,Matches,1c0eea98
160,Loïc Bade,fr FRA,DF,Rennes,fr Ligue 1,21,2000,10.9,652,708,92.1,15371,4108,149,158,94.3,341,364,93.7,160,184,87.0,1,0.1,+0.9,1,40,2,1,32,Matches,114bbdee
161,Milan Badelj,hr CRO,MF,Genoa,it Serie A,32,1989,31.6,1262,1601,78.8,24623,7800,480,563,85.3,590,698,84.5,170,280,60.7,0,2.3,-2.3,27,138,19,2,161,Matches,e8c930bb
162,Édgar Badía,es ESP,GK,Elche,es La Liga,29,1992,24.0,560,829,67.6,19657,13179,84,86,97.7,201,203,99.0,274,538,50.9,0,0.0,0.0,0,6,0,0,0,Matches,e4346678
163,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,20,2001,20.4,1205,1347,89.5,25717,7994,343,365,94.0,651,697,93.4,204,270,75.6,0,0.3,-0.3,1,78,3,0,94,Matches,06df8256
164,Youssouph Badji,sn SEN,FW,Brest,fr Ligue 1,19,2001,1.5,26,38,68.4,273,52,19,24,79.2,4,9,44.4,0,0,,0,0.2,-0.2,2,3,0,0,0,Matches,6a2b9aee
165,Miguel Baeza,es ESP,DF,Celta Vigo,es La Liga,21,2000,0.0,4,5,80.0,68,10,2,2,100.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches,a98f3cbf
166,Nicola Bagnolini,it ITA,GK,Bologna,it Serie A,17,2004,0.0,0,4,0.0,0,0,0,0,,0,0,,0,4,0.0,0,0.0,0.0,0,0,0,0,0,Matches,ad263695
167,Issa Bah,lu LUX,FW,Venezia,it Serie A,19,2002,0.1,5,6,83.3,81,15,2,2,100.0,3,4,75.0,0,0,,0,0.0,0.0,0,0,0,0,1,Matches,956a78ea
168,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,29,1992,12.2,168,220,76.4,2322,323,96,122,78.7,40,48,83.3,14,20,70.0,1,1.0,0.0,8,7,4,3,3,Matches,5046b7d4
169,Leon Bailey,jm JAM,FWMF,Aston Villa,eng Premier League,23,1997,8.5,149,224,66.5,2621,580,71,83,85.5,52,74,70.3,20,45,44.4,2,0.6,+1.4,8,4,11,3,20,Matches,3a233281
170,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,27,1994,2.4,64,80,80.0,1365,459,24,26,92.3,26,30,86.7,14,22,63.6,0,0.0,0.0,0,2,0,0,3,Matches,a1232f4e
171,Dénys Bain,fr FRA,DF,Brest,fr Ligue 1,28,1993,2.0,79,82,96.3,1741,557,20,21,95.2,42,43,97.7,16,17,94.1,0,0.0,0.0,0,3,0,0,5,Matches,5065d67d
172,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19,2001,5.7,130,185,70.3,3777,2594,35,36,97.2,47,47,100.0,47,101,46.5,0,0.0,0.0,0,1,0,0,0,Matches,be13e5a8
173,Nedim Bajrami,al ALB,MFFW,Empoli,it Serie A,22,1999,22.8,628,884,71.0,10783,3484,334,382,87.4,207,273,75.8,74,176,42.0,5,5.2,-0.2,55,41,47,10,90,Matches,f42d6c13
174,Cédric Bakambu,cd COD,FW,Marseille,fr Ligue 1,30,1991,4.0,52,69,75.4,862,181,32,41,78.0,12,19,63.2,7,7,100.0,0,0.6,-0.6,6,2,2,0,5,Matches,0af4dcf0
175,Abdoulaye Bakayoko,fr FRA,DF,Saint-Étienne,fr Ligue 1,18,2002,3.4,93,131,71.0,1699,697,36,45,80.0,42,46,91.3,12,34,35.3,0,0.0,0.0,0,4,0,0,5,Matches,ee95585f
176,Tiemoué Bakayoko,fr FRA,MF,Milan,it Serie A,26,1994,5.6,276,312,88.5,4940,933,129,148,87.2,105,114,92.1,35,40,87.5,0,0.5,-0.5,3,23,3,0,18,Matches,59bf127b
177,Mitchel Bakker,nl NED,DF,Leverkusen,de Bundesliga,21,2000,20.2,1011,1222,82.7,16674,6302,509,560,90.9,399,463,86.2,81,148,54.7,4,1.1,+2.9,11,64,21,11,75,Matches,a8567629
178,Ridle Baku,de GER,DFFW,Wolfsburg,de Bundesliga,23,1998,27.2,1019,1328,76.7,19386,6843,420,498,84.3,453,565,80.2,136,224,60.7,5,4.8,+0.2,39,67,35,13,120,Matches,442b56fa
179,Dilane Bakwa,fr FRA,FWDF,Bordeaux,fr Ligue 1,18,2002,0.5,9,14,64.3,150,60,4,6,66.7,4,5,80.0,1,2,50.0,0,0.0,0.0,0,1,1,0,2,Matches,2b5a35e5
180,Tommaso Baldanzi,it ITA,FW,Empoli,it Serie A,18,2003,0.2,5,7,71.4,63,0,4,5,80.0,0,0,,1,1,100.0,0,0.0,0.0,1,0,0,0,0,Matches,102e2599
181,Alejandro Balde,es ESP,DFFW,Barcelona,es La Liga,17,2003,2.1,140,152,92.1,2156,435,73,73,100.0,58,64,90.6,5,9,55.6,0,0.1,-0.1,1,3,4,1,10,Matches,5ccc9672
182,Ibrahima Baldé,fr FRA,FWMF,Lens,fr Ligue 1,18,2003,0.6,8,11,72.7,108,20,4,5,80.0,3,4,75.0,0,0,,0,0.0,0.0,1,0,0,0,0,Matches,a30cb0d4
183,Keita Baldé,sn SEN,FWMF,Cagliari,it Serie A,26,1995,13.7,199,269,74.0,2812,429,110,139,79.1,62,80,77.5,12,18,66.7,1,1.1,-0.1,10,15,4,0,11,Matches,509a4ccb
184,Gareth Bale,wls WAL,FW,Real Madrid,es La Liga,32,1989,3.1,48,64,75.0,784,203,24,30,80.0,20,24,83.3,3,7,42.9,0,0.0,0.0,1,4,3,0,9,Matches,a58bb1e1
185,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,33,1988,22.5,766,1004,76.3,12992,5167,372,416,89.4,317,409,77.5,59,136,43.4,0,0.5,-0.5,8,41,12,4,72,Matches,1fe67e86
186,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,22,1999,10.6,747,809,92.3,15426,3973,243,254,95.7,382,398,96.0,117,147,79.6,0,0.0,0.0,1,35,0,0,29,Matches,7c3ed041
187,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,29,1992,35.0,1373,1796,76.4,26205,12003,584,654,89.3,579,726,79.8,188,340,55.3,2,4.0,-2.0,43,94,39,29,138,Matches,cee88597
188,Fodé Ballo-Touré,sn SEN,DF,Milan,it Serie A,24,1997,5.0,231,273,84.6,3909,1087,105,113,92.9,101,119,84.9,20,27,74.1,0,0.2,-0.2,4,13,8,4,18,Matches,f449640d
189,Folarin Balogun,eng ENG,FW,Arsenal,eng Premier League,20,2001,0.8,4,8,50.0,60,6,2,4,50.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches,31822f8c
190,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,31,1990,5.1,148,187,79.1,2363,1056,79,83,95.2,59,74,79.7,8,19,42.1,0,0.1,-0.1,2,6,3,2,12,Matches,7fecbcdb
191,Jonathan Bamba,fr FRA,MFFW,Lille,fr Ligue 1,25,1996,27.0,868,1149,75.5,14153,4853,494,581,85.0,254,302,84.1,90,188,47.9,2,3.5,-1.5,45,68,41,11,110,Matches,b2bd0f6c
192,Patrick Bamford,eng ENG,FW,Leeds United,eng Premier League,27,1993,6.2,85,103,82.5,1349,211,48,53,90.6,26,31,83.9,9,13,69.2,2,1.0,+1.0,6,6,5,2,7,Matches,93feac6e
193,Filippo Bandinelli,it ITA,MF,Empoli,it Serie A,26,1995,21.7,572,756,75.7,10088,3488,285,316,90.2,217,277,78.3,59,123,48.0,3,3.1,-0.1,33,44,43,16,89,Matches,d44360be
194,Mattia Bani,it ITA,DF,Genoa,it Serie A,27,1993,13.5,337,459,73.4,7310,2791,93,106,87.7,178,218,81.7,61,123,49.6,0,0.0,0.0,1,18,0,0,30,Matches,0821331c
195,Simon Banza,fr FRA,FW,Lens,fr Ligue 1,24,1996,1.4,20,29,69.0,369,77,11,16,68.8,6,7,85.7,2,4,50.0,1,0.6,+0.4,2,2,0,0,1,Matches,be47b750
196,Shandon Baptiste,gd GRN,MF,Brentford,eng Premier League,23,1998,10.1,255,306,83.3,4371,887,126,142,88.7,94,110,85.5,27,39,69.2,0,0.5,-0.5,9,22,6,1,21,Matches,2886c9b5
197,Antonín Barák,cz CZE,FWMF,Hellas Verona,it Serie A,26,1994,26.0,890,1109,80.3,13384,3772,490,569,86.1,316,381,82.9,49,76,64.5,4,3.4,+0.6,28,71,24,1,107,Matches,01efac19
198,Barbero,es ESP,MFFW,Osasuna,es La Liga,22,1998,0.2,6,13,46.2,63,0,6,11,54.5,0,2,0.0,0,0,,0,0.0,0.0,1,0,0,0,0,Matches,981c1863
199,Danilo Barbosa,br BRA,DF,Nice,fr Ligue 1,25,1996,1.0,33,41,80.5,677,148,8,9,88.9,20,22,90.9,5,9,55.6,0,0.0,0.0,0,0,0,0,1,Matches,0557ff4f
200,Barcia,es ESP,DF,Granada,es La Liga,20,2000,0.8,8,22,36.4,180,2,2,3,66.7,4,11,36.4,2,8,25.0,0,0.0,0.0,0,0,0,0,0,Matches,0c717ae6
201,Bradley Barcola,fr FRA,FWMF,Lyon,fr Ligue 1,18,2002,2.9,62,87,71.3,803,305,38,48,79.2,15,20,75.0,3,6,50.0,1,1.0,0.0,7,4,5,2,11,Matches,a0d55a09
202,Melvin Bard,fr FRA,DF,Nice,fr Ligue 1,20,2000,28.8,1519,1866,81.4,26756,10217,688,760,90.5,663,788,84.1,143,247,57.9,2,2.4,-0.4,23,112,27,14,139,Matches,1ddbc7ca
203,Enis Bardhi,mk MKD,MFFW,Levante,es La Liga,26,1995,18.9,531,750,70.8,9680,2927,253,291,86.9,179,239,74.9,76,161,47.2,3,3.3,-0.3,39,48,20,3,58,Matches,cac2537b
204,Francesco Bardi,it ITA,GK,Bologna,it Serie A,29,1992,2.0,34,50,68.0,906,527,10,10,100.0,11,11,100.0,12,28,42.9,0,0.0,0.0,0,0,0,0,0,Matches,0acda699
205,Keidi Bare,al ALB,MF,Espanyol,es La Liga,23,1997,16.5,750,872,86.0,13839,3336,322,350,92.0,313,353,88.7,98,135,72.6,1,1.0,0.0,9,80,6,1,63,Matches,03049c8c
206,Nicolò Barella,it ITA,MF,Inter,it Serie A,24,1997,32.4,1544,1848,83.5,26685,8479,792,873,90.7,555,639,86.9,164,249,65.9,11,7.9,+3.1,60,148,80,18,190,Matches,6928979a
207,Kike Barja,es ESP,MFFW,Osasuna,es La Liga,24,1997,9.6,263,382,68.8,4674,1140,128,159,80.5,97,134,72.4,31,62,50.0,0,0.6,-0.6,5,21,9,1,32,Matches,aad53e64
208,Ross Barkley,eng ENG,MF,Chelsea,eng Premier League,27,1993,2.0,105,127,82.7,1714,381,59,64,92.2,30,38,78.9,12,15,80.0,0,0.7,-0.7,8,6,7,0,11,Matches,3a24769f
209,Aymen Barkok,ma MAR,MFFW,Eint Frankfurt,de Bundesliga,23,1998,1.8,52,71,73.2,982,497,21,27,77.8,22,29,75.9,7,11,63.6,0,0.0,0.0,1,7,1,0,14,Matches,a2a85828
210,Ashley Barnes,eng ENG,FW,Burnley,eng Premier League,31,1989,9.0,130,199,65.3,1877,537,79,105,75.2,37,59,62.7,9,18,50.0,0,1.6,-1.6,10,18,5,2,19,Matches,2691c772
211,Harvey Barnes,eng ENG,FWMF,Leicester City,eng Premier League,23,1997,23.3,557,751,74.2,8019,2337,336,405,83.0,179,245,73.1,24,53,45.3,10,4.0,+6.0,29,28,28,2,74,Matches,3ea50f67
212,Antonio Barragán,es ESP,DF,Elche,es La Liga,34,1987,11.3,426,537,79.3,8461,3920,137,149,91.9,228,265,86.0,54,106,50.9,0,0.1,-0.1,2,26,4,1,38,Matches,487d9b09
213,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,21,2000,19.9,399,546,73.1,6232,1913,208,257,80.9,150,203,73.9,28,47,59.6,2,2.1,-0.1,12,33,15,2,48,Matches,00242b75
214,Ander Barrenetxea,es ESP,FWMF,Real Sociedad,es La Liga,19,2001,6.1,136,187,72.7,2121,569,70,86,81.4,49,64,76.6,10,16,62.5,1,1.0,0.0,8,5,8,1,14,Matches,200e89e1
215,Jacob Barrett Laursen,dk DEN,DF,Arminia,de Bundesliga,26,1994,18.1,563,790,71.3,10835,4285,233,274,85.0,239,308,77.6,84,164,51.2,0,0.5,-0.5,7,32,3,1,45,Matches,c0d3bd23
216,Musa Barrow,gm GAM,FWMF,Bologna,it Serie A,22,1998,23.7,714,939,76.0,12879,3087,371,415,89.4,225,292,77.1,101,197,51.3,6,4.4,+1.6,44,49,44,12,68,Matches,e5bf73f3
217,Abdourahmane Barry,fr FRA,DF,Greuther Fürth,de Bundesliga,21,2000,2.3,88,115,76.5,1685,743,37,41,90.2,33,41,80.5,13,22,59.1,0,0.1,-0.1,2,8,2,2,10,Matches,8df328f4
218,Marc Bartra,es ESP,DF,Betis,es La Liga,30,1991,22.1,919,1108,82.9,21052,6768,238,261,91.2,489,526,93.0,184,303,60.7,0,0.1,-0.1,6,69,3,0,56,Matches,b742cc0d
219,Daniele Baselli,it ITA,MFFW,Torino,it Serie A,29,1992,1.7,64,87,73.6,1228,364,24,33,72.7,29,36,80.6,10,14,71.4,0,0.0,0.0,1,8,0,0,3,Matches,ea06dd97
220,Daniele Baselli,it ITA,MF,Cagliari,it Serie A,29,1992,3.2,111,150,74.0,2144,746,47,59,79.7,44,52,84.6,17,32,53.1,1,0.5,+0.5,7,14,4,1,15,Matches,ea06dd97
221,Toma Bašić,hr CRO,MF,Lazio,it Serie A,24,1996,10.9,383,453,84.5,6191,961,198,218,90.8,152,175,86.9,25,41,61.0,2,0.8,+1.2,6,19,1,0,11,Matches,80556f08
222,Toma Bašić,hr CRO,MF,Bordeaux,fr Ligue 1,24,1996,2.3,74,101,73.3,1460,379,29,32,90.6,33,38,86.8,11,28,39.3,1,0.6,+0.4,5,9,1,1,5,Matches,80556f08
223,Amine Bassi,fr FRA,MF,Metz,fr Ligue 1,23,1997,2.0,86,119,72.3,1605,574,39,50,78.0,34,39,87.2,12,25,48.0,0,0.4,-0.4,7,10,0,0,10,Matches,ced1d98f
224,Álvaro Bastida,es ESP,MF,Cádiz,es La Liga,17,2004,2.2,42,53,79.2,733,86,22,25,88.0,15,16,93.8,5,10,50.0,0,0.0,0.0,0,2,0,0,1,Matches,42a028c5
225,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,22,1999,25.7,1601,1798,89.0,32217,9679,590,637,92.6,733,789,92.9,249,318,78.3,2,1.4,+0.6,11,111,17,4,104,Matches,75b86fb3
226,Simone Bastoni,it ITA,MFDF,Spezia,it Serie A,24,1996,25.4,888,1210,73.4,16699,6849,401,460,87.2,339,418,81.1,125,266,47.0,3,3.5,-0.5,45,82,30,13,92,Matches,1ac232b8
227,Lewis Bate,eng ENG,MF,Leeds United,eng Premier League,18,2002,1.6,41,54,75.9,556,138,26,32,81.3,10,12,83.3,2,5,40.0,0,0.0,0.0,0,2,0,0,4,Matches,cd4256d3
228,Rodrigo Battaglia,ar ARG,MF,Mallorca,es La Liga,30,1991,13.1,435,526,82.7,7253,2094,215,236,91.1,158,191,82.7,49,72,68.1,0,0.1,-0.1,4,33,1,0,37,Matches,d637fc22
229,Maximilian Bauer,de GER,DF,Greuther Fürth,de Bundesliga,21,2000,18.8,721,869,83.0,16775,4870,159,183,86.9,400,434,92.2,156,235,66.4,0,0.0,0.0,1,19,0,0,18,Matches,44a20f0c
230,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,31,1990,33.0,1210,1521,79.6,30395,16278,321,324,99.1,549,555,98.9,322,623,51.7,0,0.0,0.0,0,19,0,0,0,Matches,47064058
231,Timo Baumgartl,de GER,DF,Union Berlin,de Bundesliga,25,1996,24.1,937,1167,80.3,20617,7590,259,303,85.5,495,562,88.1,176,286,61.5,2,0.5,+1.5,5,73,7,4,78,Matches,bd7d2e6d
232,Julian Baumgartlinger,at AUT,MF,Leverkusen,de Bundesliga,33,1988,1.0,58,66,87.9,1080,186,23,25,92.0,24,26,92.3,9,11,81.8,0,0.0,0.0,0,4,0,0,1,Matches,69374ff5
233,Christoph Baumgartner,at AUT,MFFW,Hoffenheim,de Bundesliga,21,1999,21.0,542,753,72.0,9417,2514,251,314,79.9,209,275,76.0,64,115,55.7,2,3.2,-1.2,20,44,23,6,69,Matches,437f2b00
234,Jon Bautista,es ESP,FWMF,Real Sociedad,es La Liga,26,1995,0.5,6,8,75.0,81,21,4,5,80.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0,0,1,0,2,Matches,debc6b55
235,Mohamed Bayo,gn GUI,FW,Clermont Foot,fr Ligue 1,23,1998,26.8,398,544,73.2,6098,1090,205,273,75.1,147,187,78.6,27,38,71.1,5,4.8,+0.2,33,36,14,0,43,Matches,01870104
236,Paul Baysse,fr FRA,DF,Bordeaux,fr Ligue 1,33,1988,0.1,2,4,50.0,31,6,1,1,100.0,1,2,50.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches,2515040a
237,Noah Joel Sarenren Bazee,ng NGA,MFFW,Augsburg,de Bundesliga,24,1996,2.7,31,51,60.8,496,172,15,22,68.2,8,13,61.5,4,6,66.7,0,0.2,-0.2,2,0,4,3,1,Matches,fbbc8e15
238,Bebé,cv CPV,FWMF,Rayo Vallecano,es La Liga,31,1990,9.6,211,342,61.7,3999,1039,103,122,84.4,68,107,63.6,34,89,38.2,2,1.9,+0.1,16,13,11,5,18,Matches,d8712bf9
