,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
73,Giorgio Altare,it ITA,DF,Cagliari,it Serie A,22,1998,16.3,563,818,68.8,12687,5508,170,208,81.7,246,315,78.1,141,268,52.6,0,0.5,-0.5,8,58,9,4,57,Matches,aa5322d5
74,Hugo Álvarez,es ESP,FW,Celta Vigo,es La Liga,18,2003,0.1,1,3,33.3,22,3,0,1,0.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,6f392eb8
75,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,26,1995,20.7,825,996,82.8,18382,6658,230,250,92.0,432,478,90.4,159,250,63.6,0,0.1,-0.1,2,56,4,0,61,Matches,3ecc11d8
76,Dani Alves,br BRA,DF,Barcelona,es La Liga,38,1983,12.2,920,1083,84.9,16220,5343,469,502,93.4,337,375,89.9,103,182,56.6,3,1.9,+1.1,24,101,27,13,60,Matches,c9e99e49
77,Steven Alzate,co COL,MF,Brighton,eng Premier League,22,1998,4.5,207,234,88.5,3619,900,92,102,90.2,85,90,94.4,24,32,75.0,0,0.2,-0.2,3,17,3,1,17,Matches,ad1f61f3
78,Ibrahim Amadou,fr FRA,DFMF,Metz,fr Ligue 1,28,1993,9.0,386,440,87.7,8076,2091,122,129,94.6,205,221,92.8,56,80,70.0,0,0.0,0.0,3,10,0,0,12,Matches,9260926b
79,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,19,2001,0.9,27,40,67.5,447,165,15,19,78.9,9,12,75.0,3,7,42.9,1,0.0,+1.0,1,1,0,0,2,Matches,69c5633e
80,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,26,1994,23.6,1353,1475,91.7,27707,7913,405,428,94.6,751,788,95.3,186,230,80.9,0,0.2,-0.2,3,55,0,0,59,Matches,1a4ef233
81,Amath,sn SEN,FWMF,Mallorca,es La Liga,25,1996,9.8,166,211,78.7,2387,600,98,114,86.0,42,59,71.2,13,15,86.7,1,0.4,+0.6,6,11,5,1,14,Matches,f3b1d9a2
82,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,27,1994,1.4,76,88,86.4,1404,379,34,38,89.5,33,36,91.7,9,12,75.0,0,0.1,-0.1,1,6,2,1,7,Matches,22721b88
