,,,,,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
2173,Mads Roerslev,dk DEN,DF,Brentford,eng Premier League,23-279,1999,10.4,16,10,14,2,0,10,24,41.7,14,11,5,6,8,24,31,0,Matches
2174,Agustín Rogel,uy URU,DF,Hertha BSC,de Bundesliga,25-164,1997,12.3,17,9,12,5,0,10,14,71.4,4,11,4,7,11,28,43,0,Matches
2175,Rogério,br BRA,DF,Sassuolo,it Serie A,25-076,1998,23.3,28,16,17,5,6,12,25,48.0,13,23,5,18,25,53,53,0,Matches
2176,Merlin Röhl,de GER,MF,Freiburg,de Bundesliga,20-268,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
2177,Alessio Romagnoli,it ITA,DF,Lazio,it Serie A,28-077,1995,22.7,29,13,17,12,0,10,20,50.0,10,26,20,6,26,55,82,0,Matches
2178,Simone Romagnoli,it ITA,DF,Lecce,it Serie A,33-049,1990,0.3,1,1,0,1,0,0,0,,0,0,0,0,0,1,2,0,Matches
2179,Cristian Romero,ar ARG,DF,Tottenham,eng Premier League,24-337,1998,18.3,49,24,28,20,1,18,30,60.0,12,20,9,11,29,78,66,2,Matches
2180,Iván Romero,es ESP,MF,Sevilla,es La Liga,21-354,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
2181,Luka Romero,ar ARG,FW,Lazio,it Serie A,18-132,2004,1.7,0,0,0,0,0,0,3,0.0,3,4,0,4,3,3,1,0,Matches
2182,Oriol Romeu,es ESP,MF,Southampton,eng Premier League,31-187,1991,0.8,1,0,0,1,0,0,0,,0,1,0,1,1,2,1,0,Matches
2183,Oriol Romeu,es ESP,MF,Girona,es La Liga,31-187,1991,21.8,47,27,22,19,6,16,32,50.0,16,32,8,24,24,71,23,0,Matches
2184,Cristiano Ronaldo,pt POR,FW,Manchester Utd,eng Premier League,38-053,1985,5.8,2,2,1,0,1,1,2,50.0,1,0,0,0,1,3,9,0,Matches
2185,Connor Ronan,ie IRL,MF,Wolves,eng Premier League,25-024,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
2186,Salomón Rondón,ve VEN,FW,Everton,eng Premier League,33-195,1989,1.2,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches
2187,Valentin Rongier,fr FRA,MF,Marseille,fr Ligue 1,28-113,1994,24.7,63,38,22,34,7,29,55,52.7,26,40,9,31,38,101,26,1,Matches
2188,Marten de Roon,nl NED,MF,Atalanta,it Serie A,32-001,1991,21.9,46,23,25,20,1,22,51,43.1,29,24,3,21,25,71,44,0,Matches
2189,Pablo Rosario,nl NED,MFDF,Nice,fr Ligue 1,26-082,1997,13.5,30,17,14,12,4,12,20,60.0,8,11,4,7,16,46,21,0,Matches
2190,Tom Rothe,de GER,DF,Dortmund,de Bundesliga,18-152,2004,0.3,1,1,0,1,0,1,1,100.0,0,0,0,0,1,2,2,0,Matches
2191,Joe Rothwell,eng ENG,MF,Bournemouth,eng Premier League,28-078,1995,5.0,6,3,2,4,0,2,9,22.2,7,7,2,5,5,11,2,0,Matches
2192,Anthony Rouault,fr FRA,DF,Toulouse,fr Ligue 1,21-305,2001,27.9,52,32,43,8,1,25,48,52.1,23,44,21,23,43,95,100,4,Matches
2193,Jérôme Roussillon,fr FRA,MFDF,Wolfsburg,de Bundesliga,30-083,1993,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
2194,Jérôme Roussillon,fr FRA,DF,Union Berlin,de Bundesliga,30-083,1993,3.1,2,1,1,0,1,1,2,50.0,1,1,0,1,1,3,9,0,Matches
2195,Nicolò Rovella,it ITA,MF,Monza,it Serie A,21-116,2001,11.5,30,22,16,13,1,10,23,43.5,13,13,1,12,26,56,10,0,Matches
2196,Nicolò Rovella,it ITA,MF,Juventus,it Serie A,21-116,2001,0.3,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
2197,Amir Rrahmani,xk KVX,DF,Napoli,it Serie A,29-034,1994,19.2,29,15,19,10,0,15,21,71.4,6,28,15,13,12,41,60,1,Matches
2198,Ruan,br BRA,DF,Sassuolo,it Serie A,23-296,1999,10.3,24,19,17,6,1,12,15,80.0,3,14,9,5,13,37,53,2,Matches
2199,Rubén,es ESP,DFMF,Espanyol,es La Liga,22-054,2001,7.2,22,11,13,6,3,16,23,69.6,7,9,2,7,15,37,13,0,Matches
2200,Antonio Rüdiger,de GER,DF,Real Madrid,es La Liga,30-027,1993,17.8,10,9,7,3,0,7,12,58.3,5,17,10,7,13,23,51,0,Matches
2201,Sebastian Rudy,de GER,MF,Hoffenheim,de Bundesliga,33-030,1990,6.0,18,10,7,11,0,7,19,36.8,12,16,1,15,6,24,12,0,Matches
2202,Daniele Rugani,it ITA,DF,Juventus,it Serie A,28-244,1994,3.9,6,0,5,1,0,3,3,100.0,0,4,2,2,4,10,18,0,Matches
2203,Matteo Ruggeri,it ITA,DFMF,Atalanta,it Serie A,20-262,2002,8.2,17,12,5,9,3,8,15,53.3,7,14,3,11,10,27,14,0,Matches
2204,Mário Rui,pt POR,DF,Napoli,it Serie A,31-307,1991,16.6,29,19,15,11,3,18,33,54.5,15,16,3,13,15,44,22,1,Matches
2205,Aitor Ruibal,es ESP,DFFW,Betis,es La Liga,27-008,1996,12.0,39,22,29,7,3,24,41,58.5,17,12,1,11,18,57,32,0,Matches
2206,Kays Ruiz,ma MAR,MF,Auxerre,fr Ligue 1,20-216,2002,0.7,1,1,1,0,0,0,1,0.0,1,2,1,1,3,4,0,0,Matches
2207,Fabián Ruiz Peña,es ESP,MF,Paris S-G,fr Ligue 1,26-361,1996,14.7,44,19,16,23,5,33,56,58.9,23,19,1,18,10,54,13,1,Matches
2208,Víctor Ruiz,es ESP,DF,Betis,es La Liga,34-064,1989,6.2,5,3,3,2,0,3,3,100.0,0,10,7,3,6,11,34,0,Matches
2209,Gerónimo Rulli,ar ARG,GK,Villarreal,es La Liga,30-314,1992,14.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,6,2,Matches
2210,Franco Russo,ar ARG,DF,Mallorca,es La Liga,28-156,1994,1.6,2,1,2,0,0,0,1,0.0,1,5,0,5,3,5,5,0,Matches
2211,Georginio Rutter,fr FRA,FWMF,Leeds United,eng Premier League,20-344,2002,2.1,8,7,4,3,1,5,7,71.4,2,3,0,3,3,11,3,0,Matches
2212,Georginio Rutter,fr FRA,FW,Hoffenheim,de Bundesliga,20-344,2002,11.2,7,4,1,4,2,1,3,33.3,2,10,2,8,5,12,6,0,Matches
2213,Julian Ryerson,no NOR,DF,Union Berlin,de Bundesliga,25-133,1997,11.5,28,17,17,10,1,15,25,60.0,10,15,3,12,12,40,19,0,Matches
2214,Julian Ryerson,no NOR,DF,Dortmund,de Bundesliga,25-133,1997,7.8,13,5,9,3,1,11,14,78.6,3,6,1,5,6,19,12,0,Matches
2215,Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,30-238,1992,21.0,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,7,0,Matches
2216,José Sá,pt POR,GK,Wolves,eng Premier League,30-072,1993,28.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,8,2,Matches
2217,Youssouf Sabaly,sn SEN,DF,Betis,es La Liga,30-025,1993,14.2,31,15,19,10,2,16,21,76.2,5,28,7,21,16,47,38,1,Matches
2218,Halid Šabanović,ba BIH,DFFW,Angers,fr Ligue 1,23-220,1999,3.7,4,2,4,0,0,3,5,60.0,2,4,1,3,4,8,7,0,Matches
2219,Abdelhamid Sabiri,ma MAR,MF,Sampdoria,it Serie A,26-122,1996,11.2,17,7,5,8,4,4,13,30.8,9,15,2,13,2,19,5,0,Matches
2220,Marcel Sabitzer,at AUT,MF,Manchester Utd,eng Premier League,29-013,1994,3.1,9,6,2,7,0,2,4,50.0,2,5,1,4,5,14,8,0,Matches
2221,Marcel Sabitzer,at AUT,MF,Bayern Munich,de Bundesliga,29-013,1994,7.0,27,14,11,10,6,10,17,58.8,7,3,0,3,10,37,9,0,Matches
2222,Falaye Sacko,ml MLI,DF,Montpellier,fr Ligue 1,27-333,1995,20.0,39,20,19,14,6,26,38,68.4,12,31,10,21,25,64,49,1,Matches
2223,Umar Sadiq,ng NGA,FW,Almería,es La Liga,26-056,1997,2.7,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,3,0,Matches
2224,Umar Sadiq,ng NGA,FW,Real Sociedad,es La Liga,26-056,1997,0.9,1,1,0,0,1,0,1,0.0,1,2,0,2,0,1,0,0,Matches
2225,Alexis Saelemaekers,be BEL,FWDF,Milan,it Serie A,23-276,1999,9.7,25,17,11,12,2,15,29,51.7,14,9,1,8,8,33,8,0,Matches
2226,Wesley Saïd,fr FRA,FWMF,Lens,fr Ligue 1,27-345,1995,6.6,4,1,1,2,1,2,5,40.0,3,4,0,4,1,5,1,0,Matches
2227,Allan Saint-Maximin,fr FRA,FW,Newcastle Utd,eng Premier League,26-018,1997,9.6,5,3,2,3,0,2,8,25.0,6,3,0,3,4,9,1,0,Matches
2228,Théo Sainte-Luce,fr FRA,DF,Montpellier,fr Ligue 1,24-161,1998,3.9,7,5,3,4,0,4,10,40.0,6,4,2,2,4,11,5,0,Matches
2229,Samuel Sáiz,es ESP,MF,Girona,es La Liga,32-067,1991,2.7,2,2,0,2,0,1,2,50.0,1,3,0,3,0,2,1,1,Matches
2230,Bukayo Saka,eng ENG,FW,Arsenal,eng Premier League,21-206,2001,26.7,39,23,15,9,15,11,26,42.3,15,31,0,31,13,52,18,0,Matches
2231,Hamza Sakhi,ma MAR,MF,Auxerre,fr Ligue 1,26-296,1996,17.7,43,22,21,17,5,21,40,52.5,19,15,1,14,24,67,8,0,Matches
2232,Mamadou Sakho,fr FRA,DF,Montpellier,fr Ligue 1,33-045,1990,6.0,7,3,3,4,0,2,4,50.0,2,9,7,2,5,12,25,1,Matches
2233,Jacopo Sala,it ITA,MF,Spezia,it Serie A,31-115,1991,1.2,1,0,1,0,0,0,2,0.0,2,2,0,2,1,2,2,0,Matches
2234,Ibrahim Salah,ma MAR,FWMF,Rennes,fr Ligue 1,21-212,2001,1.5,5,1,4,1,0,1,8,12.5,7,2,0,2,2,7,0,0,Matches
2235,Mohamed Salah,eg EGY,FW,Liverpool,eng Premier League,30-288,1992,25.7,13,9,3,3,7,7,15,46.7,8,16,0,16,4,17,3,0,Matches
2236,Amine Salama,fr FRA,FWMF,Angers,fr Ligue 1,22-255,2000,13.9,11,9,3,7,1,2,12,16.7,10,8,2,6,10,21,2,0,Matches
2237,William Saliba,fr FRA,DF,Arsenal,eng Premier League,22-006,2001,26.8,34,20,23,9,2,15,18,83.3,3,13,10,3,19,53,85,4,Matches
2238,Dikeni Salifou,tg TOG,MF,Werder Bremen,de Bundesliga,19-295,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
2239,Mohammed Salisu,gh GHA,DF,Southampton,eng Premier League,23-347,1999,21.9,51,29,33,16,2,24,34,70.6,10,56,25,31,31,82,122,1,Matches
2240,Roland Sallai,hu HUN,MFFW,Freiburg,de Bundesliga,25-312,1997,7.0,5,5,1,3,1,2,8,25.0,6,6,1,5,2,7,4,0,Matches
2241,Yoann Salmier,gf GUF,DF,Troyes,fr Ligue 1,30-129,1992,24.9,42,24,27,10,5,19,28,67.9,9,29,18,11,32,74,105,0,Matches
2242,Salvi,es ESP,FWMF,Rayo Vallecano,es La Liga,32-000,1991,3.5,7,5,2,3,2,1,3,33.3,2,0,0,0,2,9,0,0,Matches
2243,Lazar Samardzic,rs SRB,MF,Udinese,it Serie A,21-034,2002,11.7,20,11,5,11,4,11,25,44.0,14,7,0,7,9,29,10,0,Matches
2244,Diadie Samassékou,ml MLI,MFFW,Hoffenheim,de Bundesliga,27-078,1996,0.4,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,Matches
2245,Mama Samba Baldé,gw GNB,FW,Troyes,fr Ligue 1,27-144,1995,21.7,37,17,12,16,9,10,19,52.6,9,24,3,21,4,41,9,0,Matches
2246,Brice Samba,fr FRA,GK,Lens,fr Ligue 1,28-339,1994,28.0,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,8,1,Matches
2247,Albert Sambi Lokonga,be BEL,MF,Arsenal,eng Premier League,23-159,1999,2.2,1,1,0,0,1,0,2,0.0,2,1,0,1,5,6,2,0,Matches
2248,Albert Sambi Lokonga,be BEL,MF,Crystal Palace,eng Premier League,23-159,1999,5.2,13,10,7,4,2,8,12,66.7,4,7,3,4,7,20,9,0,Matches
2249,Junior Sambia,fr FRA,DF,Salernitana,it Serie A,26-204,1996,5.6,9,4,4,4,1,4,6,66.7,2,9,3,6,4,13,15,1,Matches
2250,Samuel,br BRA,FWMF,Valencia,es La Liga,23-097,1999,23.1,41,27,11,24,6,16,45,35.6,29,19,0,19,10,51,11,0,Matches
2251,Fede San Emeterio,es ESP,MF,Cádiz,es La Liga,26-014,1997,12.9,26,13,16,8,2,13,27,48.1,14,25,9,16,7,33,17,0,Matches
2252,Antonio Sanabria,py PAR,FW,Torino,it Serie A,27-026,1996,17.1,8,4,1,3,4,1,5,20.0,4,5,2,3,3,11,4,0,Matches
2253,Leandro Sanca,pt POR,FWMF,Spezia,it Serie A,23-085,2000,0.4,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,Matches
2254,Oihan Sancet,es ESP,MF,Athletic Club,es La Liga,22-339,2000,19.4,16,9,1,11,4,6,28,21.4,22,9,0,9,3,19,7,1,Matches
2255,Renato Sanches,pt POR,MF,Paris S-G,fr Ligue 1,25-224,1997,5.1,3,0,0,1,2,1,6,16.7,5,7,0,7,9,12,3,0,Matches
2256,Alexis Sánchez,cl CHI,FW,Marseille,fr Ligue 1,34-101,1988,21.0,21,15,4,14,3,1,11,9.1,10,7,0,7,3,24,5,0,Matches
2257,Antonio Sánchez,es ESP,MF,Mallorca,es La Liga,26-088,1997,7.6,9,5,4,3,2,3,16,18.8,13,10,0,10,9,18,4,1,Matches
2258,Davinson Sánchez,co COL,DF,Tottenham,eng Premier League,26-291,1996,6.4,15,6,10,4,1,9,10,90.0,1,9,6,3,10,25,25,0,Matches
2259,Iván Sánchez,es ESP,MFFW,Valladolid,es La Liga,30-188,1992,11.5,18,14,7,7,4,9,22,40.9,13,12,1,11,7,25,4,0,Matches
2260,Javi Sánchez,es ESP,DF,Valladolid,es La Liga,26-016,1997,19.7,33,18,21,11,1,11,17,64.7,6,24,17,7,37,70,94,0,Matches
2261,Manuel Sánchez,es ESP,DF,Osasuna,es La Liga,22-218,2000,13.5,30,21,20,5,5,19,31,61.3,12,21,4,17,11,41,27,0,Matches
2262,Robert Sánchez,es ESP,GK,Brighton,eng Premier League,25-132,1997,22.0,1,0,1,0,0,0,0,,0,0,0,0,3,4,8,2,Matches
2263,Jadon Sancho,eng ENG,FWMF,Manchester Utd,eng Premier League,23-005,2000,10.3,9,5,5,3,1,4,11,36.4,7,9,1,8,4,13,3,0,Matches
2264,Alex Sandro,br BRA,DF,Juventus,it Serie A,32-063,1991,16.2,23,13,10,12,1,9,15,60.0,6,19,8,11,13,36,48,0,Matches
2265,Leroy Sané,de GER,MFFW,Bayern Munich,de Bundesliga,27-078,1996,16.5,27,21,7,13,7,11,20,55.0,9,8,1,7,1,28,1,2,Matches
2266,Sidi Sané,de GER,FW,Schalke 04,de Bundesliga,19-343,2003,0.3,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
2267,Morgan Sanson,fr FRA,MF,Aston Villa,eng Premier League,28-224,1994,0.1,2,1,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0,Matches
2268,Morgan Sanson,fr FRA,MF,Strasbourg,fr Ligue 1,28-224,1994,6.2,14,9,4,5,5,3,19,15.8,16,12,1,11,12,26,4,0,Matches
2269,Nicola Sansone,it ITA,FW,Bologna,it Serie A,31-201,1991,4.8,5,3,4,0,1,3,4,75.0,1,0,0,0,0,5,2,0,Matches
2270,Baptiste Santamaria,fr FRA,MF,Rennes,fr Ligue 1,28-021,1995,13.7,33,18,10,19,4,15,32,46.9,17,14,3,11,17,50,14,0,Matches
2271,Riccardo Saponara,it ITA,FW,Fiorentina,it Serie A,31-099,1991,10.2,10,5,3,6,1,5,9,55.6,4,5,1,4,4,14,6,0,Matches
2272,Pablo Sarabia,es ESP,FWMF,Wolves,eng Premier League,30-323,1992,5.7,7,4,2,3,2,3,9,33.3,6,4,0,4,1,8,1,0,Matches
2273,Pablo Sarabia,es ESP,FWMF,Paris S-G,fr Ligue 1,30-323,1992,4.1,5,4,2,2,1,1,7,14.3,6,3,0,3,2,7,0,0,Matches
2274,Muhammed Saracevic Cham,at AUT,MF,Clermont Foot,fr Ligue 1,22-185,2000,16.1,25,12,13,3,9,10,27,37.0,17,12,0,12,6,31,5,0,Matches
2275,Jeremy Sarmiento,ec ECU,MF,Brighton,eng Premier League,20-287,2002,2.0,6,3,4,1,1,2,5,40.0,3,2,0,2,1,7,0,0,Matches
2276,Amin Sarr,se SWE,FW,Lyon,fr Ligue 1,22-019,2001,4.6,6,5,0,4,2,0,1,0.0,1,2,0,2,0,6,2,0,Matches
2277,Malang Sarr,fr FRA,DF,Monaco,fr Ligue 1,24-066,1999,8.0,6,3,5,1,0,1,5,20.0,4,11,7,4,15,21,29,2,Matches
2278,Martin Satriano,uy URU,FW,Empoli,it Serie A,22-038,2001,18.0,13,8,5,6,2,6,12,50.0,6,5,0,5,3,16,19,0,Matches
2279,Téji Savanier,fr FRA,MF,Montpellier,fr Ligue 1,31-098,1991,22.0,38,26,15,16,7,19,54,35.2,35,23,2,21,26,64,9,1,Matches
2280,Esteban Saveljich,me MNE,FW,Rayo Vallecano,es La Liga,31-314,1991,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
2281,Stefan Savić,me MNE,DF,Atlético Madrid,es La Liga,32-081,1991,17.6,32,23,22,7,3,23,32,71.9,9,12,7,5,29,61,49,1,Matches
2282,Joe Scally,us USA,DF,M'Gladbach,de Bundesliga,20-089,2002,20.9,24,16,19,5,0,19,25,76.0,6,15,6,9,7,31,51,0,Matches
2283,Giorgio Scalvini,it ITA,DF,Atalanta,it Serie A,19-109,2003,16.4,39,20,23,10,6,22,35,62.9,13,22,9,13,31,70,40,1,Matches
2284,Gianluca Scamacca,it ITA,FW,West Ham,eng Premier League,24-088,1999,10.3,10,5,1,3,6,2,2,100.0,0,3,0,3,4,14,5,0,Matches
2285,Gustavo Scarpa,br BRA,MFFW,Nott'ham Forest,eng Premier League,29-084,1994,1.8,4,1,2,1,1,2,4,50.0,2,3,0,3,0,4,3,0,Matches
2286,Kevin Schade,de GER,FWMF,Brentford,eng Premier League,21-123,2001,2.1,4,1,2,2,0,1,2,50.0,1,4,0,4,1,5,1,0,Matches
2287,Kevin Schade,de GER,FWMF,Freiburg,de Bundesliga,21-123,2001,2.0,6,4,3,2,1,3,5,60.0,2,0,0,0,0,6,2,0,Matches
2288,András Schäfer,hu HUN,MF,Union Berlin,de Bundesliga,23-351,1999,8.4,20,8,7,12,1,6,13,46.2,7,11,2,9,4,24,11,0,Matches
2289,Fabian Schär,ch SUI,DF,Newcastle Utd,eng Premier League,31-100,1991,23.8,29,11,20,8,1,14,19,73.7,5,24,14,10,37,66,101,0,Matches
2290,Derry Scherhant,de GER,FW,Hertha BSC,de Bundesliga,20-140,2002,2.1,4,3,2,2,0,2,3,66.7,1,1,0,1,0,4,3,0,Matches
2291,Patrik Schick,cz CZE,FW,Leverkusen,de Bundesliga,27-065,1996,10.5,0,0,0,0,0,0,1,0.0,1,4,1,3,1,1,7,0,Matches
2292,Kingsley Schindler,gh GHA,DFMF,Köln,de Bundesliga,29-261,1993,7.8,18,11,12,5,1,14,22,63.6,8,6,1,5,9,27,19,0,Matches
2293,Xaver Schlager,at AUT,MF,RB Leipzig,de Bundesliga,25-183,1997,16.3,40,23,13,25,2,20,43,46.5,23,19,2,17,16,56,23,0,Matches
2294,Keven Schlotterbeck,de GER,DF,Freiburg,de Bundesliga,25-336,1997,0.2,0,0,0,0,0,0,0,,0,1,1,0,2,2,2,0,Matches
2295,Keven Schlotterbeck,de GER,DF,Bochum,de Bundesliga,25-336,1997,6.2,13,6,9,4,0,6,7,85.7,1,10,4,6,13,26,30,0,Matches
2296,Nico Schlotterbeck,de GER,DF,Dortmund,de Bundesliga,23-119,1999,24.3,56,32,34,21,1,35,51,68.6,16,36,19,17,30,86,70,1,Matches
2297,Jeffrey Schlupp,gh GHA,MFFW,Crystal Palace,eng Premier League,30-097,1992,22.5,50,35,23,22,5,20,37,54.1,17,32,7,25,22,72,31,0,Matches
2298,Kasper Schmeichel,dk DEN,GK,Nice,fr Ligue 1,36-145,1986,26.0,0,0,0,0,0,0,2,0.0,2,1,0,1,1,1,7,1,Matches
2299,Romano Schmid,at AUT,MF,Werder Bremen,de Bundesliga,23-062,2000,12.1,21,13,4,12,5,9,18,50.0,9,18,3,15,6,27,10,0,Matches
2300,Kenneth Schmidt,de GER,DF,Freiburg,de Bundesliga,20-300,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
2301,Niklas Schmidt,de GER,MF,Werder Bremen,de Bundesliga,25-029,1998,10.1,23,10,11,10,2,11,25,44.0,14,7,0,7,3,26,8,0,Matches
2302,Benno Schmitz,de GER,DF,Köln,de Bundesliga,28-133,1994,20.2,52,34,23,25,4,34,58,58.6,24,27,4,23,20,72,42,0,Matches
2303,Jerdy Schouten,nl NED,MF,Bologna,it Serie A,26-077,1997,18.2,40,24,18,20,2,17,30,56.7,13,33,14,19,32,72,35,1,Matches
2304,Perr Schuurs,nl NED,DF,Torino,it Serie A,23-124,1999,18.1,34,16,19,11,4,10,17,58.8,7,20,11,9,19,53,78,0,Matches
2305,Marvin Schwäbe,de GER,GK,Köln,de Bundesliga,27-339,1995,25.0,1,0,1,0,0,1,1,100.0,0,0,0,0,2,3,4,2,Matches
2306,Alexander Schwolow,de GER,GK,Schalke 04,de Bundesliga,30-301,1992,17.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,2,Matches
2307,Demba Seck,sn SEN,FWMF,Torino,it Serie A,22-048,2001,4.3,5,2,3,2,0,2,2,100.0,0,3,1,2,1,6,1,0,Matches
2308,Haris Seferović,ch SUI,FWMF,Celta Vigo,es La Liga,31-036,1992,3.5,4,2,0,4,0,2,5,40.0,3,3,0,3,1,5,1,0,Matches
2309,Jacopo Segre,it ITA,DF,Torino,it Serie A,26-041,1997,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
2310,Paul Seguin,de GER,MF,Union Berlin,de Bundesliga,28-001,1995,7.0,14,7,7,3,4,6,16,37.5,10,6,0,6,5,19,7,0,Matches
2311,Alidu Seidu,gh GHA,DF,Clermont Foot,fr Ligue 1,22-299,2000,19.5,36,23,24,9,3,22,34,64.7,12,20,13,7,37,73,38,2,Matches
2312,Davie Selke,de GER,FW,Hertha BSC,de Bundesliga,28-069,1995,3.1,2,1,1,1,0,0,1,0.0,1,3,1,2,1,3,5,0,Matches
2313,Davie Selke,de GER,FW,Köln,de Bundesliga,28-069,1995,4.0,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,4,0,Matches
2314,Matz Sels,be BEL,GK,Strasbourg,fr Ligue 1,31-032,1992,28.0,2,1,2,0,0,2,2,100.0,0,0,0,0,3,5,18,0,Matches
2315,Nélson Semedo,pt POR,DF,Wolves,eng Premier League,29-134,1993,19.8,54,33,36,15,3,25,45,55.6,20,30,11,19,20,74,57,1,Matches
2316,Vivaldo Semedo,pt POR,FW,Udinese,it Serie A,18-061,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
2317,Antoine Semenyo,gh GHA,FWMF,Bournemouth,eng Premier League,23-082,2000,2.6,1,0,0,0,1,1,5,20.0,4,10,1,9,2,3,3,0,Matches
2318,Marvin Senaya,tg TOG,DF,Strasbourg,fr Ligue 1,22-061,2001,0.1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,Matches
2319,Marcos Senesi,ar ARG,DF,Bournemouth,eng Premier League,25-324,1997,20.9,39,28,23,16,0,17,30,56.7,13,34,16,18,27,66,118,1,Matches
2320,Stefano Sensi,it ITA,MF,Monza,it Serie A,27-237,1995,14.5,39,25,24,12,3,17,41,41.5,24,12,2,10,15,54,3,0,Matches
2321,Jaime Seoane,es ESP,MF,Getafe,es La Liga,26-067,1997,3.4,10,4,3,4,3,2,8,25.0,6,6,2,4,1,11,2,0,Matches
2322,Luigi Sepe,it ITA,GK,Salernitana,it Serie A,31-326,1991,17.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
2323,Suat Serdar,de GER,MF,Hertha BSC,de Bundesliga,25-353,1997,18.7,44,19,12,25,7,18,33,54.5,15,45,11,34,25,69,21,0,Matches
2324,Leonardo Sernicola,it ITA,DF,Cremonese,it Serie A,25-243,1997,19.8,34,23,18,10,6,20,30,66.7,10,15,3,12,27,61,34,0,Matches
2325,Ryan Sessegnon,eng ENG,DF,Tottenham,eng Premier League,22-316,2000,9.0,16,11,9,7,0,6,12,50.0,6,8,1,7,6,22,17,1,Matches
2326,Stephan El Shaarawy,it ITA,DFMF,Roma,it Serie A,30-154,1992,10.3,13,7,5,6,2,4,13,30.8,9,8,1,7,13,26,8,0,Matches
2327,Luke Shaw,eng ENG,DF,Manchester Utd,eng Premier League,27-261,1995,20.5,38,20,23,13,2,24,30,80.0,6,39,11,28,25,63,40,2,Matches
2328,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,eng Premier League,31-031,1992,0.4,1,0,1,0,0,0,1,0.0,1,1,0,1,0,1,0,0,Matches
2329,Jonjo Shelvey,eng ENG,MF,Nott'ham Forest,eng Premier League,31-031,1992,4.9,1,0,0,1,0,1,6,16.7,5,6,2,4,4,5,9,0,Matches
2330,Eldor Shomurodov,uz UZB,FW,Spezia,it Serie A,27-274,1995,4.0,1,1,0,0,1,0,4,0.0,4,3,0,3,1,2,2,0,Matches
2331,Eldor Shomurodov,uz UZB,FW,Roma,it Serie A,27-274,1995,1.3,1,0,1,0,0,0,2,0.0,2,1,0,1,1,2,0,0,Matches
2332,Kaj Sierhuis,nl NED,FWMF,Reims,fr Ligue 1,24-337,1998,0.6,2,2,1,0,1,0,3,0.0,3,1,0,1,0,2,1,0,Matches
2333,Vincent Sierro,ch SUI,MFFW,Toulouse,fr Ligue 1,27-173,1995,0.7,2,1,1,1,0,1,5,20.0,4,7,1,6,1,3,0,1,Matches
2334,Kiliann Sildillia,fr FRA,DFMF,Freiburg,de Bundesliga,20-318,2002,19.3,28,16,7,18,3,14,21,66.7,7,21,8,13,21,49,35,1,Matches
2335,André Silva,pt POR,FW,RB Leipzig,de Bundesliga,27-144,1995,17.1,10,4,2,4,4,3,7,42.9,4,11,1,10,2,12,3,0,Matches
2336,Bernardo Silva,pt POR,MFFW,Manchester City,eng Premier League,28-232,1994,19.8,41,22,11,23,7,18,35,51.4,17,19,3,16,13,54,5,0,Matches
2337,Caio Henrique Oliveira Silva,br BRA,DF,Monaco,fr Ligue 1,25-242,1997,23.5,56,39,33,20,3,33,55,60.0,22,22,7,15,15,71,47,1,Matches
2338,David Silva,es ESP,MF,Real Sociedad,es La Liga,37-081,1986,14.5,22,12,6,11,5,7,12,58.3,5,8,1,7,10,32,10,0,Matches
