,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
107,Fabrizio Angileri,ar ARG,DF,Getafe,es La Liga,29-015,1994,6.0,2,1,0,7,1,0,10,6,8,0,1,0,17,16,9,64.0,Matches
108,Jaidon Anthony,eng ENG,MFFW,Bournemouth,eng Premier League,23-119,1999,11.2,2,0,0,9,9,5,33,7,13,0,0,0,60,9,11,45.0,Matches
109,Janis Antiste,fr FRA,FW,Sassuolo,it Serie A,20-224,2002,0.6,0,0,0,4,0,0,0,0,0,0,0,0,4,2,1,66.7,Matches
110,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,26-253,1996,24.1,3,0,0,22,23,1,27,31,23,0,0,0,173,40,42,48.8,Matches
111,Marcos Antônio,br BRA,MF,Lazio,it Serie A,22-290,2000,3.5,1,0,0,6,11,0,0,3,4,0,0,0,22,0,1,0.0,Matches
112,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,33-002,1990,12.5,2,0,0,19,26,10,21,3,6,0,0,0,26,27,51,34.6,Matches
113,Antony,br BRA,FWMF,Manchester Utd,eng Premier League,23-034,2000,11.9,4,0,0,8,16,2,23,4,4,0,0,0,59,3,11,21.4,Matches
114,Valentin Antov,bg BUL,DF,Monza,it Serie A,22-141,2000,2.2,1,0,0,2,1,0,1,0,4,0,0,0,15,5,8,38.5,Matches
115,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,de Bundesliga,29-051,1994,13.5,0,0,0,11,23,12,38,3,11,1,0,0,69,10,30,25.0,Matches
116,Anuar,ma MAR,MFFW,Valladolid,es La Liga,28-074,1995,2.3,1,0,0,3,6,1,1,3,4,0,0,0,10,2,5,28.6,Matches
117,Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,24-273,1998,4.9,2,0,0,4,4,0,5,6,4,0,0,0,25,6,2,75.0,Matches
118,Adil Aouchiche,fr FRA,MFFW,Lorient,fr Ligue 1,20-258,2002,1.2,0,0,0,2,5,0,7,1,0,0,0,0,5,0,2,0.0,Matches
119,Dennis Appiah,fr FRA,DFMF,Nantes,fr Ligue 1,30-294,1992,8.8,1,0,0,16,1,1,21,10,11,0,1,0,50,16,16,50.0,Matches
120,Stredair Appuah,fr FRA,MF,Nantes,fr Ligue 1,18-276,2004,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
121,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,27-181,1995,9.2,4,1,1,19,11,0,39,12,6,0,0,1,52,13,10,56.5,Matches
122,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,33-347,1989,5.5,1,0,0,7,10,0,12,7,7,0,0,0,33,2,7,22.2,Matches
123,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,24-023,1999,12.5,4,1,0,9,7,1,3,9,13,0,0,1,49,26,14,65.0,Matches
124,Cameron Archer,eng ENG,FWMF,Aston Villa,eng Premier League,21-252,2001,0.5,0,0,0,2,1,1,1,0,0,0,0,0,2,0,0,,Matches
125,Taïryk Arconte,fr FRA,FW,Brest,fr Ligue 1,19-138,2003,1.4,0,0,0,1,2,1,1,0,1,0,0,0,3,3,3,50.0,Matches
126,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,30-031,1993,3.4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,,Matches
127,Joe Aribo,ng NGA,MFFW,Southampton,eng Premier League,26-252,1996,12.2,2,0,0,9,11,0,7,8,19,0,0,0,72,27,36,42.9,Matches
128,Adam Armstrong,eng ENG,FW,Southampton,eng Premier League,26-048,1997,12.3,1,0,0,14,7,2,14,4,7,0,0,0,46,4,16,20.0,Matches
129,Stuart Armstrong,sct SCO,MFFW,Southampton,eng Premier League,31-000,1992,11.1,5,0,0,14,14,1,20,4,12,0,0,0,57,6,6,50.0,Matches
130,Marko Arnautović,at AUT,FW,Bologna,it Serie A,33-345,1989,13.7,5,0,0,20,14,10,9,2,5,0,0,0,30,9,10,47.4,Matches
131,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,28-307,1994,23.2,5,0,0,24,51,0,121,18,22,0,0,0,179,24,22,52.2,Matches
132,Mohamed El Arouch,fr FRA,MF,Lyon,fr Ligue 1,18-358,2004,0.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,,Matches
133,Sergio Arribas,es ESP,FW,Real Madrid,es La Liga,21-181,2001,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,Matches
134,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,28-178,1994,18.5,1,0,0,0,5,0,0,0,2,0,0,0,31,7,1,87.5,Matches
135,Roberto Arroyo,es ESP,MF,Valladolid,es La Liga,19-217,2003,0.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,Matches
136,Tolgay Arslan,de GER,MF,Udinese,it Serie A,32-226,1990,10.3,1,0,0,13,25,0,22,7,11,0,0,0,53,5,2,71.4,Matches
137,Ricard Artero,es ESP,FW,Girona,es La Liga,20-053,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
138,Arthur,br BRA,FW,Fiorentina,it Serie A,24-339,1998,10.3,2,0,0,19,13,1,1,0,2,0,0,0,27,29,36,44.6,Matches
139,Santiago Arzamendia,py PAR,DFMF,Cádiz,es La Liga,24-329,1998,4.3,0,0,0,4,2,0,8,1,6,0,0,0,37,5,6,45.5,Matches
140,Takuma Asano,jp JPN,FWMF,Bochum,de Bundesliga,28-140,1994,11.2,1,0,0,8,19,5,14,6,4,0,0,0,45,10,21,32.3,Matches
141,Santiago Ascacíbar,ar ARG,MF,Cremonese,it Serie A,26-033,1997,8.1,1,0,0,11,9,0,5,13,14,0,0,0,62,10,20,33.3,Matches
142,Sergio Asenjo,es ESP,GK,Valladolid,es La Liga,33-275,1989,9.0,0,0,0,0,4,0,0,0,0,0,0,0,20,0,0,,Matches
143,Marco Asensio,es ESP,FWMF,Real Madrid,es La Liga,27-068,1996,7.8,1,0,0,7,8,2,41,2,6,1,1,0,25,3,0,100.0,Matches
144,Kristoffer Askildsen,no NOR,MF,Lecce,it Serie A,22-080,2001,6.9,3,0,0,16,6,1,19,10,3,0,1,0,39,17,16,51.5,Matches
145,Fisnik Asllani,xk KVX,FW,Hoffenheim,de Bundesliga,20-234,2002,1.6,0,0,0,1,2,2,3,2,0,0,0,0,2,4,4,50.0,Matches
146,Kristjan Asllani,al ALB,MF,Inter,it Serie A,21-021,2002,3.3,2,0,0,5,4,0,8,1,4,0,0,0,24,0,2,0.0,Matches
147,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,35-241,1987,24.4,4,0,0,12,49,9,30,6,2,0,0,0,83,24,35,40.7,Matches
148,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,22-281,2000,2.2,2,0,0,2,2,0,2,2,2,0,0,0,13,2,4,33.3,Matches
149,Youcef Atal,dz ALG,DFMF,Nice,fr Ligue 1,26-317,1996,7.1,1,0,0,9,15,3,33,11,19,0,0,0,41,6,7,46.2,Matches
150,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,17-217,2005,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,Matches
151,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,eng Premier League,33-285,1989,4.9,1,0,0,4,1,0,3,2,0,0,0,0,10,1,10,9.1,Matches
152,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,es La Liga,33-285,1989,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
153,Emil Audero,it ITA,GK,Sampdoria,it Serie A,26-071,1997,25.0,1,0,0,0,2,0,0,0,0,0,0,1,41,6,0,100.0,Matches
154,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,28-212,1994,23.0,1,0,0,12,15,1,99,8,10,0,1,0,116,25,20,55.6,Matches
