,,,,,,,,,SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,
650,Thomas Delaney,dk DEN,MF,Sevilla,es La Liga,31-208,1991,3.4,4,1.17,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
651,Thomas Delaney,dk DEN,MF,Hoffenheim,de Bundesliga,31-208,1991,3.2,3,0.95,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
652,Sacha Delaye,fr FRA,FWMF,Montpellier,fr Ligue 1,20-341,2002,0.2,2,9.00,0,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
653,Fran Delgado,es ESP,DF,Betis,es La Liga,21-262,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
654,Andy Delort,dz ALG,FW,Nice,fr Ligue 1,31-172,1991,8.7,21,2.42,19,0,0,2,0,0,2,0.23,2,0,0,0,0,0,Matches
655,Andy Delort,dz ALG,FW,Nantes,fr Ligue 1,31-172,1991,2.3,7,3.01,5,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
656,Karamoko Dembele,sct SCO,FWMF,Brest,fr Ligue 1,20-036,2003,1.8,7,3.87,4,2,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
657,Moussa Dembélé,fr FRA,FWMF,Lyon,fr Ligue 1,26-261,1996,9.3,13,1.39,11,0,1,0,0,1,2,0.21,2,0,0,0,0,0,Matches
658,Ousmane Dembélé,fr FRA,FW,Barcelona,es La Liga,25-319,1997,12.2,61,4.99,39,10,7,3,2,0,10,0.82,7,0,2,1,0,0,Matches
659,Siriki Dembélé,ci CIV,FWMF,Bournemouth,eng Premier League,26-204,1996,1.2,5,4.09,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
660,Siriki Dembélé,ci CIV,MF,Auxerre,fr Ligue 1,26-204,1996,2.7,7,2.59,4,0,3,0,0,0,0,0.00,0,0,0,0,0,0,Matches
661,Merih Demiral,tr TUR,DF,Atalanta,it Serie A,25-025,1998,16.0,3,0.19,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
662,Kerem Demirbay,de GER,MF,Leverkusen,de Bundesliga,29-270,1993,13.0,39,3.01,18,16,2,2,1,0,5,0.39,2,3,0,0,0,0,Matches
663,Ermedin Demirović,ba BIH,FWMF,Augsburg,de Bundesliga,25-005,1998,20.6,48,2.33,35,0,4,4,3,2,8,0.39,4,0,0,2,1,1,Matches
664,Diego Demme,de GER,MF,Napoli,it Serie A,31-129,1991,0.3,1,3.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
665,Sepp van den Berg,nl NED,DF,Schalke 04,de Bundesliga,21-100,2001,3.6,2,0.56,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
666,Branco van den Boomen,nl NED,MF,Toulouse,fr Ligue 1,27-252,1995,26.1,124,4.74,70,45,0,8,1,0,18,0.69,13,3,0,2,0,0,Matches
667,Leander Dendoncker,be BEL,MF,Aston Villa,eng Premier League,27-349,1995,4.1,7,1.72,5,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
668,Leander Dendoncker,be BEL,MF,Wolves,eng Premier League,27-349,1995,2.4,4,1.68,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
669,Emmanuel Dennis,ng NGA,FW,Nott'ham Forest,eng Premier League,25-135,1997,6.1,17,2.77,10,1,1,0,5,0,2,0.33,1,0,0,0,1,0,Matches
670,Fabio Depaoli,it ITA,DF,Hellas Verona,it Serie A,25-340,1997,16.6,34,2.05,24,6,0,0,3,1,2,0.12,2,0,0,0,0,0,Matches
671,Fabio Depaoli,it ITA,DFMF,Sampdoria,it Serie A,25-340,1997,1.5,6,3.97,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
672,Kastriot Dermaku,al ALB,DF,Lecce,it Serie A,31-074,1992,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
673,Halil Dervişoğlu,tr TUR,MF,Brentford,eng Premier League,23-112,1999,0.1,1,11.25,0,0,0,1,0,0,1,11.25,0,0,0,1,0,0,Matches
674,Rémy Descamps,fr FRA,GK,Nantes,fr Ligue 1,26-278,1996,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
675,Mikkel Desler,dk DEN,DF,Toulouse,fr Ligue 1,28-039,1995,18.4,36,1.96,30,1,2,3,0,0,5,0.27,5,0,0,0,0,0,Matches
676,Cyriel Dessers,ng NGA,FW,Cremonese,it Serie A,28-112,1994,14.8,33,2.22,20,2,3,4,3,1,1,0.07,0,0,1,0,0,0,Matches
677,Sergiño Dest,us USA,DF,Milan,it Serie A,22-147,2000,3.7,11,3.00,8,2,1,0,0,0,1,0.27,1,0,0,0,0,0,Matches
678,Mattia Destro,it ITA,FW,Empoli,it Serie A,32-010,1991,5.1,9,1.77,4,0,3,1,1,0,1,0.20,1,0,0,0,0,0,Matches
679,Gerard Deulofeu,es ESP,FW,Udinese,it Serie A,29-017,1994,13.5,82,6.09,54,14,6,5,3,0,9,0.67,7,2,0,0,0,0,Matches
680,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,eng Premier League,24-205,1998,21.7,66,3.04,51,0,7,2,4,2,9,0.41,6,0,1,0,1,1,Matches
681,Samuel Di Carmine,it ITA,FWMF,Cremonese,it Serie A,34-182,1988,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
682,Federico Di Francesco,it ITA,FWMF,Lecce,it Serie A,28-289,1994,15.7,38,2.42,22,5,4,2,4,1,5,0.32,2,1,1,1,0,0,Matches
683,Michele Di Gregorio,it ITA,GK,Monza,it Serie A,25-246,1997,26.0,1,0.04,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
684,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,29-238,1993,26.9,87,3.24,74,5,0,4,3,1,13,0.48,13,0,0,0,0,0,Matches
685,Ángel Di María,ar ARG,FWMF,Juventus,it Serie A,35-044,1988,9.7,53,5.45,27,16,5,5,0,0,7,0.72,5,2,0,0,0,0,Matches
686,Boulaye Dia,sn SEN,FW,Salernitana,it Serie A,26-134,1996,19.6,47,2.40,38,0,2,5,2,0,5,0.25,5,0,0,0,0,0,Matches
687,Moussa Diaby,fr FRA,FWMF,Leverkusen,de Bundesliga,23-266,1999,21.7,80,3.69,55,4,9,9,3,0,12,0.55,6,0,4,0,2,0,Matches
688,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,26-101,1996,16.2,7,0.43,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
689,Bafodé Diakité,fr FRA,DF,Lille,fr Ligue 1,22-083,2001,21.8,28,1.29,23,1,0,2,1,1,0,0.00,0,0,0,0,0,0,Matches
690,Ibrahim Diakité,gn GUI,DF,Reims,fr Ligue 1,19-150,2003,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
691,Abdou Diallo,sn SEN,DFMF,RB Leipzig,de Bundesliga,26-330,1996,4.8,5,1.03,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
692,Baila Diallo,fr FRA,DFMF,Clermont Foot,fr Ligue 1,21-279,2001,1.0,2,2.02,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
693,Habib Diallo,sn SEN,FW,Strasbourg,fr Ligue 1,27-285,1995,23.1,46,1.99,29,0,3,8,6,0,4,0.17,1,0,1,2,0,0,Matches
694,Ibrahima Diallo,fr FRA,MF,Southampton,eng Premier League,24-022,1999,8.9,10,1.12,8,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
695,Ismael Diallo,ci CIV,DF,Ajaccio,fr Ligue 1,26-060,1997,19.1,13,0.68,10,2,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
696,Mamady Diarra,ml MLI,MFDF,Cádiz,es La Liga,22-277,2000,0.7,1,1.36,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
697,Mouhamadou Diarra,sn SEN,MF,Strasbourg,fr Ligue 1,19-086,2004,10.0,25,2.51,14,0,4,3,4,0,1,0.10,0,0,0,0,1,0,Matches
698,Moussa Diarra,ml MLI,DF,Toulouse,fr Ligue 1,22-140,2000,11.6,15,1.29,14,0,0,0,1,0,3,0.26,3,0,0,0,0,0,Matches
699,Stéphane Diarra,fr FRA,FWMF,Lorient,fr Ligue 1,24-111,1998,11.0,34,3.09,19,2,5,2,5,1,5,0.46,1,0,2,0,1,1,Matches
700,Youba Diarra,ml MLI,MF,Cádiz,es La Liga,25-006,1998,0.6,3,5.09,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
701,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,25-320,1997,15.2,12,0.79,9,0,0,3,0,0,1,0.07,1,0,0,0,0,0,Matches
702,Krépin Diatta,sn SEN,MFFW,Monaco,fr Ligue 1,24-033,1999,18.4,57,3.10,36,1,6,6,5,3,7,0.38,2,0,0,1,3,1,Matches
703,Mory Diaw,sn SEN,GK,Clermont Foot,fr Ligue 1,29-281,1993,28.0,4,0.14,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
704,Brahim Díaz,es ESP,MF,Milan,it Serie A,23-239,1999,14.5,62,4.27,45,1,7,5,3,1,9,0.62,4,0,2,2,0,1,Matches
705,Luis Díaz,co COL,FW,Liverpool,eng Premier League,26-076,1997,6.8,20,2.94,13,0,4,1,2,0,4,0.59,2,0,2,0,0,0,Matches
706,Justin Diehl,de GER,MFFW,Köln,de Bundesliga,18-123,2004,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
707,Bamba Dieng,sn SEN,FWMF,Marseille,fr Ligue 1,23-007,2000,2.2,6,2.78,2,0,0,0,3,1,1,0.46,0,0,0,0,1,0,Matches
708,Bamba Dieng,sn SEN,FW,Lorient,fr Ligue 1,23-007,2000,4.8,9,1.89,6,0,0,2,0,1,1,0.21,0,0,0,1,0,0,Matches
709,Eric Dier,eng ENG,DF,Tottenham,eng Premier League,29-074,1994,25.3,23,0.91,18,1,0,4,0,0,2,0.08,1,0,0,1,0,0,Matches
710,Florian Dietz,de GER,FW,Köln,de Bundesliga,24-239,1998,4.4,6,1.37,3,1,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
711,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,29-253,1993,14.3,23,1.60,19,3,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
712,Federico Dimarco,it ITA,DF,Inter,it Serie A,25-140,1997,18.6,81,4.34,51,24,1,2,2,1,5,0.27,4,0,1,0,0,0,Matches
713,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,29-095,1993,25.0,3,0.12,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
714,Junior Dina Ebimbe,fr FRA,DFMF,Eint Frankfurt,de Bundesliga,22-129,2000,8.7,15,1.73,11,1,1,2,0,0,1,0.12,1,0,0,0,0,0,Matches
715,Tristan Dingomé,cm CMR,MF,Troyes,fr Ligue 1,32-041,1991,1.1,8,7.35,6,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
716,Eren Dinkçi,de GER,FWMF,Werder Bremen,de Bundesliga,21-107,2001,2.0,4,2.03,3,0,0,1,0,0,1,0.51,1,0,0,0,0,0,Matches
717,Sinaly Diomande,ci CIV,DF,Lyon,fr Ligue 1,21-355,2001,14.4,8,0.55,7,1,0,0,0,0,1,0.07,0,1,0,0,0,0,Matches
718,Lois Diony,fr FRA,FW,Angers,fr Ligue 1,30-100,1992,4.9,10,2.06,7,0,2,1,0,0,0,0.00,0,0,0,0,0,0,Matches
719,Edan Diop,fr FRA,DF,Monaco,fr Ligue 1,18-214,2004,0.7,1,1.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
720,Issa Diop,fr FRA,DF,Fulham,eng Premier League,26-080,1997,15.7,7,0.44,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
721,Sofiane Diop,fr FRA,MFFW,Nice,fr Ligue 1,22-294,2000,11.2,40,3.58,28,7,2,1,2,0,7,0.63,5,1,0,1,0,0,Matches
722,Sofiane Diop,fr FRA,MF,Monaco,fr Ligue 1,22-294,2000,0.7,7,9.69,4,2,1,0,0,0,2,2.77,1,1,0,0,0,0,Matches
723,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,23-134,1999,21.0,3,0.14,2,1,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
724,Axel Disasi,fr FRA,DF,Monaco,fr Ligue 1,25-019,1998,27.0,21,0.78,19,0,0,1,0,1,5,0.19,5,0,0,0,0,0,Matches
725,Malcom Abdulai Ares Djalo,es ESP,FW,Athletic Club,es La Liga,21-169,2001,0.1,3,54.00,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
726,Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,22-355,2000,22.4,10,0.45,8,0,0,1,1,0,3,0.13,2,0,0,0,1,0,Matches
727,Djené,tg TOG,DF,Getafe,es La Liga,31-089,1991,22.1,21,0.95,15,1,1,1,3,0,5,0.23,5,0,0,0,0,0,Matches
728,Moussa Djenepo,ml MLI,DFFW,Southampton,eng Premier League,24-288,1998,6.4,13,2.02,9,0,1,1,2,0,2,0.31,1,0,1,0,0,0,Matches
729,Koffi Djidji,ci CIV,DF,Torino,it Serie A,30-120,1992,20.3,12,0.59,10,0,0,0,0,2,1,0.05,1,0,0,0,0,0,Matches
730,Alexander Djiku,gh GHA,DF,Strasbourg,fr Ligue 1,28-233,1994,24.0,17,0.71,16,1,0,0,0,0,4,0.17,4,0,0,0,0,0,Matches
731,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,30-039,1993,10.4,3,0.29,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
732,Moussa Djitte,sn SEN,FW,Ajaccio,fr Ligue 1,23-177,1999,1.5,2,1.31,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
733,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,31-065,1992,3.1,1,0.32,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
734,Alan Do Marcolino,ga GAB,FW,Rennes,fr Ligue 1,21-011,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
735,Ben Doak,sct SCO,FW,Liverpool,eng Premier League,17-139,2005,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
736,Ritsu Doan,jp JPN,FWMF,Freiburg,de Bundesliga,24-287,1998,19.7,49,2.50,28,0,8,4,7,2,7,0.36,3,0,1,0,3,0,Matches
737,Dodô,br BRA,DF,Fiorentina,it Serie A,24-133,1998,18.5,47,2.55,41,1,1,2,1,1,3,0.16,3,0,0,0,0,0,Matches
738,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,24-273,1998,15.6,9,0.58,8,0,0,0,1,0,2,0.13,1,0,0,0,1,0,Matches
739,Matt Doherty,ie IRL,DFMF,Tottenham,eng Premier League,31-073,1992,7.4,18,2.43,13,0,2,2,1,0,3,0.41,2,0,0,1,0,0,Matches
740,Matt Doherty,ie IRL,DF,Atlético Madrid,es La Liga,31-073,1992,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
741,Josh Doig,sct SCO,DF,Hellas Verona,it Serie A,20-316,2002,13.8,31,2.25,21,4,3,1,2,0,7,0.51,5,0,1,0,1,0,Matches
742,Jeremy Doku,be BEL,MFFW,Rennes,fr Ligue 1,20-307,2002,6.7,32,4.80,21,0,9,1,0,1,2,0.30,0,0,2,0,0,0,Matches
743,Kasper Dolberg,dk DEN,FW,Sevilla,es La Liga,25-175,1997,2.2,1,0.45,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
744,Kasper Dolberg,dk DEN,FWMF,Hoffenheim,de Bundesliga,25-175,1997,3.8,6,1.58,5,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
745,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,22-047,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
746,Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,24-275,1998,17.6,48,2.73,41,2,2,0,2,1,4,0.23,4,0,0,0,0,0,Matches
747,John Donald,es ESP,DF,Elche,es La Liga,22-212,2000,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
748,Giulio Donati,it ITA,DF,Monza,it Serie A,33-053,1990,3.4,2,0.58,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
749,Kyliane Dong,fr FRA,DFMF,Troyes,fr Ligue 1,18-184,2004,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
750,Jordan Dongmo,cm CMR,MF,Troyes,fr Ligue 1,22-059,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
751,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,24-033,1999,28.0,1,0.04,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
752,Niklas Dorsch,de GER,MF,Augsburg,de Bundesliga,25-074,1998,2.1,2,0.97,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
753,Gabriel Dos Santos,br BRA,DF,Arsenal,eng Premier League,25-101,1997,27.9,19,0.68,16,0,0,2,0,1,2,0.07,2,0,0,0,0,0,Matches
754,Jodel Dossou,bj BEN,MFDF,Clermont Foot,fr Ligue 1,31-013,1992,2.9,5,1.74,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
755,Lohann Doucet,fr FRA,MFFW,Nantes,fr Ligue 1,20-197,2002,1.0,6,5.93,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
756,Abdoulaye Doucouré,ml MLI,MF,Everton,eng Premier League,30-088,1993,10.4,26,2.51,22,0,3,1,0,0,2,0.19,2,0,0,0,0,0,Matches
757,Cheick Doucouré,ml MLI,MF,Crystal Palace,eng Premier League,23-081,2000,22.5,42,1.87,33,0,2,4,1,2,4,0.18,2,0,0,1,0,1,Matches
758,Ckene Doucouré,km COM,FWMF,Lorient,fr Ligue 1,20-356,2002,1.0,9,9.10,8,0,0,1,0,0,1,1.01,1,0,0,0,0,0,Matches
759,Désiré Doué,fr FRA,MFFW,Rennes,fr Ligue 1,17-300,2005,11.1,32,2.87,21,2,3,1,3,2,2,0.18,2,0,0,0,0,0,Matches
760,Guela Doué,fr FRA,FW,Rennes,fr Ligue 1,20-164,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
761,Ismaël Doukouré,fr FRA,DF,Strasbourg,fr Ligue 1,19-249,2003,16.3,14,0.86,12,0,1,1,0,0,2,0.12,2,0,0,0,0,0,Matches
762,Kamory Doumbia,ml MLI,MF,Reims,fr Ligue 1,20-040,2003,10.1,36,3.56,30,0,2,2,1,1,3,0.30,3,0,0,0,0,0,Matches
763,Souleyman Doumbia,ci CIV,DFFW,Angers,fr Ligue 1,26-187,1996,19.0,28,1.47,22,0,3,0,2,1,0,0.00,0,0,0,0,0,0,Matches
764,Flynn Downes,eng ENG,MF,West Ham,eng Premier League,24-069,1999,4.4,6,1.36,3,0,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
765,Bartłomiej Drągowski,pl POL,GK,Spezia,it Serie A,25-223,1997,23.7,5,0.21,4,1,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
766,Cody Drameh,eng ENG,DF,Leeds United,eng Premier League,21-112,2001,0.8,1,1.30,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
767,Dion Drena Beljo,hr CRO,FWMF,Augsburg,de Bundesliga,21-029,2002,5.3,11,2.08,9,0,0,1,0,1,3,0.57,2,0,0,1,0,0,Matches
768,Dominick Drexler,de GER,MFFW,Schalke 04,de Bundesliga,32-308,1990,11.3,31,2.75,25,3,1,1,1,0,3,0.27,3,0,0,0,0,0,Matches
769,Domingos Duarte,pt POR,DF,Getafe,es La Liga,28-020,1995,23.4,9,0.38,7,0,0,2,0,0,3,0.13,2,0,0,1,0,0,Matches
770,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,34-074,1989,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
771,Marvin Ducksch,de GER,FW,Werder Bremen,de Bundesliga,29-023,1994,23.2,85,3.66,54,24,4,1,2,0,20,0.86,13,4,2,0,1,0,Matches
772,Ondrej Duda,sk SVK,MF,Hellas Verona,it Serie A,28-115,1994,6.9,15,2.16,8,1,1,2,2,1,1,0.14,0,0,0,1,0,0,Matches
773,Ondrej Duda,sk SVK,MF,Köln,de Bundesliga,28-115,1994,7.7,22,2.88,17,2,2,0,1,0,3,0.39,2,0,1,0,0,0,Matches
774,Shane Duffy,ie IRL,FWDF,Fulham,eng Premier League,31-088,1992,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
775,Rémy Dugimont,fr FRA,FWMF,Auxerre,fr Ligue 1,36-272,1986,1.2,5,4.13,4,0,0,0,1,0,1,0.83,1,0,0,0,0,0,Matches
776,Denzel Dumfries,nl NED,DF,Inter,it Serie A,26-346,1996,17.3,56,3.23,35,4,1,8,7,1,10,0.58,5,0,0,2,3,0,Matches
777,Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,30-020,1993,6.8,20,2.93,19,0,0,1,0,0,2,0.29,2,0,0,0,0,0,Matches
778,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,31-129,1991,25.0,17,0.68,16,0,0,1,0,0,1,0.04,1,0,0,0,0,0,Matches
779,Maxime Dupé,fr FRA,GK,Toulouse,fr Ligue 1,30-026,1993,28.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
780,Jhon Durán,co COL,FW,Aston Villa,eng Premier League,19-107,2003,0.8,3,3.80,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
781,Pablo Durán,es ESP,MFDF,Celta Vigo,es La Liga,22-064,2001,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
782,Hugo Duro,es ESP,FW,Valencia,es La Liga,23-140,1999,10.8,16,1.49,12,0,2,0,2,0,1,0.09,1,0,0,0,0,0,Matches
783,Jean-Kevin Duverne,fr FRA,DF,Brest,fr Ligue 1,25-261,1997,19.4,31,1.60,25,3,0,0,3,0,1,0.05,0,0,0,0,1,0,Matches
784,Paulo Dybala,ar ARG,MFFW,Roma,it Serie A,29-135,1993,15.9,77,4.84,41,21,1,7,7,0,8,0.50,4,2,0,1,1,0,Matches
785,Edin Džeko,ba BIH,FW,Inter,it Serie A,37-013,1986,17.4,55,3.15,42,0,1,11,1,0,11,0.63,7,0,1,3,0,0,Matches
786,Malcolm Ebiowei,eng ENG,MFFW,Crystal Palace,eng Premier League,19-207,2003,0.4,1,2.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
787,Festy Ebosele,ie IRL,DFFW,Udinese,it Serie A,20-240,2002,1.7,6,3.53,5,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
788,Enzo Ebosse,cm CMR,DF,Udinese,it Serie A,24-019,1999,10.3,8,0.78,7,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
789,Tyronne Ebuehi,ng NGA,DF,Empoli,it Serie A,27-104,1995,11.9,14,1.18,12,2,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches
790,Ederson,br BRA,GK,Manchester City,eng Premier League,29-225,1993,27.0,2,0.07,2,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
791,Éderson,br BRA,MF,Atalanta,it Serie A,23-266,1999,16.1,35,2.18,25,1,2,6,1,0,3,0.19,2,0,0,0,1,0,Matches
792,Odsonne Édouard,fr FRA,FW,Crystal Palace,eng Premier League,25-073,1998,14.2,34,2.40,25,0,1,7,1,0,3,0.21,3,0,0,0,0,0,Matches
793,Samuel Edozie,eng ENG,FWMF,Southampton,eng Premier League,20-061,2003,6.0,18,3.00,11,0,3,0,4,0,0,0.00,0,0,0,0,0,0,Matches
794,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,26-112,1996,20.3,34,1.67,30,0,1,0,3,0,5,0.25,4,0,0,0,1,0,Matches
795,Lilian Egloff,de GER,MFFW,Stuttgart,de Bundesliga,20-222,2002,2.7,10,3.75,8,0,0,1,1,0,2,0.75,2,0,0,0,0,0,Matches
796,Íñigo Eguaras,es ESP,MF,Almería,es La Liga,31-023,1992,9.4,23,2.45,20,0,0,1,1,1,2,0.21,2,0,0,0,0,0,Matches
797,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,27-309,1995,11.7,24,2.05,17,2,0,3,1,1,3,0.26,2,0,0,0,1,0,Matches
798,Kingsley Ehizibue,nl NED,DF,Köln,de Bundesliga,27-309,1995,0.7,1,1.48,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
799,Chidera Ejuke,ng NGA,FWMF,Hertha BSC,de Bundesliga,25-087,1998,8.8,35,3.99,26,0,6,1,2,0,5,0.57,5,0,0,0,0,0,Matches
800,Albin Ekdal,se SWE,MF,Spezia,it Serie A,33-245,1989,10.6,20,1.89,15,0,0,3,0,2,0,0.00,0,0,0,0,0,0,Matches
801,Hugo Ekitike,fr FRA,FW,Paris S-G,fr Ligue 1,20-283,2002,9.2,19,2.07,15,0,1,0,3,0,5,0.54,5,0,0,0,0,0,Matches
802,Emmanuel Ekong,se SWE,FWMF,Empoli,it Serie A,20-278,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
803,Anthony Elanga,se SWE,FW,Manchester Utd,eng Premier League,20-337,2002,4.7,17,3.59,13,0,0,3,1,0,1,0.21,1,0,0,0,0,0,Matches
804,Alberth Elis,hn HON,MFFW,Brest,fr Ligue 1,27-046,1996,2.7,10,3.75,6,0,0,0,3,1,0,0.00,0,0,0,0,0,0,Matches
805,Mikael Ellertsson,is ISL,MFDF,Spezia,it Serie A,21-019,2002,1.9,5,2.65,2,0,1,1,1,0,0,0.00,0,0,0,0,0,0,Matches
806,Harvey Elliott,eng ENG,MFFW,Liverpool,eng Premier League,19-360,2003,15.9,63,3.97,50,1,5,5,1,1,8,0.50,8,0,0,0,0,0,Matches
807,Elif Elmas,mk MKD,FWMF,Napoli,it Serie A,23-187,1999,11.3,38,3.35,26,4,4,2,2,0,7,0.62,4,1,1,1,0,0,Matches
808,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,30-262,1992,1.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
809,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,29-002,1994,11.4,9,0.79,5,2,0,2,0,0,2,0.18,0,1,0,1,0,0,Matches
810,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,26-181,1996,22.5,15,0.67,15,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
811,Rodrigo Ely,br BRA,DF,Almería,es La Liga,29-147,1993,24.1,13,0.54,6,1,1,5,0,0,0,0.00,0,0,0,0,0,0,Matches
812,Sepe Elye Wahi,fr FRA,FW,Montpellier,fr Ligue 1,20-087,2003,20.3,33,1.62,18,0,2,6,6,1,5,0.25,1,0,0,3,1,0,Matches
813,Mohamed Elyounoussi,no NOR,MFFW,Southampton,eng Premier League,28-238,1994,19.3,35,1.82,32,0,0,1,2,0,3,0.16,3,0,0,0,0,0,Matches
