,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Outcomes,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
115,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,de Bundesliga,29-051,1994,13.5,397,290,105,3,1,2,38,91,3,0,0,0,238,2,17,Matches
116,Anuar,ma MAR,MFFW,Valladolid,es La Liga,28-074,1995,2.3,40,39,1,0,0,0,1,1,0,0,0,0,30,0,4,Matches
117,Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,24-273,1998,4.9,323,314,9,4,1,3,5,1,3,0,0,0,258,0,9,Matches
118,Adil Aouchiche,fr FRA,MFFW,Lorient,fr Ligue 1,20-258,2002,1.2,73,64,9,2,0,4,7,0,5,1,3,0,56,0,2,Matches
119,Dennis Appiah,fr FRA,DFMF,Nantes,fr Ligue 1,30-294,1992,8.8,468,393,74,5,0,0,21,69,0,0,0,0,339,1,8,Matches
120,Stredair Appuah,fr FRA,MF,Nantes,fr Ligue 1,18-276,2004,0.1,6,5,1,1,0,1,0,0,0,0,0,0,5,0,0,Matches
121,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,27-181,1995,9.2,374,314,60,40,0,6,39,0,20,14,5,1,293,0,5,Matches
122,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,33-347,1989,5.5,311,290,20,12,0,0,12,1,7,4,3,0,248,1,3,Matches
123,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,24-023,1999,12.5,738,689,47,23,1,11,3,22,0,0,0,0,649,2,4,Matches
124,Cameron Archer,eng ENG,FWMF,Aston Villa,eng Premier League,21-252,2001,0.5,12,11,1,1,0,0,1,0,0,0,0,0,8,0,1,Matches
125,Taïryk Arconte,fr FRA,FW,Brest,fr Ligue 1,19-138,2003,1.4,17,15,2,0,0,0,1,1,0,0,0,0,10,0,1,Matches
126,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,30-031,1993,3.4,92,59,32,2,0,0,0,0,0,0,0,0,67,1,0,Matches
127,Joe Aribo,ng NGA,MFFW,Southampton,eng Premier League,26-252,1996,12.2,354,348,6,0,0,0,7,2,0,0,0,0,258,0,14,Matches
128,Adam Armstrong,eng ENG,FW,Southampton,eng Premier League,26-048,1997,12.3,266,235,31,0,0,4,14,3,0,0,0,0,196,0,18,Matches
129,Stuart Armstrong,sct SCO,MFFW,Southampton,eng Premier League,31-000,1992,11.1,468,449,18,0,1,3,20,8,0,0,0,0,372,1,18,Matches
130,Marko Arnautović,at AUT,FW,Bologna,it Serie A,33-345,1989,13.7,376,338,32,0,2,0,9,3,0,0,0,0,265,6,12,Matches
131,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,28-307,1994,23.2,1200,963,227,138,4,25,121,5,71,49,20,0,907,10,7,Matches
132,Mohamed El Arouch,fr FRA,MF,Lyon,fr Ligue 1,18-358,2004,0.0,2,1,1,0,0,0,1,0,1,1,0,0,1,0,0,Matches
133,Sergio Arribas,es ESP,FW,Real Madrid,es La Liga,21-181,2001,0.1,9,8,1,0,0,0,1,0,1,1,0,0,8,0,0,Matches
134,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,28-178,1994,18.5,681,509,172,44,0,1,0,0,0,0,0,0,578,0,0,Matches
135,Roberto Arroyo,es ESP,MF,Valladolid,es La Liga,19-217,2003,0.2,5,5,0,0,0,1,1,0,0,0,0,0,0,0,2,Matches
136,Tolgay Arslan,de GER,MF,Udinese,it Serie A,32-226,1990,10.3,447,409,38,22,0,12,22,5,11,5,1,0,355,0,11,Matches
