,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
33,Kevin Agudelo,co COL,MFFW,Spezia,it Serie A,24-136,1998,19.9,431,591,72.9,6404,2155,242,290,83.4,140,180,77.8,25,43,58.1,1,2.1,1.8,-1.1,21,50,24,2,89,Matches
34,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,27-000,1996,9.7,336,422,79.6,6682,2897,123,134,91.8,169,194,87.1,40,84,47.6,0,0.1,0.2,-0.1,2,18,3,0,15,Matches
35,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29-338,1993,9.6,488,599,81.5,7663,3168,246,274,89.8,205,247,83.0,25,50,50.0,0,0.9,1.1,-0.9,2,42,10,5,67,Matches
36,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,eng Premier League,21-001,2002,1.0,37,46,80.4,550,179,19,23,82.6,15,17,88.2,1,3,33.3,0,0.1,0.0,-0.1,1,3,0,0,2,Matches
37,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,21-001,2002,15.5,449,529,84.9,6965,1651,223,242,92.1,187,204,91.7,21,40,52.5,2,1.2,0.9,+0.8,15,38,7,2,56,Matches
38,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,19-039,2004,0.2,6,10,60.0,79,18,3,5,60.0,2,4,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
39,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,29-010,1994,11.8,353,473,74.6,5872,1516,166,207,80.2,137,178,77.0,31,55,56.4,1,0.9,1.2,+0.1,8,37,8,1,32,Matches
40,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,27-182,1995,25.8,1048,1229,85.3,21465,6649,270,314,86.0,658,710,92.7,115,181,63.5,0,0.0,0.2,0.0,1,58,4,0,70,Matches
41,Ola Aina,ng NGA,DF,Torino,it Serie A,26-173,1996,9.0,370,498,74.3,6183,2427,194,213,91.1,120,161,74.5,45,83,54.2,1,2.0,1.8,-1.0,11,29,13,9,39,Matches
42,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,21-297,2001,11.5,446,552,80.8,6728,2269,255,287,88.9,159,195,81.5,20,32,62.5,0,1.0,0.8,-1.0,7,28,14,5,43,Matches
43,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,22-095,2000,14.4,498,640,77.8,8343,3032,234,258,90.7,219,268,81.7,33,82,40.2,0,0.4,0.7,-0.4,4,38,7,1,40,Matches
44,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24-347,1998,8.5,259,345,75.1,4480,1887,131,159,82.4,102,128,79.7,23,40,57.5,0,0.0,0.1,0.0,1,20,3,1,31,Matches
45,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,29-033,1994,8.6,178,255,69.8,2614,397,103,137,75.2,55,79,69.6,11,16,68.8,0,0.9,0.8,-0.9,10,10,6,0,13,Matches
46,Ludovic Ajorque,fr FRA,FW,Mainz 05,de Bundesliga,29-033,1994,7.2,117,216,54.2,1762,357,75,121,62.0,23,55,41.8,13,16,81.3,1,1.3,1.3,-0.3,9,10,5,0,15,Matches
47,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27-254,1995,18.1,1339,1434,93.4,23021,7402,606,625,97.0,634,664,95.5,83,118,70.3,1,0.3,0.4,+0.7,5,96,2,1,84,Matches
48,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,28-040,1995,16.8,1312,1456,90.1,21143,7387,637,672,94.8,595,645,92.2,56,87,64.4,0,0.6,1.1,-0.6,8,118,7,1,113,Matches
49,Sergio Akieme,es ESP,DF,Almería,es La Liga,25-104,1997,23.5,773,997,77.5,12672,4658,399,449,88.9,302,367,82.3,50,121,41.3,0,1.9,2.0,-1.9,20,42,20,16,56,Matches
50,Maghnes Akliouche,fr FRA,MFFW,Monaco,fr Ligue 1,21-033,2002,3.4,99,131,75.6,1266,377,61,73,83.6,26,37,70.3,3,6,50.0,0,0.3,0.2,-0.3,5,8,4,0,12,Matches
51,Paul Akouokou,ci CIV,MF,Betis,es La Liga,25-100,1997,3.1,106,114,93.0,1800,365,48,50,96.0,37,39,94.9,14,15,93.3,0,0.0,0.1,0.0,0,12,1,0,7,Matches
52,Jean-Daniel Akpa-Akpro,ci CIV,MF,Empoli,it Serie A,30-170,1992,10.2,240,311,77.2,3366,1316,131,157,83.4,79,93,84.9,11,19,57.9,0,0.7,0.6,-0.7,5,19,7,2,31,Matches
53,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27-345,1995,15.3,578,741,78.0,10870,4106,188,222,84.7,324,366,88.5,56,121,46.3,0,0.5,0.8,-0.5,5,63,8,3,70,Matches
54,David Alaba,at AUT,DF,Real Madrid,es La Liga,30-279,1992,17.2,871,995,87.5,12615,4436,509,531,95.9,279,318,87.7,44,79,55.7,3,1.1,1.3,+1.9,16,58,9,4,60,Matches
55,Ángel Alarcón,es ESP,MFFW,Barcelona,es La Liga,18-319,2004,0.3,4,5,80.0,40,7,4,4,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
56,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,24-070,1999,2.5,78,95,82.1,1688,582,28,32,87.5,27,34,79.4,20,25,80.0,0,0.1,0.1,-0.1,2,11,1,0,9,Matches
57,Lucas Alario,ar ARG,FWMF,Eint Frankfurt,de Bundesliga,30-173,1992,3.3,53,76,69.7,743,180,28,38,73.7,18,24,75.0,4,5,80.0,0,0.0,0.4,0.0,1,4,0,0,8,Matches
58,Jordi Alba,es ESP,DF,Barcelona,es La Liga,34-009,1989,11.1,901,1064,84.7,14272,4263,488,529,92.2,326,378,86.2,64,102,62.7,3,5.3,4.9,-2.3,27,102,35,12,113,Matches
59,Luis Alberto,es ESP,MF,Lazio,it Serie A,30-183,1992,16.4,976,1190,82.0,15190,5169,537,588,91.3,343,395,86.8,67,143,46.9,3,3.3,3.0,-0.3,34,112,30,0,149,Matches
60,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,37-207,1985,22.4,1241,1400,88.6,26795,10162,304,331,91.8,718,769,93.4,209,278,75.2,0,0.0,0.4,0.0,2,93,5,0,92,Matches
61,Marc Albrighton,eng ENG,FWMF,Leicester City,eng Premier League,33-132,1989,2.6,89,148,60.1,1440,551,48,60,80.0,23,34,67.6,12,34,35.3,0,0.9,0.4,-0.9,6,6,5,2,7,Matches
62,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,31-353,1991,12.8,842,980,85.9,15197,4456,393,424,92.7,299,340,87.9,121,153,79.1,0,1.1,1.2,-1.1,17,95,19,0,107,Matches
63,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,20-120,2002,3.6,89,110,80.9,1300,308,47,55,85.5,33,35,94.3,3,9,33.3,0,0.1,0.1,-0.1,2,9,3,0,12,Matches
64,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,31-333,1991,14.0,461,587,78.5,9004,2800,187,221,84.6,183,209,87.6,75,124,60.5,0,1.0,0.8,-1.0,13,51,9,5,52,Matches
65,Omar Alderete,py PAR,DF,Getafe,es La Liga,26-094,1996,12.0,292,491,59.5,6103,3027,89,127,70.1,160,211,75.8,42,138,30.4,1,0.7,0.8,+0.3,4,37,6,0,48,Matches
66,Iván Alejo,es ESP,MFFW,Cádiz,es La Liga,28-048,1995,9.2,121,219,55.3,1775,523,76,104,73.1,26,53,49.1,11,31,35.5,1,1.2,0.8,-0.2,11,5,12,11,7,Matches
67,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,20-152,2002,2.5,49,72,68.1,1486,1243,10,10,100.0,23,23,100.0,16,38,42.1,0,0.0,0.0,0.0,0,2,0,0,0,Matches
68,Carles Aleñá,es ESP,MF,Getafe,es La Liga,25-084,1998,17.6,501,653,76.7,8445,2066,240,282,85.1,172,218,78.9,58,90,64.4,2,0.8,1.0,+1.2,12,53,15,4,72,Matches
69,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,24-174,1998,21.5,1403,1912,73.4,26480,10767,657,741,88.7,518,676,76.6,208,427,48.7,2,6.2,5.0,-4.2,48,145,58,20,160,Matches
70,Alejandro Alfaro,es ESP,MF,Elche,es La Liga,20-288,2002,0.2,1,1,100.0,3,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
71,Ángel Algobia,es ESP,MF,Getafe,es La Liga,23-280,1999,11.2,383,473,81.0,6860,1422,165,194,85.1,155,175,88.6,49,75,65.3,0,0.1,0.3,-0.1,3,32,3,3,39,Matches
72,Mohamed Ali Cho,fr FRA,FW,Real Sociedad,es La Liga,19-070,2004,4.0,53,86,61.6,741,199,35,39,89.7,13,29,44.8,2,9,22.2,2,1.5,1.2,+0.5,6,2,6,4,4,Matches
73,Faride Alidou,de GER,DFMF,Eint Frankfurt,de Bundesliga,21-255,2001,1.5,47,63,74.6,735,271,23,24,95.8,21,30,70.0,2,5,40.0,0,0.3,0.2,-0.3,1,5,5,1,11,Matches
74,Alisson,br BRA,GK,Liverpool,eng Premier League,30-179,1992,26.0,866,1008,85.9,19958,12734,222,224,99.1,450,458,98.3,190,317,59.9,1,0.3,0.0,+0.7,1,11,0,0,1,Matches
75,Jim Allevinah,ga GAB,DFFW,Clermont Foot,fr Ligue 1,28-031,1995,18.4,454,588,77.2,6402,1481,264,314,84.1,150,189,79.4,17,38,44.7,0,1.4,1.5,-1.4,12,25,9,6,42,Matches
76,Dele Alli,eng ENG,MF,Everton,eng Premier League,26-353,1996,0.4,12,15,80.0,123,10,6,8,75.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,1,Matches
77,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,es La Liga,22-304,2000,17.7,681,847,80.4,11227,3704,352,392,89.8,239,287,83.3,65,120,54.2,3,2.2,2.3,+0.8,23,94,23,7,118,Matches
78,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,29-048,1994,22.0,638,771,82.7,8703,2185,391,430,90.9,190,232,81.9,24,34,70.6,1,1.6,2.2,-0.6,18,37,25,2,106,Matches
79,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,32-092,1990,7.6,548,606,90.4,10292,3627,211,224,94.2,280,298,94.0,51,68,75.0,0,0.3,0.6,-0.3,4,42,6,3,50,Matches
