,,,,,,,,,Touches,,,,,,,Take-Ons,,,,,Carries,,,,,,,,Receiving,,
565,Maxwel Cornet,ci CIV,FW,West Ham,eng Premier League,26-184,1996,1.1,45,0,7,11,27,4,45,1,0,0.0,1,100.0,24,90,31,2,0,1,3,2,33,15,Matches
566,Jesús Corona,mx MEX,FW,Sevilla,es La Liga,30-083,1993,0.7,25,0,4,10,11,3,25,1,0,0.0,1,100.0,19,76,33,1,1,0,1,1,23,5,Matches
567,Ángel Correa,ar ARG,FWMF,Atlético Madrid,es La Liga,28-021,1995,10.8,527,8,56,204,272,82,527,42,16,38.1,24,57.1,340,1589,748,32,15,17,41,17,407,104,Matches
568,Joaquín Correa,ar ARG,FW,Inter,it Serie A,28-229,1994,5.0,181,1,10,89,87,19,181,14,3,21.4,7,50.0,117,665,234,5,8,6,22,12,143,31,Matches
569,Thierry Correia,pt POR,DFFW,Valencia,es La Liga,24-021,1999,17.1,1240,55,381,527,348,22,1240,27,10,37.0,11,40.7,662,3514,2001,50,35,9,30,10,751,97,Matches
570,Alessandro Cortinovis,it ITA,MF,Hellas Verona,it Serie A,22-064,2001,0.1,8,0,3,0,5,0,8,0,0,,0,,5,10,4,0,0,0,0,0,5,2,Matches
571,Danny da Costa,de GER,DF,Mainz 05,de Bundesliga,29-260,1993,10.7,613,21,125,285,207,21,613,21,8,38.1,12,57.1,267,1481,737,29,16,11,17,10,297,64,Matches
572,David Pereira da Costa,pt POR,MFFW,Lens,fr Ligue 1,22-084,2001,15.0,859,5,53,426,391,42,859,46,26,56.5,15,32.6,733,4982,2435,60,66,9,29,24,698,131,Matches
573,Diego Costa,es ESP,FW,Wolves,eng Premier League,34-174,1988,7.9,176,9,20,66,92,40,176,4,2,50.0,2,50.0,91,480,170,10,3,8,13,7,124,35,Matches
574,Jaume Costa,es ESP,DF,Mallorca,es La Liga,35-012,1988,20.4,1021,42,254,464,316,29,1021,20,6,30.0,11,55.0,542,2666,1544,45,27,7,13,6,633,101,Matches
575,Logan Costa,cv CPV,DFMF,Toulouse,fr Ligue 1,21-363,2001,0.6,29,1,11,19,0,0,29,1,1,100.0,0,0.0,23,147,102,1,0,0,1,0,20,0,Matches
576,Nuno da Costa,cv CPV,FWMF,Auxerre,fr Ligue 1,32-048,1991,14.7,497,13,61,229,217,56,497,70,29,41.4,30,42.9,330,2181,678,16,7,8,64,29,331,86,Matches
577,Samu Costa,pt POR,MF,Almería,es La Liga,22-123,2000,13.8,886,51,303,507,83,8,886,10,3,30.0,7,70.0,465,1791,778,5,3,0,19,8,552,15,Matches
578,Benoît Costil,fr FRA,GK,Auxerre,fr Ligue 1,35-270,1987,19.0,638,531,635,3,0,0,638,1,1,100.0,0,0.0,377,1899,975,0,0,0,0,0,254,0,Matches
579,Vladimír Coufal,cz CZE,DF,West Ham,eng Premier League,30-220,1992,15.8,985,57,269,396,321,13,985,10,1,10.0,3,30.0,396,2370,1284,42,29,1,17,11,496,78,Matches
580,Lassana Coulibaly,ml MLI,MF,Salernitana,it Serie A,26-354,1996,22.8,1055,56,265,630,186,14,1055,63,31,49.2,28,44.4,630,4017,1815,34,25,5,44,24,661,48,Matches
581,Tanguy Coulibaly,fr FRA,FWDF,Stuttgart,de Bundesliga,22-040,2001,2.2,141,1,21,58,66,9,141,13,6,46.2,7,53.8,84,499,252,9,6,5,5,5,84,23,Matches
582,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,30-323,1992,20.0,756,634,752,4,0,0,756,0,0,,0,,508,2611,1658,0,0,0,2,0,437,0,Matches
583,Mathieu Coutadeur,fr FRA,MF,Ajaccio,fr Ligue 1,37-010,1986,14.9,960,27,168,669,131,3,960,13,5,38.5,5,38.5,703,3534,1498,17,12,2,17,5,636,19,Matches
584,Philippe Coutinho,br BRA,MFFW,Aston Villa,eng Premier League,30-291,1992,8.8,500,2,34,259,213,24,500,34,14,41.2,15,44.1,309,1747,739,18,28,5,23,17,369,68,Matches
585,Yan Couto,br BRA,DFMF,Girona,es La Liga,20-300,2002,7.6,470,10,115,199,164,8,470,38,20,52.6,14,36.8,286,2099,1145,33,24,4,17,6,310,49,Matches
586,Conor Coventry,ie IRL,MFFW,West Ham,eng Premier League,23-005,2000,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
587,Nicolas Cozza,fr FRA,DF,Montpellier,fr Ligue 1,24-081,1999,14.2,747,66,289,329,133,19,747,15,5,33.3,8,53.3,447,2740,1368,20,16,3,18,4,407,34,Matches
588,Alessio Cragno,it ITA,GK,Monza,it Serie A,28-275,1994,1.0,32,26,32,0,0,0,32,0,0,,0,,19,101,61,0,0,0,0,0,17,0,Matches
589,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,33-105,1989,17.5,1232,65,376,529,330,8,1232,7,2,28.6,4,57.1,585,2627,1299,27,21,1,5,6,751,69,Matches
590,Bryan Cristante,it ITA,MF,Roma,it Serie A,28-027,1995,24.1,1491,65,412,948,143,20,1491,9,7,77.8,1,11.1,760,3190,1468,13,10,3,21,8,966,23,Matches
591,Domen Črnigoj,si SVN,MF,Salernitana,it Serie A,27-132,1995,3.3,160,5,36,95,32,6,160,4,2,50.0,2,50.0,64,255,71,2,2,1,13,1,89,9,Matches
592,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,30-245,1992,17.0,877,72,270,436,179,4,877,13,6,46.2,4,30.8,427,2027,984,14,15,1,14,4,475,50,Matches
593,Juan Cruz,es ESP,FW,Betis,es La Liga,22-339,2000,1.9,56,0,6,18,33,8,56,7,3,42.9,3,42.9,36,284,176,7,4,3,3,2,37,14,Matches
594,Juan Cuadrado,co COL,DFFW,Juventus,it Serie A,34-308,1988,14.7,989,27,254,473,270,38,989,30,10,33.3,13,43.3,559,2853,1577,28,20,16,24,7,673,89,Matches
595,Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,24-251,1998,15.9,1300,58,408,583,318,11,1300,14,5,35.7,6,42.9,675,2768,1522,25,16,2,14,5,797,58,Matches
596,Jorge Cuenca,es ESP,DF,Villarreal,es La Liga,23-133,1999,4.0,328,40,167,155,6,3,328,0,0,,0,,202,1196,887,6,1,0,2,0,222,0,Matches
597,Braian Cufré,ar ARG,DF,Mallorca,es La Liga,26-105,1996,2.4,110,5,28,54,28,2,110,3,2,66.7,0,0.0,57,238,142,3,2,0,2,1,59,9,Matches
598,Mickaël Cuisance,fr FRA,MF,Sampdoria,it Serie A,23-226,1999,4.2,189,4,28,94,71,6,189,7,4,57.1,2,28.6,120,645,266,9,11,2,11,10,113,20,Matches
599,Matheus Cunha,br BRA,FW,Wolves,eng Premier League,23-307,1999,4.8,184,5,33,81,74,28,184,15,8,53.3,5,33.3,89,535,186,6,3,3,21,7,102,24,Matches
600,Matheus Cunha,br BRA,FWMF,Atlético Madrid,es La Liga,23-307,1999,4.2,131,4,17,61,58,22,131,7,6,85.7,1,14.3,74,473,221,6,7,4,9,5,89,19,Matches
601,Curro,es ESP,MF,Almería,es La Liga,27-086,1996,0.5,34,0,3,18,13,1,34,0,0,,0,,15,63,36,1,3,0,1,0,22,1,Matches
602,Marco D'Alessandro,it ITA,DFFW,Monza,it Serie A,32-041,1991,3.2,141,1,37,55,52,10,141,5,1,20.0,3,60.0,80,713,329,14,4,5,4,5,89,19,Matches
603,Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,34-202,1988,3.1,219,16,86,93,40,8,219,3,1,33.3,1,33.3,134,574,354,4,4,2,3,1,140,9,Matches
604,Luca D'Andrea,it ITA,FW,Sassuolo,it Serie A,18-205,2004,3.5,129,0,17,61,53,12,129,11,3,27.3,6,54.5,81,535,314,11,4,5,11,7,91,29,Matches
605,Damien Da Silva,fr FRA,DF,Lyon,fr Ligue 1,34-317,1988,3.8,295,17,105,166,25,3,295,2,1,50.0,1,50.0,206,1084,441,2,6,0,2,1,200,1,Matches
606,Moanes Dabbur,il ISR,FW,Hoffenheim,de Bundesliga,30-320,1992,7.3,291,0,14,142,138,33,291,17,8,47.1,9,52.9,181,711,211,7,4,3,19,17,216,42,Matches
607,Colin Dagba,fr FRA,DF,Strasbourg,fr Ligue 1,24-202,1998,7.9,473,17,101,201,178,14,473,19,8,42.1,9,47.4,314,1915,1096,23,20,4,7,5,284,40,Matches
608,Finn Dahmen,de GER,GK,Mainz 05,de Bundesliga,25-003,1998,6.0,207,158,201,7,0,0,207,0,0,,0,,135,787,411,0,0,0,0,0,80,0,Matches
609,Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,27-088,1996,3.4,280,8,61,171,49,2,280,5,3,60.0,2,40.0,141,673,281,5,5,1,4,4,201,3,Matches
610,Patson Daka,zm ZAM,FW,Leicester City,eng Premier League,24-172,1998,9.4,295,11,27,116,154,41,295,15,7,46.7,6,40.0,147,797,342,13,7,7,32,15,201,59,Matches
611,Thijs Dallinga,nl NED,FW,Toulouse,fr Ligue 1,22-239,2000,18.4,505,18,32,244,234,76,505,16,8,50.0,4,25.0,355,1802,517,16,12,7,30,13,392,116,Matches
612,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,24-012,1999,16.9,1184,86,412,499,280,29,1184,29,18,62.1,7,24.1,590,3072,1536,36,21,12,14,5,678,57,Matches
613,Muhammed Damar,de GER,MF,Hoffenheim,de Bundesliga,18-355,2004,1.8,94,1,17,49,29,6,94,6,0,0.0,5,83.3,49,273,145,2,3,1,9,2,65,7,Matches
614,Mikkel Damsgaard,dk DEN,MFFW,Brentford,eng Premier League,22-270,2000,5.8,314,7,50,157,110,15,314,14,6,42.9,6,42.9,164,586,294,5,6,1,10,3,184,27,Matches
615,Flavius Daniliuc,at AUT,DF,Salernitana,it Serie A,21-337,2001,16.5,968,160,559,386,32,10,968,3,1,33.3,2,66.7,516,2627,1348,9,7,0,8,3,588,4,Matches
616,Flavius Daniliuc,at AUT,DF,Nice,fr Ligue 1,21-337,2001,1.0,71,3,23,28,20,1,71,0,0,,0,,45,234,129,2,2,0,1,0,43,3,Matches
617,Danilo,br BRA,MF,Nott'ham Forest,eng Premier League,21-335,2001,1.6,77,5,27,42,9,0,77,4,3,75.0,0,0.0,39,147,65,0,0,0,5,3,34,2,Matches
618,Danilo,br BRA,DF,Juventus,it Serie A,31-258,1991,26.1,1844,197,773,912,168,33,1844,16,3,18.8,8,50.0,975,4509,2450,25,20,0,16,7,1211,33,Matches
619,Arnaut Danjuma,nl NED,FW,Tottenham,eng Premier League,26-058,1997,0.1,14,0,1,8,5,0,14,3,2,66.7,1,33.3,7,63,46,2,1,0,1,0,12,5,Matches
620,Arnaut Danjuma,nl NED,FW,Villarreal,es La Liga,26-058,1997,5.3,135,2,11,39,86,23,134,8,3,37.5,4,50.0,88,490,260,12,3,8,11,6,103,35,Matches
621,Kevin Danso,at AUT,DF,Lens,fr Ligue 1,24-192,1998,28.0,2131,184,792,1276,75,25,2131,26,14,53.8,8,30.8,1591,10107,5656,25,20,1,15,9,1446,2,Matches
622,Dante,br BRA,DF,Nice,fr Ligue 1,39-163,1983,27.0,2152,268,1073,1042,45,20,2152,8,3,37.5,5,62.5,1697,8432,4298,8,6,0,12,8,1567,2,Matches
623,Márton Dárdai,de GER,DF,Hertha BSC,de Bundesliga,21-046,2002,4.9,241,23,125,108,9,3,241,2,2,100.0,0,0.0,113,595,390,2,1,0,3,2,116,0,Matches
624,Sergi Darder,es ESP,MF,Espanyol,es La Liga,29-098,1993,25.7,1356,29,179,778,434,24,1356,101,51,50.5,39,38.6,807,6027,3368,81,73,7,32,17,847,53,Matches
625,Achraf Dari,ma MAR,DF,Brest,fr Ligue 1,23-328,1999,14.6,846,135,480,356,16,9,846,1,1,100.0,0,0.0,561,2954,1268,3,1,0,4,3,493,1,Matches
626,Vladimír Darida,cz CZE,MF,Hertha BSC,de Bundesliga,32-234,1990,0.3,20,0,5,6,9,0,20,1,1,100.0,0,0.0,7,38,19,1,1,0,4,1,8,1,Matches
627,Matteo Darmian,it ITA,DF,Inter,it Serie A,33-118,1989,16.0,1053,52,345,508,207,22,1053,22,7,31.8,8,36.4,586,2294,1267,14,16,4,12,6,701,84,Matches
628,Josh Dasilva,eng ENG,MF,Brentford,eng Premier League,24-158,1998,12.5,618,9,112,279,236,26,618,43,24,55.8,12,27.9,441,2750,1299,48,33,6,22,23,462,49,Matches
629,Jonathan David,ca CAN,FW,Lille,fr Ligue 1,23-075,2000,25.4,873,19,61,387,434,159,866,52,21,40.4,23,44.2,679,3561,1378,48,29,31,71,34,662,211,Matches
630,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,22-148,2000,20.4,1651,47,388,807,492,75,1651,125,64,51.2,48,38.4,1099,6964,4053,107,60,32,46,26,1096,142,Matches
631,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,29-340,1993,20.3,1232,78,429,628,178,26,1232,11,4,36.4,6,54.5,719,3819,2360,30,29,3,11,5,866,54,Matches
632,Tom Davies,eng ENG,MF,Everton,eng Premier League,24-273,1998,5.3,275,12,70,156,51,13,275,5,2,40.0,3,60.0,126,516,231,2,1,0,15,3,176,11,Matches
633,Paweł Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,27-314,1995,12.6,747,65,362,319,74,16,747,5,1,20.0,2,40.0,339,1666,940,16,11,1,6,4,379,12,Matches
634,Craig Dawson,eng ENG,DF,West Ham,eng Premier League,32-328,1990,8.0,380,53,211,142,28,14,380,1,0,0.0,1,100.0,193,1042,600,0,5,0,2,4,216,1,Matches
635,Craig Dawson,eng ENG,DF,Wolves,eng Premier League,32-328,1990,7.5,553,98,323,215,17,10,553,1,1,100.0,0,0.0,320,1204,624,1,1,0,3,0,381,1,Matches
636,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,31-275,1991,21.5,1429,11,78,544,827,80,1429,45,24,53.3,14,31.1,863,4547,2757,89,63,15,35,24,1098,189,Matches
637,Charles De Ketelaere,be BEL,MF,Milan,it Serie A,22-020,2001,9.7,406,9,40,188,187,46,406,43,28,65.1,10,23.3,232,1692,958,38,19,9,21,20,263,47,Matches
638,Manuel De Luca,it ITA,FWMF,Sampdoria,it Serie A,24-256,1998,0.5,14,0,0,9,5,2,14,0,0,,0,,14,52,7,0,0,0,2,2,14,4,Matches
639,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,es La Liga,28-310,1994,12.4,926,7,135,547,249,11,926,18,9,50.0,6,33.3,599,2792,1510,29,17,3,20,11,737,34,Matches
640,Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,30-161,1992,10.2,595,29,174,311,113,4,595,8,2,25.0,2,25.0,313,1438,668,12,10,0,8,7,375,35,Matches
641,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,34-311,1988,5.8,304,20,105,138,65,6,304,3,2,66.7,0,0.0,140,743,403,8,8,0,4,4,153,13,Matches
642,Thibault De Smet,be BEL,DF,Reims,fr Ligue 1,24-298,1998,13.8,926,51,265,488,181,1,926,11,3,27.3,7,63.6,569,3089,1427,25,21,0,14,4,511,53,Matches
643,Koni De Winter,be BEL,DF,Empoli,it Serie A,20-291,2002,9.9,532,100,347,182,6,0,532,2,1,50.0,1,50.0,305,1597,700,1,1,0,7,3,327,0,Matches
644,Grégoire Defrel,mq MTQ,FW,Sassuolo,it Serie A,31-286,1991,7.6,210,5,24,98,92,18,210,15,5,33.3,10,66.7,129,595,199,8,6,2,19,9,146,39,Matches
645,Duccio Degl'Innocenti,it ITA,MF,Empoli,it Serie A,19-336,2003,0.0,1,0,0,1,0,0,1,0,0,,0,,1,10,0,0,0,0,0,0,0,0,Matches
646,Brecht Dejaegere,be BEL,MF,Toulouse,fr Ligue 1,31-305,1991,17.9,760,20,105,409,260,37,760,41,17,41.5,19,46.3,550,3137,1335,32,23,5,34,15,516,74,Matches
647,Romain Del Castillo,fr FRA,FWMF,Brest,fr Ligue 1,27-001,1996,10.5,602,4,63,278,276,36,598,48,18,37.5,22,45.8,419,2661,1141,34,22,11,28,22,392,82,Matches
648,Alberto Del Moral,es ESP,MF,Villarreal,es La Liga,22-253,2000,0.1,1,0,0,1,0,0,1,0,0,,0,,1,2,1,0,0,0,0,0,1,0,Matches
649,Thomas Delaine,fr FRA,DF,Strasbourg,fr Ligue 1,31-006,1992,9.5,534,21,115,225,199,19,534,18,7,38.9,9,50.0,352,2251,981,31,21,9,15,3,326,78,Matches
650,Thomas Delaney,dk DEN,MF,Sevilla,es La Liga,31-208,1991,3.4,188,8,52,108,28,7,188,0,0,,0,,113,361,110,1,0,1,4,3,138,3,Matches
651,Thomas Delaney,dk DEN,MF,Hoffenheim,de Bundesliga,31-208,1991,3.2,188,10,79,88,22,0,188,6,2,33.3,3,50.0,102,304,126,0,0,0,1,1,108,3,Matches
652,Sacha Delaye,fr FRA,FWMF,Montpellier,fr Ligue 1,20-341,2002,0.2,19,0,6,9,4,1,19,0,0,,0,,9,30,8,1,0,1,0,0,8,0,Matches
653,Fran Delgado,es ESP,DF,Betis,es La Liga,21-262,2001,0.1,8,0,1,3,4,1,8,0,0,,0,,3,9,5,0,1,0,0,0,7,3,Matches
654,Andy Delort,dz ALG,FW,Nice,fr Ligue 1,31-172,1991,8.7,309,7,21,150,141,37,306,12,4,33.3,7,58.3,224,1093,372,7,7,1,23,9,246,48,Matches
655,Andy Delort,dz ALG,FW,Nantes,fr Ligue 1,31-172,1991,2.3,95,0,6,42,47,21,95,6,4,66.7,2,33.3,58,293,78,2,1,1,8,3,66,21,Matches
656,Karamoko Dembele,sct SCO,FWMF,Brest,fr Ligue 1,20-036,2003,1.8,106,1,8,44,56,10,106,6,2,33.3,2,33.3,85,648,319,6,6,3,7,7,83,25,Matches
657,Moussa Dembélé,fr FRA,FWMF,Lyon,fr Ligue 1,26-261,1996,9.3,277,8,18,126,136,48,277,11,4,36.4,7,63.6,189,1002,240,10,4,5,28,16,202,63,Matches
658,Ousmane Dembélé,fr FRA,FW,Barcelona,es La Liga,25-319,1997,12.2,797,2,24,257,530,68,797,75,27,36.0,41,54.7,578,4684,2497,91,61,42,18,16,646,148,Matches
659,Siriki Dembélé,ci CIV,FWMF,Bournemouth,eng Premier League,26-204,1996,1.2,71,1,10,30,33,3,71,10,6,60.0,3,30.0,47,311,160,5,2,1,9,5,50,11,Matches
660,Siriki Dembélé,ci CIV,MF,Auxerre,fr Ligue 1,26-204,1996,2.7,93,0,17,38,41,6,93,21,12,57.1,8,38.1,81,603,249,7,5,4,9,13,73,21,Matches
661,Merih Demiral,tr TUR,DF,Atalanta,it Serie A,25-025,1998,16.0,773,138,467,287,25,13,773,7,0,0.0,5,71.4,316,1406,443,1,3,1,5,2,338,4,Matches
662,Kerem Demirbay,de GER,MF,Leverkusen,de Bundesliga,29-270,1993,13.0,964,27,180,546,243,12,964,21,7,33.3,11,52.4,476,2472,1194,19,15,4,20,19,613,16,Matches
663,Ermedin Demirović,ba BIH,FWMF,Augsburg,de Bundesliga,25-005,1998,20.6,709,34,94,266,356,96,708,39,11,28.2,23,59.0,325,1539,621,20,17,8,47,29,422,104,Matches
664,Diego Demme,de GER,MF,Napoli,it Serie A,31-129,1991,0.3,70,2,5,53,12,0,70,1,1,100.0,0,0.0,47,168,68,1,1,0,1,0,66,0,Matches
665,Sepp van den Berg,nl NED,DF,Schalke 04,de Bundesliga,21-100,2001,3.6,194,29,120,68,6,6,194,0,0,,0,,99,534,342,1,0,0,4,0,108,0,Matches
666,Branco van den Boomen,nl NED,MF,Toulouse,fr Ligue 1,27-252,1995,26.1,1960,34,305,1086,584,31,1956,26,16,61.5,7,26.9,1381,6773,2816,30,41,5,25,10,1329,85,Matches
667,Leander Dendoncker,be BEL,MF,Aston Villa,eng Premier League,27-349,1995,4.1,200,12,56,113,31,5,200,4,2,50.0,2,50.0,88,386,178,1,4,0,5,1,109,1,Matches
668,Leander Dendoncker,be BEL,MF,Wolves,eng Premier League,27-349,1995,2.4,128,6,33,75,21,5,128,2,1,50.0,1,50.0,60,205,77,1,0,0,2,2,77,3,Matches
669,Emmanuel Dennis,ng NGA,FW,Nott'ham Forest,eng Premier League,25-135,1997,6.1,262,4,44,96,132,27,262,40,12,30.0,20,50.0,167,1118,573,14,13,5,26,21,177,45,Matches
670,Fabio Depaoli,it ITA,DF,Hellas Verona,it Serie A,25-340,1997,16.6,719,41,179,314,234,25,719,31,7,22.6,19,61.3,303,1403,744,21,10,3,28,13,320,53,Matches
671,Fabio Depaoli,it ITA,DFMF,Sampdoria,it Serie A,25-340,1997,1.5,117,6,28,56,34,3,117,7,3,42.9,2,28.6,73,347,184,2,3,0,2,1,70,6,Matches
672,Kastriot Dermaku,al ALB,DF,Lecce,it Serie A,31-074,1992,0.4,2,0,0,2,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
673,Halil Dervişoğlu,tr TUR,MF,Brentford,eng Premier League,23-112,1999,0.1,1,0,0,0,1,0,1,0,0,,0,,2,13,0,0,0,1,0,1,2,0,Matches
674,Rémy Descamps,fr FRA,GK,Nantes,fr Ligue 1,26-278,1996,1.0,28,26,28,0,0,0,28,0,0,,0,,18,149,124,0,0,0,0,0,5,0,Matches
675,Mikkel Desler,dk DEN,DF,Toulouse,fr Ligue 1,28-039,1995,18.4,1317,66,321,665,342,23,1317,34,17,50.0,12,35.3,902,4706,2105,39,36,4,32,14,811,90,Matches
676,Cyriel Dessers,ng NGA,FW,Cremonese,it Serie A,28-112,1994,14.8,391,8,14,134,246,100,390,29,9,31.0,19,65.5,221,1083,413,15,8,19,49,20,282,94,Matches
677,Sergiño Dest,us USA,DF,Milan,it Serie A,22-147,2000,3.7,246,7,75,116,61,3,246,18,8,44.4,9,50.0,134,827,470,11,3,0,3,5,137,12,Matches
678,Mattia Destro,it ITA,FW,Empoli,it Serie A,32-010,1991,5.1,112,5,8,49,55,24,112,7,3,42.9,4,57.1,66,253,96,4,1,3,12,5,82,13,Matches
679,Gerard Deulofeu,es ESP,FW,Udinese,it Serie A,29-017,1994,13.5,725,5,44,295,400,82,725,45,20,44.4,21,46.7,455,3177,2005,72,39,33,22,18,506,118,Matches
680,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,eng Premier League,24-205,1998,21.7,1278,32,226,697,377,42,1278,59,31,52.5,22,37.3,765,4368,2131,57,27,14,59,26,901,78,Matches
681,Samuel Di Carmine,it ITA,FWMF,Cremonese,it Serie A,34-182,1988,0.3,9,0,0,4,5,2,9,1,1,100.0,0,0.0,6,31,6,1,0,0,0,0,6,2,Matches
682,Federico Di Francesco,it ITA,FWMF,Lecce,it Serie A,28-289,1994,15.7,547,12,62,206,287,57,547,31,10,32.3,17,54.8,334,2042,1046,42,19,17,41,21,378,136,Matches
683,Michele Di Gregorio,it ITA,GK,Monza,it Serie A,25-246,1997,26.0,1092,893,1088,4,0,0,1092,2,2,100.0,0,0.0,661,3626,2446,0,0,0,0,0,574,0,Matches
684,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,29-238,1993,26.9,2178,76,558,1081,558,65,2178,24,7,29.2,13,54.2,1343,5864,3271,52,46,2,15,15,1536,127,Matches
685,Ángel Di María,ar ARG,FWMF,Juventus,it Serie A,35-044,1988,9.7,535,1,47,239,261,25,534,46,17,37.0,25,54.3,344,2167,969,30,25,7,19,22,402,48,Matches
686,Boulaye Dia,sn SEN,FW,Salernitana,it Serie A,26-134,1996,19.6,616,16,78,276,274,54,616,62,25,40.3,28,45.2,445,2901,1033,30,29,10,53,43,480,109,Matches
687,Moussa Diaby,fr FRA,FWMF,Leverkusen,de Bundesliga,23-266,1999,21.7,922,3,65,395,472,98,921,75,31,41.3,37,49.3,604,4172,2364,91,52,43,44,30,752,189,Matches
688,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,26-101,1996,16.2,895,115,481,373,44,25,895,4,1,25.0,3,75.0,522,2486,1279,7,5,0,9,3,566,4,Matches
689,Bafodé Diakité,fr FRA,DF,Lille,fr Ligue 1,22-083,2001,21.8,1605,65,429,864,324,26,1605,21,11,52.4,8,38.1,1128,5313,2564,29,34,6,21,11,1043,59,Matches
690,Ibrahim Diakité,gn GUI,DF,Reims,fr Ligue 1,19-150,2003,1.5,83,4,30,32,23,1,83,3,1,33.3,1,33.3,46,264,96,0,1,0,1,1,37,6,Matches
691,Abdou Diallo,sn SEN,DFMF,RB Leipzig,de Bundesliga,26-330,1996,4.8,394,44,172,201,23,8,394,3,3,100.0,0,0.0,260,1462,909,11,3,1,2,4,282,2,Matches
692,Baila Diallo,fr FRA,DFMF,Clermont Foot,fr Ligue 1,21-279,2001,1.0,55,3,13,18,24,4,55,1,0,0.0,1,100.0,25,160,59,3,2,2,1,1,26,9,Matches
693,Habib Diallo,sn SEN,FW,Strasbourg,fr Ligue 1,27-285,1995,23.1,712,17,57,319,341,127,710,48,17,35.4,28,58.3,483,2849,903,25,19,10,81,26,549,146,Matches
694,Ibrahima Diallo,fr FRA,MF,Southampton,eng Premier League,24-022,1999,8.9,493,16,122,308,74,4,493,13,8,61.5,5,38.5,286,1445,710,9,4,0,16,9,293,6,Matches
695,Ismael Diallo,ci CIV,DF,Ajaccio,fr Ligue 1,26-060,1997,19.1,1055,72,406,526,138,2,1055,23,8,34.8,11,47.8,679,3998,1800,31,29,0,28,7,549,23,Matches
696,Mamady Diarra,ml MLI,MFDF,Cádiz,es La Liga,22-277,2000,0.7,21,0,6,9,6,3,21,3,1,33.3,2,66.7,14,84,55,3,0,1,1,1,9,0,Matches
697,Mouhamadou Diarra,sn SEN,MF,Strasbourg,fr Ligue 1,19-086,2004,10.0,490,9,90,236,171,18,490,29,11,37.9,11,37.9,361,2329,1162,36,26,8,16,13,316,39,Matches
698,Moussa Diarra,ml MLI,DF,Toulouse,fr Ligue 1,22-140,2000,11.6,669,40,242,301,130,7,669,19,7,36.8,11,57.9,459,2656,1300,20,20,1,22,3,411,41,Matches
699,Stéphane Diarra,fr FRA,FWMF,Lorient,fr Ligue 1,24-111,1998,11.0,489,18,113,184,209,38,489,71,23,32.4,41,57.7,353,2722,1403,39,24,20,29,14,283,85,Matches
700,Youba Diarra,ml MLI,MF,Cádiz,es La Liga,25-006,1998,0.6,40,4,18,24,1,0,40,0,0,,0,,19,65,43,1,0,0,2,4,15,0,Matches
701,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,25-320,1997,15.2,1490,114,557,868,71,20,1490,6,5,83.3,0,0.0,966,5346,3301,8,16,1,1,1,1170,1,Matches
702,Krépin Diatta,sn SEN,MFFW,Monaco,fr Ligue 1,24-033,1999,18.4,806,9,68,294,452,69,806,48,23,47.9,15,31.3,611,3739,1629,66,40,22,38,15,592,180,Matches
703,Mory Diaw,sn SEN,GK,Clermont Foot,fr Ligue 1,29-281,1993,28.0,1151,942,1143,8,0,0,1151,0,0,,0,,759,4226,2806,0,0,0,0,0,486,0,Matches
704,Brahim Díaz,es ESP,MF,Milan,it Serie A,23-239,1999,14.5,673,3,44,384,264,40,673,52,25,48.1,23,44.2,459,3110,1720,58,44,12,48,41,511,76,Matches
705,Luis Díaz,co COL,FW,Liverpool,eng Premier League,26-076,1997,6.8,338,3,23,147,172,45,338,29,14,48.3,11,37.9,244,1586,624,21,14,12,14,24,284,72,Matches
706,Justin Diehl,de GER,MFFW,Köln,de Bundesliga,18-123,2004,0.2,3,0,0,0,3,0,3,1,0,0.0,1,100.0,3,17,12,0,0,0,0,0,4,1,Matches
707,Bamba Dieng,sn SEN,FWMF,Marseille,fr Ligue 1,23-007,2000,2.2,76,1,4,39,34,15,76,3,2,66.7,1,33.3,54,303,112,5,1,2,7,4,58,23,Matches
708,Bamba Dieng,sn SEN,FW,Lorient,fr Ligue 1,23-007,2000,4.8,154,2,16,74,66,24,153,22,8,36.4,9,40.9,113,565,156,1,3,1,11,9,113,30,Matches
