,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,Expected,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
150,Theo Bair,ca CAN,MFFW,Auxerre,fr Ligue 1,26-067,1999,0.1,3,4,75.0,41,10,1,1,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches
151,Cédric Bakambu,cd COD,FW,Betis,es La Liga,34-205,1991,0.8,11,17,64.7,118,10,9,12,75.0,0,3,0.0,1,1,100.0,0,0.0,0.0,0.0,1,1,0,0,0,Matches
152,Johan Bakayoko,be BEL,FW,RB Leipzig,de Bundesliga,22-196,2003,5.9,155,187,82.9,1994,298,98,109,89.9,32,42,76.2,9,14,64.3,0,0.5,0.7,-0.5,6,5,6,2,13,Matches
153,Darryl Bakola,fr FRA,MF,Marseille,fr Ligue 1,17-337,2007,0.3,22,24,91.7,452,162,7,7,100.0,13,13,100.0,2,4,50.0,0,0.0,0.0,0.0,0,4,0,0,5,Matches
154,Ridle Baku,de GER,DF,RB Leipzig,de Bundesliga,27-208,1998,8.9,510,612,83.3,9551,3703,187,205,91.2,268,299,89.6,51,80,63.8,1,1.9,2.3,-0.9,13,36,9,0,64,Matches
155,Dilane Bakwa,fr FRA,FWMF,Nott'ham Forest,eng Premier League,23-068,2002,1.9,72,96,75.0,1034,267,46,51,90.2,19,26,73.1,4,12,33.3,0,0.4,0.3,-0.4,5,3,2,1,9,Matches
156,Dilane Bakwa,fr FRA,DFMF,Strasbourg,fr Ligue 1,23-068,2002,1.2,40,50,80.0,712,151,21,23,91.3,15,19,78.9,4,7,57.1,2,0.4,0.8,+1.6,3,2,2,0,6,Matches
157,Tommaso Baldanzi,it ITA,MFFW,Roma,it Serie A,22-224,2003,1.5,45,55,81.8,600,140,34,37,91.9,8,9,88.9,2,5,40.0,0,0.4,0.3,-0.4,4,2,3,2,3,Matches
158,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,22-015,2003,4.8,257,282,91.1,3498,550,153,162,94.4,91,99,91.9,4,7,57.1,0,0.6,0.9,-0.6,7,5,5,1,16,Matches
159,Fabio Baldé,pt POR,FWMF,Hamburger SV,de Bundesliga,20-105,2005,0.8,15,24,62.5,232,20,8,11,72.7,6,10,60.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
160,Carlos Baleba,cm CMR,MF,Brighton,eng Premier League,21-303,2004,6.3,208,247,84.2,3293,591,116,126,92.1,65,79,82.3,19,29,65.5,0,0.0,0.2,0.0,2,15,1,0,10,Matches
