,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,Expected,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1789,Isaac Romero,es ESP,FW,Sevilla,es La Liga,25-168,2000,7.0,102,138,73.9,1526,225,62,73,84.9,21,32,65.6,13,15,86.7,0,0.4,0.2,-0.4,4,7,1,0,9,Matches
1790,Iván Romero,es ESP,FW,Levante,es La Liga,24-206,2001,7.7,103,159,64.8,1528,326,55,71,77.5,30,45,66.7,8,15,53.3,0,0.9,0.8,-0.9,8,6,4,1,13,Matches
1791,Rômulo,br BRA,FW,RB Leipzig,de Bundesliga,23-267,2002,7.9,132,191,69.1,1732,479,83,107,77.6,28,37,75.7,8,11,72.7,3,1.1,0.3,+1.9,8,8,5,0,17,Matches
1792,Salomón Rondón,ve VEN,FW,Oviedo,es La Liga,36-047,1989,6.3,86,131,65.6,1308,324,43,56,76.8,30,47,63.8,5,8,62.5,0,0.2,0.2,-0.2,5,10,1,0,11,Matches
1793,Valentin Rongier,fr FRA,MF,Rennes,fr Ligue 1,30-330,1994,8.5,471,535,88.0,7475,2018,216,234,92.3,216,238,90.8,21,33,63.6,0,0.7,0.7,-0.7,10,61,4,1,57,Matches
1794,Marten de Roon,nl NED,MF,Atalanta,it Serie A,34-218,1991,6.0,360,408,88.2,6618,2045,150,164,91.5,175,185,94.6,34,51,66.7,0,0.2,0.5,-0.2,3,45,8,1,37,Matches
1795,Pablo Rosario,do DOM,MF,Nice,fr Ligue 1,28-299,1997,0.3,15,17,88.2,197,89,11,11,100.0,4,5,80.0,0,0,,0,0.1,0.0,-0.1,1,2,0,0,2,Matches
1796,Max Rosenfelder,de GER,DF,Freiburg,de Bundesliga,22-265,2003,1.3,63,68,92.6,1242,462,22,24,91.7,35,36,97.2,6,7,85.7,0,0.0,0.0,0.0,0,2,0,0,3,Matches
1797,Valentin Rosier,fr FRA,DFMF,Osasuna,es La Liga,29-075,1996,6.8,242,322,75.2,3524,1135,140,156,89.7,82,114,71.9,12,40,30.0,1,0.6,0.7,+0.4,4,14,5,3,15,Matches
1798,Tom Rothe,de GER,DF,Union Berlin,de Bundesliga,21-004,2004,3.9,115,161,71.4,1887,735,54,65,83.1,45,58,77.6,10,25,40.0,0,0.2,0.3,-0.2,3,11,2,0,12,Matches
1799,Anthony Rouault,fr FRA,DF,Rennes,fr Ligue 1,24-157,2001,7.0,401,449,89.3,7435,3149,148,161,91.9,224,237,94.5,28,44,63.6,0,0.1,0.2,-0.1,3,51,1,0,49,Matches
1800,Nicolò Rovella,it ITA,MF,Lazio,it Serie A,23-333,2001,2.2,198,218,90.8,3427,1083,82,88,93.2,100,104,96.2,13,21,61.9,1,1.6,0.9,-0.6,9,26,3,0,16,Matches
1801,Jonathan Rowe,eng ENG,FWMF,Bologna,it Serie A,22-186,2003,1.6,47,56,83.9,775,164,26,26,100.0,17,20,85.0,4,6,66.7,0,0.0,0.2,0.0,0,5,6,1,10,Matches
1802,Jonathan Rowe,eng ENG,FW,Marseille,fr Ligue 1,22-186,2003,0.7,20,29,69.0,247,54,14,16,87.5,5,6,83.3,0,4,0.0,0,0.0,0.0,0.0,0,0,2,0,2,Matches
1803,Amir Rrahmani,xk KVX,DF,Napoli,it Serie A,31-251,1994,3.0,237,261,90.8,4529,1589,77,82,93.9,147,153,96.1,12,21,57.1,0,0.1,0.1,-0.1,2,11,2,0,29,Matches
1804,Rubén,es ESP,DF,Espanyol,es La Liga,24-271,2001,2.4,100,133,75.2,1774,729,47,49,95.9,44,54,81.5,8,25,32.0,0,0.0,0.1,0.0,1,11,4,1,17,Matches
1805,Antonio Rüdiger,de GER,DF,Real Madrid,es La Liga,32-244,1993,1.0,68,71,95.8,1229,343,25,26,96.2,36,37,97.3,6,7,85.7,0,0.0,0.0,0.0,0,3,0,0,4,Matches
1806,Javier Rueda Garcia,es ESP,DFMF,Celta Vigo,es La Liga,23-178,2002,4.2,152,207,73.4,2815,853,66,76,86.8,60,70,85.7,24,42,57.1,2,0.9,0.9,+1.1,3,9,2,0,12,Matches
1807,Daniele Rugani,it ITA,DF,Juventus,it Serie A,31-096,1994,1.9,77,89,86.5,1548,470,18,25,72.0,53,54,98.1,6,9,66.7,0,0.0,0.0,0.0,0,1,0,0,0,Matches
1808,Matteo Ruggeri,it ITA,DF,Atlético Madrid,es La Liga,23-114,2002,4.2,212,259,81.9,3448,887,108,116,93.1,83,103,80.6,14,23,60.9,0,0.1,0.4,-0.1,1,13,5,3,21,Matches
1809,Aitor Ruibal,es ESP,FWDF,Betis,es La Liga,29-225,1996,3.4,99,125,79.2,1320,390,60,66,90.9,28,39,71.8,3,8,37.5,0,0.3,0.6,-0.3,4,4,6,2,14,Matches
1810,Fabián Ruiz Peña,es ESP,MF,Paris S-G,fr Ligue 1,29-213,1996,4.2,408,447,91.3,6488,2063,221,230,96.1,143,153,93.5,32,45,71.1,1,0.4,0.8,+0.6,6,61,11,1,46,Matches
1811,Gerónimo Rulli,ar ARG,GK,Marseille,fr Ligue 1,33-166,1992,9.0,245,309,79.3,6158,4292,63,63,100.0,105,108,97.2,73,133,54.9,0,0.0,0.0,0.0,0,6,0,0,1,Matches
1812,Georginio Rutter,fr FRA,FWMF,Brighton,eng Premier League,23-196,2002,6.7,102,146,69.9,1786,638,46,58,79.3,41,50,82.0,11,20,55.0,2,1.8,1.2,+0.2,8,16,6,0,29,Matches
1813,Mathew Ryan,au AUS,GK,Levante,es La Liga,33-208,1992,8.0,184,261,70.5,5730,4121,23,23,100.0,87,87,100.0,74,151,49.0,0,0.0,0.0,0.0,0,2,0,0,0,Matches
1814,Julian Ryerson,no NOR,DFMF,Dortmund,de Bundesliga,27-350,1997,4.8,278,353,78.8,4531,1471,133,142,93.7,113,137,82.5,20,51,39.2,3,2.5,2.1,+0.5,14,27,10,5,33,Matches
1815,Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,33-090,1992,9.0,162,297,54.5,5423,4198,19,20,95.0,75,76,98.7,68,199,34.2,0,0.0,0.0,0.0,0,8,0,0,0,Matches
1816,Alexander Røssing-Lelesiit,no NOR,FWMF,Hamburger SV,de Bundesliga,18-286,2007,2.2,31,37,83.8,504,111,13,14,92.9,11,12,91.7,4,7,57.1,0,0.2,0.2,-0.2,1,0,1,1,1,Matches
1817,José Sá,pt POR,GK,Wolves,eng Premier League,32-289,1993,4.0,89,131,67.9,2683,2098,13,13,100.0,47,48,97.9,28,69,40.6,0,0.1,0.0,-0.1,1,3,1,0,0,Matches
1818,Elias Saad,tn TUN,MFFW,Augsburg,de Bundesliga,25-310,1999,5.1,115,156,73.7,1482,279,79,95,83.2,34,42,81.0,1,6,16.7,0,0.7,0.4,-0.7,12,6,2,0,10,Matches
1819,Stefano Sabelli,it ITA,DF,Genoa,it Serie A,32-293,1993,2.8,94,142,66.2,1679,775,41,48,85.4,42,60,70.0,8,25,32.0,0,0.1,0.1,-0.1,2,11,1,0,6,Matches
1820,Abdelhamid Sabiri,ma MAR,MF,Fiorentina,it Serie A,28-339,1996,0.3,15,23,65.2,298,128,5,5,100.0,8,11,72.7,2,6,33.3,0,0.1,0.2,-0.1,3,1,0,0,2,Matches
1821,Marcel Sabitzer,at AUT,MF,Dortmund,de Bundesliga,31-230,1994,6.0,213,253,84.2,3311,1055,115,126,91.3,73,86,84.9,13,23,56.5,1,0.2,0.5,+0.8,4,29,6,4,42,Matches
1822,Noah Sadiki,cd COD,MF,Sunderland,eng Premier League,20-320,2004,8.9,269,318,84.6,4097,1010,142,155,91.6,100,113,88.5,16,27,59.3,0,0.2,0.4,-0.2,4,18,5,2,23,Matches
1823,Umar Sadiq,ng NGA,FW,Real Sociedad,es La Liga,28-273,1997,0.2,3,4,75.0,36,12,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
1824,Alexis Saelemaekers,be BEL,DFFW,Milan,it Serie A,26-128,1999,8.6,369,455,81.1,5800,1394,205,229,89.5,140,165,84.8,18,35,51.4,1,0.8,1.1,+0.2,13,16,10,3,29,Matches
1825,Emir Sahiti,xk KVX,FW,Hamburger SV,de Bundesliga,26-338,1998,1.3,23,33,69.7,366,38,8,11,72.7,14,19,73.7,0,0,,0,0.0,0.0,0.0,1,2,1,0,1,Matches
1826,Osame Sahraoui,ma MAR,FWMF,Lille,fr Ligue 1,24-144,2001,1.7,76,102,74.5,1131,360,40,50,80.0,31,38,81.6,2,3,66.7,2,0.5,0.7,+1.5,7,8,8,0,23,Matches
1827,Wesley Saïd,fr FRA,MF,Lens,fr Ligue 1,30-197,1995,7.0,132,173,76.3,2066,646,75,88,85.2,45,59,76.3,7,14,50.0,2,2.1,1.3,-0.1,8,17,8,1,25,Matches
1828,Bukayo Saka,eng ENG,FW,Arsenal,eng Premier League,24-058,2001,6.6,167,237,70.5,2747,705,95,112,84.8,51,68,75.0,18,38,47.4,0,1.6,2.1,-1.6,15,2,12,2,13,Matches
1829,Mathis Saka,fr FRA,MF,Toulouse,fr Ligue 1,19-043,2006,0.1,2,5,40.0,38,21,0,2,0.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches
1830,Álex Sala,es ESP,MF,Lecce,it Serie A,24-207,2001,1.2,37,43,86.0,577,115,20,23,87.0,14,16,87.5,2,3,66.7,1,0.0,0.2,+1.0,1,5,2,2,6,Matches
1831,Ibrahim Salah,ma MAR,FW,Rennes,fr Ligue 1,24-064,2001,0.4,22,22,100.0,295,46,15,15,100.0,5,5,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
1832,Mohamed Salah,eg EGY,FW,Liverpool,eng Premier League,33-140,1992,9.9,207,303,68.3,3054,952,128,153,83.7,60,91,65.9,15,36,41.7,2,1.7,1.3,+0.3,17,9,21,4,37,Matches
1833,Jan Salas,es ESP,MF,Mallorca,es La Liga,20-084,2005,0.2,6,10,60.0,183,92,1,2,50.0,3,4,75.0,2,2,100.0,0,0.0,0.0,0.0,0,3,1,0,4,Matches
1834,Kike Salas,es ESP,DF,Sevilla,es La Liga,23-193,2002,4.0,254,308,82.5,5575,1874,53,55,96.4,170,190,89.5,31,55,56.4,0,0.0,0.1,0.0,1,23,1,0,22,Matches
1835,Manolis Saliakas,gr GRE,DF,St. Pauli,de Bundesliga,29-051,1996,5.0,277,369,75.1,4785,1422,136,151,90.1,116,138,84.1,24,63,38.1,1,0.2,0.6,+0.8,4,27,8,3,27,Matches
1836,William Saliba,fr FRA,DF,Arsenal,eng Premier League,24-223,2001,7.0,595,634,93.8,10236,2917,249,253,98.4,315,331,95.2,24,37,64.9,0,0.1,0.4,-0.1,1,28,1,0,32,Matches
1837,José Salinas,es ESP,DFFW,Espanyol,es La Liga,25-033,2000,0.5,5,14,35.7,100,42,1,5,20.0,3,7,42.9,1,1,100.0,0,0.0,0.0,0.0,0,0,1,0,1,Matches
1838,Mohammed Salisu,gh GHA,DF,Monaco,fr Ligue 1,26-199,1999,6.0,441,491,89.8,7720,3197,149,152,98.0,259,272,95.2,25,51,49.0,0,0.1,0.2,-0.1,1,21,0,0,24,Matches
1839,Lazar Samardzic,rs SRB,MF,Atalanta,it Serie A,23-251,2002,4.1,150,199,75.4,2651,770,72,82,87.8,47,53,88.7,25,45,55.6,1,1.2,0.9,-0.2,12,18,8,1,26,Matches
1840,Mbwana Samatta,tz TAN,FW,Le Havre,fr Ligue 1,32-314,1992,5.7,66,94,70.2,1003,218,34,41,82.9,23,30,76.7,5,8,62.5,0,0.3,0.6,-0.3,6,3,2,0,9,Matches
1841,Mama Samba Baldé,gw GNB,FW,Brest,fr Ligue 1,29-361,1995,3.9,59,83,71.1,761,104,39,45,86.7,14,21,66.7,3,9,33.3,1,0.5,0.5,+0.5,4,2,1,0,2,Matches
1842,Brice Samba,fr FRA,GK,Rennes,fr Ligue 1,31-191,1994,10.0,333,434,76.7,8448,5259,50,51,98.0,196,198,99.0,86,184,46.7,0,0.0,0.0,0.0,0,4,0,0,0,Matches
1843,Albert Sambi Lokonga,be BEL,MF,Hamburger SV,de Bundesliga,26-011,1999,2.6,87,103,84.5,1477,424,39,45,86.7,36,40,90.0,9,14,64.3,0,0.3,0.6,-0.3,5,10,2,1,14,Matches
1844,Antonio Sanabria,py PAR,FW,Cremonese,it Serie A,29-243,1996,4.2,41,51,80.4,519,97,24,28,85.7,11,12,91.7,1,3,33.3,1,1.0,0.0,0.0,1,3,0,0,5,Matches
1845,Oihan Sancet,es ESP,MF,Athletic Club,es La Liga,25-191,2000,6.9,163,202,80.7,2538,474,87,101,86.1,58,69,84.1,12,16,75.0,0,0.6,0.3,-0.6,10,18,6,0,25,Matches
1846,Alexis Sánchez,cl CHI,FWMF,Sevilla,es La Liga,36-318,1988,4.4,95,139,68.3,1535,590,50,65,76.9,30,39,76.9,11,21,52.4,1,0.4,0.6,+0.6,6,11,7,1,21,Matches
1847,Antonio Sánchez,es ESP,MFDF,Mallorca,es La Liga,28-305,1997,3.1,92,108,85.2,1550,469,41,44,93.2,42,47,89.4,7,13,53.8,0,0.0,0.1,0.0,0,8,1,0,10,Matches
1848,Juanlu Sánchez,es ESP,DFFW,Sevilla,es La Liga,22-079,2003,6.4,227,295,76.9,3582,1074,119,142,83.8,86,104,82.7,16,26,61.5,1,0.2,0.9,+0.8,4,14,7,3,19,Matches
1849,Borja Sánchez Laborde,es ESP,MF,Oviedo,es La Liga,29-249,1996,0.2,11,13,84.6,253,63,4,4,100.0,3,4,75.0,4,4,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
1850,Manu Sánchez,es ESP,DF,Levante,es La Liga,25-070,2000,8.6,225,306,73.5,3620,1126,112,137,81.8,102,120,85.0,9,35,25.7,1,1.0,0.4,0.0,8,12,7,4,28,Matches
1851,Robert Sánchez,es ESP,GK,Chelsea,eng Premier League,27-349,1997,9.0,262,389,67.4,6842,4860,49,50,98.0,137,139,98.6,70,192,36.5,0,0.1,0.0,-0.1,2,9,0,0,0,Matches
1852,Jadon Sancho,eng ENG,FW,Aston Villa,eng Premier League,25-222,2000,0.8,42,49,85.7,685,156,20,21,95.2,18,20,90.0,3,4,75.0,0,0.0,0.1,0.0,1,0,5,0,7,Matches
1853,Álex Sancris,es ESP,FWMF,Getafe,es La Liga,28-288,1997,3.4,55,94,58.5,862,220,32,43,74.4,18,27,66.7,4,14,28.6,1,0.6,0.7,+0.4,4,1,3,2,4,Matches
1854,Philipp Sander,de GER,MFDF,Gladbach,de Bundesliga,27-254,1998,6.7,316,366,86.3,5685,1691,124,137,90.5,151,164,92.1,34,53,64.2,0,0.1,0.4,-0.1,1,24,2,1,27,Matches
1855,James Sands,us USA,MF,St. Pauli,de Bundesliga,25-119,2000,7.3,268,344,77.9,3967,1150,147,173,85.0,97,117,82.9,11,21,52.4,0,0.3,0.4,-0.3,3,28,6,2,31,Matches
1856,Ibou Sané,sn SEN,FWMF,Metz,fr Ligue 1,20-219,2005,2.0,47,61,77.0,713,136,24,26,92.3,18,21,85.7,2,9,22.2,1,0.8,0.4,+0.2,1,2,1,0,10,Matches
1857,Sadibou Sané,sn SEN,DF,Metz,fr Ligue 1,21-145,2004,4.4,285,316,90.2,5599,1810,86,92,93.5,163,173,94.2,33,44,75.0,0,0.0,0.0,0.0,0,5,0,0,5,Matches
1858,Arouna Sangante,sn SEN,DF,Le Havre,fr Ligue 1,23-204,2002,8.7,469,524,89.5,9191,3088,114,125,91.2,321,334,96.1,28,52,53.8,0,0.1,0.4,-0.1,3,25,1,0,31,Matches
1859,Ibrahim Sangaré,ci CIV,MF,Nott'ham Forest,eng Premier League,27-335,1997,4.9,249,279,89.2,4184,1364,115,121,95.0,109,120,90.8,18,26,69.2,0,0.0,0.1,0.0,1,32,2,0,32,Matches
1860,Mamadou Sangare,ml MLI,MF,Lens,fr Ligue 1,23-129,2002,8.3,328,401,81.8,5678,1476,158,190,83.2,136,153,88.9,31,43,72.1,0,0.4,0.4,-0.4,7,31,3,0,46,Matches
1861,Nhoa Sangui,fr FRA,DF,Paris FC,fr Ligue 1,19-248,2006,3.7,178,207,86.0,2655,738,95,99,96.0,71,84,84.5,6,15,40.0,0,0.7,0.4,-0.7,5,7,5,3,12,Matches
1862,Maroan Sannadi,ma MAR,FW,Athletic Club,es La Liga,24-274,2001,2.9,46,65,70.8,617,100,24,33,72.7,15,17,88.2,2,3,66.7,0,0.6,0.1,-0.6,2,4,0,0,4,Matches
1863,Kaishu Sano,jp JPN,MF,Mainz 05,de Bundesliga,24-307,2000,9.0,287,361,79.5,4721,1711,142,173,82.1,113,130,86.9,21,33,63.6,1,1.1,1.1,-0.1,5,38,9,0,64,Matches
1864,Morgan Sanson,fr FRA,MF,Nice,fr Ligue 1,31-076,1994,2.2,46,57,80.7,732,208,25,26,96.2,18,24,75.0,2,5,40.0,1,0.7,0.3,+0.3,3,5,2,0,6,Matches
1865,Baptiste Santamaria,fr FRA,MF,Valencia,es La Liga,30-238,1995,7.0,273,334,81.7,4608,1589,132,139,95.0,111,129,86.0,23,36,63.9,1,1.0,0.7,0.0,4,34,3,0,32,Matches
1866,Yellu Santiago,es ESP,MF,Hellas Verona,it Serie A,21-161,2004,0.1,4,7,57.1,55,41,2,4,50.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,1,1,0,0,0,Matches
1867,Andrey Santos,br BRA,MF,Chelsea,eng Premier League,21-183,2004,2.5,95,117,81.2,1293,401,59,69,85.5,28,31,90.3,2,3,66.7,0,0.1,0.0,-0.1,3,14,1,0,13,Matches
1868,Kauã Santos,br BRA,GK,Eint Frankfurt,de Bundesliga,22-205,2003,4.0,113,163,69.3,2497,1604,20,20,100.0,78,78,100.0,15,64,23.4,0,0.0,0.0,0.0,0,0,0,0,1,Matches
1869,Tiago Santos,pt POR,DF,Lille,fr Ligue 1,23-102,2002,1.2,30,45,66.7,510,248,16,19,84.2,10,16,62.5,4,7,57.1,0,0.0,0.0,0.0,1,4,0,0,2,Matches
1870,Jeremy Sarmiento,ec ECU,MFFW,Cremonese,it Serie A,23-139,2002,1.4,43,50,86.0,675,137,21,24,87.5,15,16,93.8,4,5,80.0,0,0.2,0.1,-0.2,3,6,1,0,3,Matches
1871,Amin Sarr,se SWE,FW,Hellas Verona,it Serie A,24-236,2001,3.0,49,72,68.1,609,128,27,34,79.4,9,17,52.9,3,3,100.0,0,0.3,0.2,-0.3,5,5,1,1,5,Matches
1872,Ismaila Sarr,sn SEN,MFFW,Crystal Palace,eng Premier League,27-250,1998,7.8,103,152,67.8,1581,515,52,67,77.6,43,56,76.8,4,10,40.0,1,0.5,0.3,+0.5,6,10,6,0,26,Matches
1873,Malang Sarr,fr FRA,DF,Lens,fr Ligue 1,26-283,1999,9.0,339,393,86.3,6949,2486,115,125,92.0,174,185,94.1,48,72,66.7,0,0.0,0.1,0.0,0,31,0,0,27,Matches
1874,Mamadou Sarr,fr FRA,DF,Strasbourg,fr Ligue 1,20-065,2005,8.0,509,539,94.4,9145,3111,176,182,96.7,281,291,96.6,41,54,75.9,0,0.1,0.1,-0.1,1,22,0,0,17,Matches
1875,Martin Satriano,uy URU,FW,Lyon,fr Ligue 1,24-255,2001,3.1,63,69,91.3,1009,168,31,34,91.2,23,25,92.0,4,4,100.0,1,0.6,0.3,+0.4,4,3,3,1,9,Matches
1876,Mario Sauer,sk SVK,MF,Toulouse,fr Ligue 1,21-171,2004,4.6,122,153,79.7,2097,556,56,69,81.2,50,58,86.2,12,17,70.6,0,0.1,0.3,-0.1,2,13,1,0,17,Matches
1877,Razvan Sava,ro ROU,GK,Udinese,it Serie A,23-134,2002,6.0,135,172,78.5,3268,2506,31,31,100.0,78,80,97.5,25,60,41.7,0,0.0,0.0,0.0,0,1,0,0,0,Matches
1878,Sávio,br BRA,MF,Manchester City,eng Premier League,21-206,2004,3.7,127,160,79.4,1833,307,78,91,85.7,44,50,88.0,4,8,50.0,1,0.3,0.5,+0.7,2,2,4,0,7,Matches
1879,Nicolò Savona,it ITA,DFMF,Nott'ham Forest,eng Premier League,22-228,2003,3.8,134,180,74.4,2069,818,74,88,84.1,53,70,75.7,6,16,37.5,0,0.0,0.1,0.0,1,9,1,0,12,Matches
1880,Joe Scally,us USA,DF,Gladbach,de Bundesliga,22-306,2002,7.0,238,288,82.6,3903,1164,113,123,91.9,108,119,90.8,11,25,44.0,2,0.7,0.9,+1.3,4,22,3,2,25,Matches
1881,Giorgio Scalvini,it ITA,DF,Atalanta,it Serie A,21-326,2003,3.2,190,221,86.0,2806,1033,115,123,93.5,69,79,87.3,5,13,38.5,0,0.1,0.3,-0.1,2,13,1,0,22,Matches
1882,Gianluca Scamacca,it ITA,FW,Atalanta,it Serie A,26-305,1999,2.5,47,63,74.6,757,117,26,31,83.9,15,19,78.9,4,5,80.0,0,0.2,0.1,-0.2,1,3,3,0,6,Matches
1883,Oliver Scarles,eng ENG,DFMF,West Ham,eng Premier League,19-325,2005,0.8,20,24,83.3,265,100,12,13,92.3,8,9,88.9,0,2,0.0,0,0.0,0.0,0.0,0,3,0,0,2,Matches
1884,Kevin Schade,de GER,FW,Brentford,eng Premier League,23-340,2001,9.2,93,151,61.6,1408,412,51,77,66.2,28,41,68.3,7,13,53.8,1,1.1,0.7,-0.1,11,5,3,1,6,Matches
1885,András Schäfer,hu HUN,MF,Union Berlin,de Bundesliga,26-203,1999,3.4,65,96,67.7,765,120,48,59,81.4,16,25,64.0,0,4,0.0,0,0.0,0.0,0.0,0,3,0,0,5,Matches
1886,Fabian Schär,ch SUI,DF,Newcastle Utd,eng Premier League,33-317,1991,4.2,209,252,82.9,4733,2015,58,63,92.1,112,120,93.3,39,67,58.2,0,0.1,0.1,-0.1,2,21,1,0,17,Matches
1887,Derry Scherhant,de GER,FW,Freiburg,de Bundesliga,22-357,2002,3.1,44,75,58.7,681,213,27,33,81.8,13,24,54.2,4,17,23.5,0,0.4,0.5,-0.4,5,0,1,0,5,Matches
1888,Patrik Schick,cz CZE,FW,Leverkusen,de Bundesliga,29-282,1996,5.5,85,105,81.0,1158,177,55,62,88.7,26,34,76.5,2,2,100.0,1,0.3,0.6,+0.7,2,1,1,0,5,Matches
1889,Stefan Schimmer,de GER,FW,Heidenheim,de Bundesliga,31-188,1994,2.4,27,41,65.9,494,197,12,18,66.7,9,13,69.2,4,5,80.0,0,0.6,0.4,-0.6,4,3,4,3,7,Matches
1890,Xaver Schlager,at AUT,MF,RB Leipzig,de Bundesliga,28-035,1997,2.8,138,153,90.2,2125,641,78,85,91.8,53,57,93.0,6,8,75.0,0,0.3,0.6,-0.3,4,15,6,1,19,Matches
1891,Keven Schlotterbeck,de GER,DF,Augsburg,de Bundesliga,28-188,1997,4.5,186,237,78.5,3656,1504,74,91,81.3,85,93,91.4,25,44,56.8,0,0.0,0.1,0.0,0,18,3,1,18,Matches
1892,Nico Schlotterbeck,de GER,DF,Dortmund,de Bundesliga,25-336,1999,5.0,329,376,87.5,6862,2585,101,107,94.4,171,181,94.5,53,77,68.8,0,0.0,0.2,0.0,1,35,2,0,35,Matches
1893,Romano Schmid,at AUT,MFFW,Werder Bremen,de Bundesliga,25-279,2000,8.6,277,387,71.6,4462,1355,152,178,85.4,83,110,75.5,27,61,44.3,2,3.2,2.9,-1.2,22,27,31,6,57,Matches
1894,Isaac Schmidt,ch SUI,DFMF,Werder Bremen,de Bundesliga,25-330,1999,1.3,62,76,81.6,940,385,34,43,79.1,24,26,92.3,2,3,66.7,0,0.2,0.1,-0.2,4,9,2,0,9,Matches
1895,Joël Schmied,ch SUI,DF,Köln,de Bundesliga,27-040,1998,6.6,188,225,83.6,3167,740,83,91,91.2,96,103,93.2,5,20,25.0,0,0.1,0.1,-0.1,2,12,0,0,9,Matches
1896,Jan Schöppner,de GER,MF,Heidenheim,de Bundesliga,26-143,1999,7.4,137,207,66.2,2319,701,65,85,76.5,56,79,70.9,13,28,46.4,0,0.5,0.2,-0.5,1,14,3,0,21,Matches
1897,Marvin Schwäbe,de GER,GK,Köln,de Bundesliga,30-191,1995,8.0,263,385,68.3,8676,6544,32,32,100.0,124,124,100.0,107,227,47.1,0,0.0,0.0,0.0,0,9,0,0,0,Matches
1898,Léo Scienza,br BRA,MFFW,Heidenheim,de Bundesliga,27-050,1998,2.0,32,52,61.5,592,142,10,14,71.4,17,22,77.3,3,12,25.0,0,1.1,0.4,-1.1,3,1,4,1,3,Matches
1899,Alex Scott,eng ENG,MF,Bournemouth,eng Premier League,22-073,2003,6.6,256,315,81.3,4041,854,134,143,93.7,97,110,88.2,16,43,37.2,0,0.4,0.3,-0.4,5,18,4,2,20,Matches
1900,Sebastian Sebulonsen,no NOR,DF,Köln,de Bundesliga,25-279,2000,7.1,137,221,62.0,2339,812,70,84,83.3,52,86,60.5,11,40,27.5,0,1.1,1.1,-1.1,7,8,6,4,6,Matches
1901,Jenson Seelt,nl NED,DF,Sunderland,eng Premier League,22-163,2003,1.5,96,110,87.3,1786,705,38,40,95.0,46,48,95.8,10,16,62.5,0,0.0,0.0,0.0,0,6,0,0,14,Matches
1902,Jenson Seelt,nl NED,DF,Wolfsburg,de Bundesliga,22-163,2003,1.1,35,41,85.4,640,188,7,8,87.5,25,26,96.2,1,5,20.0,0,0.0,0.0,0.0,0,0,0,0,3,Matches
1903,Alidu Seidu,gh GHA,DF,Rennes,fr Ligue 1,25-151,2000,4.8,303,344,88.1,5018,1501,143,152,94.1,134,150,89.3,21,30,70.0,1,0.9,0.6,+0.1,4,25,3,3,31,Matches
1904,Nicolas Seiwald,at AUT,MF,RB Leipzig,de Bundesliga,24-182,2001,8.2,261,302,86.4,4288,1258,117,126,92.9,126,144,87.5,14,24,58.3,0,0.1,0.4,-0.1,3,13,3,1,13,Matches
1905,Ayumu Seko,jp JPN,MFDF,Le Havre,fr Ligue 1,25-148,2000,9.2,233,295,79.0,4170,1155,97,110,88.2,105,121,86.8,25,45,55.6,0,0.1,0.2,-0.1,4,28,0,0,28,Matches
1906,Matz Sels,be BEL,GK,Nott'ham Forest,eng Premier League,33-249,1992,10.0,180,285,63.2,4853,3475,50,50,100.0,79,82,96.3,50,152,32.9,0,0.0,0.0,0.0,0,12,1,0,0,Matches
1907,Antoine Semenyo,gh GHA,FWMF,Bournemouth,eng Premier League,25-299,2000,9.0,191,281,68.0,3119,973,102,124,82.3,67,95,70.5,18,42,42.9,3,0.5,0.4,+2.5,11,10,15,0,35,Matches
1908,Adrian Šemper,hr CRO,GK,Pisa,it Serie A,27-294,1998,9.0,195,298,65.4,6415,5073,23,24,95.8,91,94,96.8,81,178,45.5,0,0.0,0.0,0.0,0,3,0,0,0,Matches
1909,Marvin Senaya,tg TOG,DF,Auxerre,fr Ligue 1,24-278,2001,10.6,329,451,72.9,6121,2545,139,162,85.8,150,190,78.9,35,81,43.2,0,0.1,0.3,-0.1,4,26,7,4,27,Matches
1910,Marcos Senesi,ar ARG,DF,Bournemouth,eng Premier League,28-176,1997,8.9,439,565,77.7,9765,4477,107,117,91.5,240,261,92.0,87,163,53.4,2,0.3,1.1,+1.7,4,60,13,3,48,Matches
1911,Suat Serdar,de GER,MF,Hellas Verona,it Serie A,28-205,1997,8.4,183,261,70.1,3436,1520,77,99,77.8,76,100,76.0,26,46,56.5,0,0.8,0.7,-0.8,11,50,8,1,51,Matches
1912,Nicolás Serrano,es ESP,FW,Athletic Club,es La Liga,22-242,2003,1.3,42,56,75.0,772,156,15,17,88.2,20,26,76.9,6,10,60.0,0,0.1,0.2,-0.1,2,2,2,2,5,Matches
