,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Outcomes,,,
617,Adam Dźwigała,pl POL,DF,St. Pauli,de Bundesliga,30-038,1995,4.5,244,219,24,3,0,0,0,3,0,0,0,0,203,1,5,Matches
618,Aron Dønnum,no NOR,MFFW,Toulouse,fr Ligue 1,27-196,1998,10.0,405,346,58,13,3,3,57,19,26,17,7,0,293,1,12,Matches
619,Simon Ebonog,cm CMR,MF,Le Havre,fr Ligue 1,21-078,2004,3.7,93,90,3,0,1,0,2,1,0,0,0,0,75,0,0,Matches
620,Enzo Ebosse,cm CMR,DF,Hellas Verona,it Serie A,26-236,1999,0.6,30,29,1,1,0,0,0,0,0,0,0,0,26,0,0,Matches
621,Claudio Echeverri,ar ARG,MFFW,Leverkusen,de Bundesliga,19-304,2006,1.2,58,50,8,3,0,0,1,1,1,1,0,0,53,0,0,Matches
622,Éderson,br BRA,MF,Atalanta,it Serie A,26-118,1999,5.0,319,310,9,6,0,8,2,1,0,0,0,0,286,0,1,Matches
623,Noah Edjouma,fr FRA,FWMF,Toulouse,fr Ligue 1,20-029,2005,2.1,53,51,2,0,1,0,10,1,1,0,0,0,36,0,2,Matches
624,Odsonne Édouard,fr FRA,FW,Crystal Palace,eng Premier League,27-290,1998,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Matches
625,Odsonne Édouard,fr FRA,FW,Lens,fr Ligue 1,27-290,1998,4.1,68,61,7,0,2,0,0,0,0,0,0,0,55,0,1,Matches
626,Marcus Edwards,eng ENG,MFFW,Burnley,eng Premier League,26-334,1998,0.2,5,5,0,0,0,0,2,0,0,0,0,0,3,0,1,Matches
627,CJ Egan-Riley,eng ENG,DF,Marseille,fr Ligue 1,22-304,2003,4.3,368,356,12,6,2,1,1,5,0,0,0,0,344,0,2,Matches
628,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,28-329,1996,9.0,390,374,16,9,1,0,4,7,0,0,0,0,318,0,5,Matches
629,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,30-161,1995,5.2,177,133,43,2,0,0,17,41,0,0,0,0,125,1,7,Matches
630,Ovie Ejaria,eng ENG,MF,Oviedo,es La Liga,27-349,1997,1.7,66,62,4,3,1,0,0,0,0,0,0,0,57,0,2,Matches
631,Chidera Ejuke,ng NGA,FWMF,Sevilla,es La Liga,27-304,1998,2.6,103,102,1,0,2,3,4,1,0,0,0,0,82,0,4,Matches
632,Hjalmar Ekdal,se SWE,DF,Burnley,eng Premier League,27-012,1998,5.9,165,164,1,1,1,1,1,0,0,0,0,0,138,0,3,Matches
633,Jeff Ekhator,it ITA,FW,Genoa,it Serie A,18-356,2006,3.1,62,59,2,0,0,0,3,1,0,0,0,0,34,1,3,Matches
634,Hugo Ekitike,fr FRA,FW,Liverpool,eng Premier League,23-135,2002,6.4,115,111,4,0,0,0,1,0,0,0,0,0,81,0,4,Matches
635,Jurgen Ekkelenkamp,nl NED,MF,Udinese,it Serie A,25-211,2000,3.4,84,80,3,0,0,0,3,3,0,0,0,0,63,1,2,Matches
636,Jacques Ekomie,ga GAB,DF,Angers,fr Ligue 1,22-075,2003,6.3,227,184,41,3,1,0,22,38,0,0,0,0,170,2,4,Matches
637,Caleb Ekuban,gh GHA,FW,Genoa,it Serie A,31-224,1994,2.8,52,47,4,0,0,0,3,0,1,0,0,0,35,1,1,Matches
638,Anthony Elanga,se SWE,FWMF,Newcastle Utd,eng Premier League,23-189,2002,4.3,160,148,12,0,1,0,34,6,5,2,3,0,105,0,5,Matches
639,Daniel Elfadli,ly LBY,DF,Hamburger SV,de Bundesliga,28-210,1997,7.3,370,353,17,17,0,2,0,0,0,0,0,0,354,0,1,Matches
640,Unai Elgezabal,es ESP,DF,Levante,es La Liga,32-191,1993,7.0,277,267,8,8,0,0,0,0,0,0,0,0,243,2,1,Matches
641,Mikael Ellertsson,is ISL,FWDF,Genoa,it Serie A,23-236,2002,7.8,191,166,25,0,0,0,3,24,0,0,0,0,141,0,3,Matches
642,Harvey Elliott,eng ENG,MFFW,Liverpool,eng Premier League,22-212,2003,0.0,8,8,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
643,Harvey Elliott,eng ENG,MFFW,Aston Villa,eng Premier League,22-212,2003,1.1,62,59,3,0,1,0,3,2,0,0,0,0,53,0,0,Matches
644,Elif Elmas,mk MKD,MFFW,Napoli,it Serie A,26-039,1999,2.8,105,98,7,2,1,0,5,1,3,2,1,0,87,0,3,Matches
645,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,31-219,1994,1.1,46,40,6,0,0,0,2,6,0,0,0,0,38,0,3,Matches
646,Nico Elvedi,ch SUI,DF,Gladbach,de Bundesliga,29-033,1996,9.0,518,491,27,15,1,2,0,1,0,0,0,0,484,0,1,Matches
647,Breel Embolo,ch SUI,FW,Rennes,fr Ligue 1,28-261,1997,5.2,78,77,0,0,0,0,2,0,0,0,0,0,47,1,3,Matches
648,Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,22-272,2003,2.5,19,18,1,0,0,0,0,0,0,0,0,0,16,0,1,Matches
649,Emersonn,br BRA,FW,Toulouse,fr Ligue 1,21-109,2004,3.3,41,40,1,0,0,0,2,0,0,0,0,0,29,0,3,Matches
650,Julio Enciso,py PAR,MFFW,Strasbourg,fr Ligue 1,21-283,2004,1.8,59,52,6,1,0,0,1,0,1,0,0,0,45,1,3,Matches
651,Wataru Endo,jp JPN,MFDF,Liverpool,eng Premier League,32-266,1993,0.4,22,22,0,0,0,0,0,0,0,0,0,0,19,0,0,Matches
652,Endrick,br BRA,FW,Real Madrid,es La Liga,19-104,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
653,Yannik Engelhardt,de GER,MF,Gladbach,de Bundesliga,24-268,2001,6.0,257,248,8,7,0,0,2,1,0,0,0,0,228,1,3,Matches
654,Christian Eriksen,dk DEN,MF,Wolfsburg,de Bundesliga,33-261,1992,2.7,119,109,9,3,2,0,6,0,3,0,3,0,88,1,6,Matches
655,Aarón Escandell,es ESP,GK,Oviedo,es La Liga,30-036,1995,10.0,355,272,82,25,0,1,0,0,0,0,0,0,256,1,0,Matches
656,Carlos Espí,es ESP,FW,Levante,es La Liga,20-101,2005,0.4,9,9,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
657,Alfonso Espino,uy URU,DFFW,Rayo Vallecano,es La Liga,33-301,1992,1.4,103,87,16,0,2,0,6,16,0,0,0,0,74,0,3,Matches
658,Francesco Esposito,it ITA,FW,Inter,it Serie A,20-127,2005,3.2,80,79,1,0,1,0,0,0,0,0,0,0,58,0,1,Matches
659,Sebastiano Esposito,it ITA,FWMF,Cagliari,it Serie A,23-123,2002,6.5,191,166,20,7,1,6,24,3,5,1,4,0,127,5,10,Matches
660,Romain Esse,eng ENG,FW,Crystal Palace,eng Premier League,20-173,2005,0.3,7,7,0,0,0,0,0,0,0,0,0,0,5,0,1,Matches
661,Samuel Essende,cd COD,FW,Augsburg,de Bundesliga,27-283,1998,1.8,34,30,4,1,0,0,0,1,0,0,0,0,25,0,0,Matches
662,Marco Esteban,es ESP,DF,Oviedo,es La Liga,19-305,2006,0.5,13,12,1,1,0,0,0,0,0,0,0,0,11,0,0,Matches
663,Maxime Estève,fr FRA,DF,Burnley,eng Premier League,23-160,2002,9.9,342,336,5,5,0,5,0,0,0,0,0,0,299,1,3,Matches
664,Nahuel Estévez,ar ARG,MF,Parma,it Serie A,29-353,1995,3.2,122,107,15,10,0,0,7,1,4,2,2,0,82,0,2,Matches
665,Pervis Estupiñán,ec ECU,DF,Milan,it Serie A,27-285,1998,4.1,211,171,40,4,1,1,4,36,0,0,0,0,175,0,2,Matches
666,Karl Etta Eyong,cm CMR,FW,Villarreal,es La Liga,22-019,2003,2.8,29,28,0,0,0,0,0,0,0,0,0,0,23,1,1,Matches
667,Karl Etta Eyong,cm CMR,FW,Levante,es La Liga,22-019,2003,6.0,89,81,7,0,0,0,1,0,0,0,0,0,60,1,2,Matches
668,Evanilson,br BRA,FW,Bournemouth,eng Premier League,26-027,1999,6.8,106,101,4,0,0,0,1,0,0,0,0,0,89,1,4,Matches
669,Edu Expósito,es ESP,MF,Espanyol,es La Liga,29-093,1996,7.2,348,290,56,19,3,1,67,3,31,13,13,2,257,2,6,Matches
670,Eberechi Eze,eng ENG,MFFW,Arsenal,eng Premier League,27-126,1998,5.9,205,194,11,2,4,1,4,1,1,1,0,0,174,0,2,Matches
671,Eberechi Eze,eng ENG,MF,Crystal Palace,eng Premier League,27-126,1998,0.9,25,19,6,3,0,1,4,0,2,2,0,0,16,0,0,Matches
672,Abde Ezzalzouli,ma MAR,FW,Betis,es La Liga,23-320,2001,4.6,179,173,5,1,1,1,12,4,0,0,0,0,137,1,9,Matches
673,Giovanni Fabbian,it ITA,MF,Bologna,it Serie A,22-292,2003,3.7,87,84,3,2,0,2,3,1,0,0,0,0,70,0,4,Matches
674,Alieu Fadera,gm GAM,FWMF,Sassuolo,it Serie A,23-364,2001,2.8,63,63,0,0,0,0,5,0,0,0,0,0,50,0,6,Matches
675,Nicolò Fagioli,it ITA,MF,Fiorentina,it Serie A,24-263,2001,4.4,249,226,21,15,0,1,11,0,4,4,0,0,214,2,2,Matches
676,Omar Falah,es ESP,DFMF,Oviedo,es La Liga,22-054,2003,0.2,9,7,2,0,0,1,0,2,0,0,0,0,8,0,1,Matches
677,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,30-204,1995,9.0,267,192,73,43,0,0,0,0,0,0,0,0,139,2,0,Matches
678,Ansu Fati,es ESP,MFFW,Monaco,fr Ligue 1,23-002,2002,3.7,121,117,4,0,0,0,1,2,0,0,0,0,96,0,5,Matches
679,Abdoulaye Faye,sn SEN,DF,Lorient,fr Ligue 1,21-041,2004,6.4,357,324,33,8,0,1,0,1,0,0,0,0,314,0,1,Matches
680,Jacopo Fazzini,it ITA,MFFW,Fiorentina,it Serie A,22-231,2003,4.0,118,113,3,1,1,0,4,0,2,2,0,0,89,2,3,Matches
681,Aleix Febas,es ESP,MF,Elche,es La Liga,29-273,1996,10.0,626,617,7,3,2,0,5,1,0,0,0,0,566,2,5,Matches
682,Mattia Felici,it ITA,DFFW,Cagliari,it Serie A,24-199,2001,2.5,67,54,12,2,1,0,13,4,6,1,4,0,38,1,3,Matches
683,Luiz Felipe,it ITA,DF,Rayo Vallecano,es La Liga,28-225,1997,2.4,119,106,13,1,0,1,0,0,0,0,0,0,110,0,0,Matches
684,Robin Fellhauer,de GER,MFDF,Augsburg,de Bundesliga,27-285,1998,7.5,273,235,37,1,0,0,16,35,0,0,0,0,215,1,11,Matches
685,Kiko Femenía,es ESP,DFFW,Getafe,es La Liga,34-273,1991,6.5,240,186,53,4,0,0,12,49,0,0,0,0,187,1,6,Matches
686,Evan Ferguson,ie IRL,FW,Roma,it Serie A,21-014,2004,3.4,73,70,3,0,0,0,1,0,0,0,0,0,56,0,4,Matches
687,Lewis Ferguson,sct SCO,MF,Bologna,it Serie A,26-070,1999,4.9,348,323,25,14,0,3,7,2,6,0,4,0,315,0,4,Matches
688,Bruno Fernandes,pt POR,MF,Manchester Utd,eng Premier League,31-055,1994,9.9,622,553,66,44,7,9,36,4,18,14,0,2,491,3,14,Matches
689,Mateus Fernandes,pt POR,MFFW,West Ham,eng Premier League,21-115,2004,5.2,209,194,15,6,2,1,8,1,5,1,4,0,183,0,1,Matches
690,Enzo Fernández,ar ARG,MF,Chelsea,eng Premier League,24-289,2001,8.9,526,492,33,17,2,3,18,2,11,7,0,0,429,1,7,Matches
691,Ezequiél Fernández,ar ARG,MF,Leverkusen,de Bundesliga,23-100,2002,3.3,264,263,1,1,1,1,0,0,0,0,0,0,236,0,1,Matches
692,Manu Fernández,es ESP,DF,Celta Vigo,es La Liga,24-193,2001,4.3,291,283,8,5,1,1,0,3,0,0,0,0,263,0,2,Matches
693,Pedro Fernandez,es ESP,MF,Barcelona,es La Liga,17-294,2008,0.5,25,23,2,0,0,0,0,0,0,0,0,0,23,0,1,Matches
694,Pelayo Fernandez,es ESP,DF,Rayo Vallecano,es La Liga,22-187,2003,0.5,35,33,2,1,0,0,0,0,0,0,0,0,30,0,0,Matches
695,Roberto Férnandez,es ESP,FW,Espanyol,es La Liga,23-122,2002,7.9,125,115,9,0,0,0,1,0,0,0,0,0,89,1,4,Matches
696,Toni Fernández,es ESP,FW,Barcelona,es La Liga,17-110,2008,0.5,9,9,0,0,0,0,0,0,0,0,0,0,7,0,1,Matches
697,Matias Fernandez-Pardo,be BEL,FW,Lille,fr Ligue 1,20-272,2005,8.3,276,269,7,0,2,0,28,1,6,2,2,0,215,0,17,Matches
698,Junior Firpo,do DOM,DF,Betis,es La Liga,29-072,1996,4.8,280,237,43,3,0,0,11,40,0,0,0,0,225,0,6,Matches
699,Jonathan Fischer,dk DEN,GK,Metz,fr Ligue 1,23-358,2001,9.2,384,335,49,17,0,0,0,0,0,0,0,0,327,0,0,Matches
700,Kilian Fischer,de GER,DF,Wolfsburg,de Bundesliga,25-021,2000,6.7,360,297,63,8,0,2,14,55,0,0,0,0,284,0,14,Matches
701,Mark Flekken,nl NED,GK,Leverkusen,de Bundesliga,32-142,1993,9.0,348,279,69,16,0,0,0,0,0,0,0,0,262,0,2,Matches
702,Zian Flemming,nl NED,FWMF,Burnley,eng Premier League,27-093,1998,3.1,59,55,4,0,1,0,0,2,0,0,0,0,34,0,3,Matches
703,Romano Floriani,it ITA,DFFW,Cremonese,it Serie A,22-279,2003,4.5,103,98,5,0,0,0,9,5,0,0,0,0,69,0,5,Matches
704,Phil Foden,eng ENG,MF,Manchester City,eng Premier League,25-158,2000,5.9,366,325,41,5,4,3,40,2,34,14,18,0,300,0,9,Matches
705,Malick Fofana,be BEL,FW,Lyon,fr Ligue 1,20-216,2005,8.0,233,228,5,1,2,1,24,4,0,0,0,0,175,0,17,Matches
706,Rayan Fofana,fr FRA,FW,Lens,fr Ligue 1,19-263,2006,4.3,73,63,9,0,0,0,1,1,0,0,0,0,51,1,2,Matches
707,Seko Fofana,ci CIV,MF,Rennes,fr Ligue 1,30-179,1995,7.0,353,349,3,3,1,2,7,0,0,0,0,0,314,1,2,Matches
708,Wesley Fofana,fr FRA,DF,Chelsea,eng Premier League,24-320,2000,2.4,147,139,7,0,0,0,0,7,0,0,0,0,130,1,0,Matches
709,Youssouf Fofana,fr FRA,MF,Milan,it Serie A,26-296,1999,8.0,297,293,3,0,5,2,2,2,0,0,0,0,251,1,2,Matches
710,Jonas Föhrenbach,de GER,DF,Heidenheim,de Bundesliga,29-280,1996,8.6,333,258,74,6,0,0,42,51,16,5,4,0,248,1,11,Matches
711,Francesco Folino,it ITA,DF,Cremonese,it Serie A,23-283,2002,0.2,8,5,3,0,0,0,0,3,0,0,0,0,6,0,0,Matches
712,Michael Folorunsho,it ITA,MFFW,Cagliari,it Serie A,27-268,1998,8.1,208,199,7,1,0,0,9,6,0,0,0,0,136,2,10,Matches
713,Álex Forés,es ESP,FW,Oviedo,es La Liga,24-204,2001,1.2,25,20,5,0,0,0,1,1,0,0,0,0,17,0,1,Matches
714,Pablo Fornals,es ESP,MF,Betis,es La Liga,29-253,1996,9.3,577,533,41,17,5,11,36,5,18,8,7,0,478,3,13,Matches
715,Héctor Fort,es ESP,DF,Elche,es La Liga,19-092,2006,1.0,39,36,3,0,0,0,0,3,0,0,0,0,31,0,2,Matches
716,Niccolò Fortini,it ITA,DFMF,Fiorentina,it Serie A,19-262,2006,1.4,51,47,4,0,0,0,7,4,0,0,0,0,38,0,1,Matches
717,Lyle Foster,za RSA,FW,Burnley,eng Premier League,25-060,2000,6.4,107,105,1,0,0,2,3,0,0,0,0,0,66,1,10,Matches
718,Dimitri Foulquier,fr FRA,DF,Valencia,es La Liga,32-224,1993,7.0,362,292,69,8,0,2,7,61,0,0,0,0,309,1,7,Matches
719,Juan Foyth,ar ARG,DF,Villarreal,es La Liga,27-294,1998,6.0,333,313,20,8,1,1,0,0,0,0,0,0,308,0,1,Matches
720,Alejandro Francés,es ESP,DF,Girona,es La Liga,23-093,2002,2.9,159,148,9,9,1,4,2,0,0,0,0,0,119,2,2,Matches
721,Przemysław Frankowski,pl POL,DF,Rennes,fr Ligue 1,30-204,1995,4.8,260,213,46,10,0,1,34,26,10,9,0,0,191,1,12,Matches
722,Davide Frattesi,it ITA,MFFW,Inter,it Serie A,26-011,1999,2.1,39,39,0,0,0,0,0,0,0,0,0,0,28,0,1,Matches
723,Oscar Fraulo,dk DEN,MFDF,Gladbach,de Bundesliga,21-331,2003,0.5,16,16,0,0,0,1,0,0,0,0,0,0,16,0,0,Matches
724,Morten Frendrup,dk DEN,MF,Genoa,it Serie A,24-209,2001,7.7,248,234,13,7,1,0,3,6,0,0,0,0,192,1,7,Matches
725,Martin Frese,dk DEN,DF,Hellas Verona,it Serie A,27-302,1998,7.2,319,240,79,6,0,0,30,56,17,4,13,0,208,0,6,Matches
726,Remo Freuler,ch SUI,MF,Bologna,it Serie A,33-201,1992,7.0,384,358,25,20,0,3,4,4,0,0,0,0,320,1,4,Matches
727,Marco Friedl,at AUT,DF,Werder Bremen,de Bundesliga,27-231,1998,7.9,461,405,56,16,1,8,2,34,0,0,0,0,399,0,4,Matches
728,Marvin Friedrich,de GER,DF,Gladbach,de Bundesliga,29-324,1995,1.0,80,77,3,0,0,0,0,0,0,0,0,0,69,0,0,Matches
729,Jeremie Frimpong,nl NED,DFMF,Liverpool,eng Premier League,24-327,2000,1.0,47,43,4,0,0,0,6,4,0,0,0,0,35,0,0,Matches
730,Jorge de Frutos,es ESP,FWMF,Rayo Vallecano,es La Liga,28-255,1997,8.6,165,156,8,0,1,1,15,1,1,0,0,0,113,1,10,Matches
731,Chris Führich,de GER,FWMF,Stuttgart,de Bundesliga,27-297,1998,3.3,169,163,5,1,0,2,8,2,2,0,0,0,128,1,5,Matches
732,Joel Fujita,jp JPN,MF,St. Pauli,de Bundesliga,23-259,2002,8.8,461,456,4,1,5,1,7,3,0,0,0,0,368,1,3,Matches
733,Niclas Füllkrug,de GER,FW,West Ham,eng Premier League,32-266,1993,4.2,87,86,1,0,0,1,0,1,0,0,0,0,53,0,4,Matches
734,Matteo Gabbia,it ITA,DF,Milan,it Serie A,26-012,1999,9.0,451,434,17,14,0,2,1,2,0,0,0,0,419,0,2,Matches
735,Tiago Gabriel,pt POR,DF,Lecce,it Serie A,20-311,2004,8.1,367,322,44,11,0,3,1,1,0,0,0,0,332,1,2,Matches
736,Gianluca Gaetano,it ITA,MFFW,Cagliari,it Serie A,25-181,2000,3.0,149,129,20,9,0,2,10,2,4,1,2,0,107,0,0,Matches
737,Roberto Gagliardini,it ITA,MF,Hellas Verona,it Serie A,31-209,1994,4.4,211,205,5,5,0,3,2,0,0,0,0,0,156,1,1,Matches
738,Cody Gakpo,nl NED,FWMF,Liverpool,eng Premier League,26-179,1999,8.8,285,268,15,0,4,0,39,2,13,12,0,0,205,2,8,Matches
739,Javi Galán,es ESP,DF,Atlético Madrid,es La Liga,30-348,1994,1.5,70,60,9,0,0,0,5,9,0,0,0,0,56,1,3,Matches
740,Iñigo Ruiz de Galarreta,es ESP,MF,Athletic Club,es La Liga,32-088,1993,7.2,338,329,8,7,5,5,9,0,0,0,0,0,275,1,4,Matches
741,Conor Gallagher,eng ENG,MF,Atlético Madrid,es La Liga,25-269,2000,3.8,196,190,5,3,1,0,7,1,1,0,0,0,173,1,1,Matches
742,Antonino Gallo,it ITA,DF,Lecce,it Serie A,25-301,2000,8.3,401,309,91,11,0,1,32,75,5,1,2,0,268,1,6,Matches
743,Idrissa Gana Gueye,sn SEN,MF,Everton,eng Premier League,36-037,1989,8.5,390,383,5,1,2,3,7,1,0,0,0,0,336,2,4,Matches
744,Ismaëlo Ganiou,bf BFA,DF,Lens,fr Ligue 1,20-233,2005,0.8,45,43,2,2,0,0,1,0,0,0,0,0,38,0,0,Matches
745,Ben Gannon-Doak,sct SCO,FW,Bournemouth,eng Premier League,19-356,2005,0.5,14,14,0,0,0,0,1,0,0,0,0,0,12,0,0,Matches
746,Facundo Garcés,my MAS,DF,Alavés,es La Liga,26-058,1999,6.0,214,200,13,12,0,1,0,1,0,0,0,0,178,1,0,Matches
747,Aleix García,es ESP,MF,Leverkusen,de Bundesliga,28-127,1997,8.0,813,775,37,20,3,16,27,3,14,9,3,0,733,1,12,Matches
748,Álvaro García,es ESP,MFFW,Rayo Vallecano,es La Liga,33-006,1992,7.8,241,229,9,0,2,1,37,5,2,0,0,0,138,3,19,Matches
749,Eric García,es ESP,DF,Barcelona,es La Liga,24-297,2001,8.4,709,674,32,8,2,1,6,24,0,0,0,0,643,3,7,Matches
750,Fran Garcia,es ESP,DFMF,Real Madrid,es La Liga,26-080,1999,1.3,78,67,10,2,0,0,5,8,0,0,0,0,63,1,1,Matches
751,Gonzalo García,es ESP,FWMF,Real Madrid,es La Liga,21-223,2004,1.1,38,37,1,0,0,0,0,0,0,0,0,0,34,0,1,Matches
752,Joan García,es ESP,GK,Barcelona,es La Liga,24-182,2001,6.0,181,162,19,5,0,0,0,0,0,0,0,0,169,0,0,Matches
753,Pablo Garcia,es ESP,FW,Betis,es La Liga,19-142,2006,2.0,54,54,0,0,0,1,1,0,0,0,0,0,43,0,2,Matches
754,Rubén García,es ESP,FWMF,Osasuna,es La Liga,32-111,1993,4.1,185,167,17,9,1,4,14,1,7,2,4,0,150,1,3,Matches
755,Ulisses Garcia,ch SUI,DF,Marseille,fr Ligue 1,29-295,1996,2.3,100,82,18,3,0,0,1,15,0,0,0,0,90,0,0,Matches
756,Víctor García,es ESP,MFDF,Levante,es La Liga,28-047,1997,1.8,60,46,12,0,0,0,5,12,0,0,0,0,34,2,2,Matches
757,Alejandro Garnacho,ar ARG,FW,Chelsea,eng Premier League,21-124,2004,2.8,85,85,0,0,0,0,9,0,0,0,0,0,65,0,2,Matches
758,James Garner,eng ENG,MFDF,Everton,eng Premier League,24-234,2001,9.0,483,399,83,22,2,3,38,31,20,15,1,1,395,1,10,Matches
759,Federico Gatti,it ITA,DF,Juventus,it Serie A,27-131,1998,8.1,449,438,10,5,0,3,1,2,0,0,0,0,404,1,3,Matches
760,Gavi,es ESP,MFDF,Barcelona,es La Liga,21-089,2004,0.7,68,67,1,1,0,0,1,0,0,0,0,0,63,0,1,Matches
761,Jusuf Gazibegović,ba BIH,DF,Köln,de Bundesliga,25-236,2000,0.3,10,7,3,0,0,0,1,3,0,0,0,0,8,0,0,Matches
762,Paulo Gazzaniga,ar ARG,GK,Girona,es La Liga,33-304,1992,9.5,335,268,65,17,0,1,0,0,0,0,0,0,229,2,0,Matches
763,Jean-Philippe Gbamin,ci CIV,DF,Metz,fr Ligue 1,30-038,1995,9.2,645,597,47,21,1,14,0,2,0,0,0,0,572,1,6,Matches
764,Yann Gboho,fr FRA,FWMF,Toulouse,fr Ligue 1,24-292,2001,9.1,220,217,2,1,3,1,12,0,0,0,0,0,161,1,13,Matches
765,David de Gea,es ESP,GK,Fiorentina,it Serie A,34-360,1990,9.0,281,229,51,21,0,0,0,0,0,0,0,0,194,1,0,Matches
766,Lutsharel Geertruida,nl NED,DFMF,Sunderland,eng Premier League,25-107,2000,1.9,61,57,4,0,1,0,0,3,0,0,0,0,48,0,2,Matches
767,Tyrique George,eng ENG,FW,Chelsea,eng Premier League,19-271,2006,1.6,24,21,3,0,0,0,1,0,0,0,0,0,21,0,0,Matches
768,Yannick Gerhardt,de GER,DF,Wolfsburg,de Bundesliga,31-234,1994,0.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,Matches
769,Willem Geubbels,fr FRA,FW,Paris FC,fr Ligue 1,24-078,2001,5.2,104,86,17,0,1,0,4,0,0,0,0,0,71,1,3,Matches
770,Ismaël Gharbi,tn TUN,MF,Augsburg,de Bundesliga,21-206,2004,0.5,28,25,3,0,0,0,3,2,1,1,0,0,22,0,1,Matches
771,Mourad El Ghezouani,ma MAR,FW,Elche,es La Liga,27-159,1998,0.6,15,15,0,0,0,0,0,0,0,0,0,0,11,0,1,Matches
772,Rachid Ghezzal,dz ALG,FWMF,Lyon,fr Ligue 1,33-177,1992,0.7,43,39,4,1,0,0,7,0,3,2,0,0,31,0,1,Matches
773,Daniele Ghilardi,it ITA,DF,Roma,it Serie A,22-300,2003,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
774,Andrea Ghion,it ITA,FWMF,Sassuolo,it Serie A,25-252,2000,0.1,2,1,1,0,0,0,1,0,1,1,0,0,1,0,0,Matches
775,Dimitris Giannoulis,gr GRE,DFMF,Augsburg,de Bundesliga,30-016,1995,5.0,246,200,46,0,0,1,16,46,0,0,0,0,172,0,13,Matches
776,Morgan Gibbs-White,eng ENG,MFFW,Nott'ham Forest,eng Premier League,25-279,2000,9.1,431,416,13,5,4,1,11,1,0,0,0,0,337,2,12,Matches
777,Bryan Gil,es ESP,FWMF,Girona,es La Liga,24-264,2001,3.4,107,99,7,2,0,1,7,1,4,3,0,0,80,1,2,Matches
778,Mario Gila,es ESP,DF,Lazio,it Serie A,25-065,2000,8.6,507,488,18,17,0,2,1,0,0,0,0,0,455,1,4,Matches
779,Billy Gilmour,sct SCO,MF,Napoli,it Serie A,24-144,2001,4.6,354,342,12,10,3,4,2,0,0,0,0,0,314,0,2,Matches
780,Benedikt Gimber,de GER,DFMF,Heidenheim,de Bundesliga,28-256,1997,3.8,158,145,13,7,0,2,0,3,0,0,0,0,129,0,1,Matches
781,Santiago Giménez,mx MEX,FW,Milan,it Serie A,24-198,2001,6.9,90,82,8,0,0,0,1,1,0,0,0,0,71,0,2,Matches
782,Gvidas Gineitis,lt LTU,MFFW,Torino,it Serie A,21-201,2004,2.3,65,62,3,2,1,0,7,0,1,1,0,0,42,0,4,Matches
783,Matthias Ginter,de GER,DF,Freiburg,de Bundesliga,31-287,1994,9.0,477,456,20,17,1,3,5,3,0,0,0,0,405,1,0,Matches
784,Giovane,br BRA,FW,Hellas Verona,it Serie A,21-343,2003,8.0,193,178,14,4,5,1,12,1,3,2,1,0,120,1,8,Matches
785,Olivier Giroud,fr FRA,FW,Lille,fr Ligue 1,39-033,1986,6.6,136,127,9,1,2,1,0,1,0,0,0,0,95,0,9,Matches
786,Jamie Gittens,eng ENG,FW,Chelsea,eng Premier League,21-086,2004,2.7,71,70,0,0,0,0,5,0,0,0,0,0,61,1,4,Matches
787,Robert Glatzel,de GER,FW,Hamburger SV,de Bundesliga,31-298,1994,0.7,17,17,0,0,0,0,0,0,0,0,0,0,13,0,0,Matches
788,Serge Gnabry,de GER,MFFW,Bayern Munich,de Bundesliga,30-111,1995,5.0,265,256,8,0,3,1,9,4,3,2,0,0,227,1,5,Matches
789,Wilfried Gnonto,it ITA,FW,Leeds United,eng Premier League,21-362,2003,2.1,71,71,0,0,0,0,4,0,0,0,0,0,55,0,2,Matches
790,Giorgi Gocholeishvili,ge GEO,MF,Hamburger SV,de Bundesliga,24-261,2001,4.6,156,118,36,0,0,4,11,36,0,0,0,0,122,2,4,Matches
791,Martial Godo,eng ENG,MFFW,Strasbourg,fr Ligue 1,22-233,2003,2.8,86,85,1,0,0,0,4,1,0,0,0,0,75,0,2,Matches
792,Maxima Goffi,fr FRA,DF,Lille,fr Ligue 1,17-283,2008,0.4,28,22,6,1,0,0,1,5,0,0,0,0,22,0,1,Matches
793,Saba Goglichidze,ge GEO,DF,Udinese,it Serie A,21-130,2004,4.7,188,173,14,12,0,2,2,2,0,0,0,0,152,1,2,Matches
794,Edoardo Goldaniga,it ITA,DF,Como,it Serie A,32-000,1993,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Matches
