,,,,,,,,,SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
80,Mohamed Amine Sbai,fr FRA,FW,Angers,fr Ligue 1,24-362,2000,1.8,10,5.45,4,1,3,2,0,0,3,1.64,1,0,1,1,0,0,Matches
81,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,29-264,1996,7.7,19,2.46,14,0,4,0,1,0,5,0.65,2,0,2,0,1,0,Matches
82,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,29-006,1996,8.5,42,4.95,24,10,3,4,1,0,2,0.24,2,0,0,0,0,0,Matches
83,Samuel Amo-Ameyaw,eng ENG,DFFW,Strasbourg,fr Ligue 1,19-107,2006,2.8,14,5.00,10,1,1,0,2,0,2,0.71,2,0,0,0,0,0,Matches
84,Mathis Amougou,fr FRA,MF,Strasbourg,fr Ligue 1,19-288,2006,1.8,2,1.11,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
85,Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,25-177,2000,5.1,20,3.96,16,0,1,1,2,0,2,0.40,1,0,0,0,1,0,Matches
86,Ethan Ampadu,wls WAL,MF,Leeds United,eng Premier League,25-049,2000,7.7,12,1.55,9,1,1,0,0,1,1,0.13,1,0,0,0,0,0,Matches
87,Sofyan Amrabat,ma MAR,MF,Betis,es La Liga,29-073,1996,4.2,13,3.10,11,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
88,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,29-155,1996,8.5,11,1.30,8,1,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
89,Elliot Anderson,eng ENG,MF,Nott'ham Forest,eng Premier League,22-361,2002,10.0,46,4.60,33,7,2,2,1,1,4,0.40,4,0,0,0,0,0,Matches
90,André,br BRA,MF,Wolves,eng Premier League,24-109,2001,6.8,8,1.17,4,1,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches
91,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,35-091,1990,7.9,22,2.79,19,0,0,2,1,0,2,0.25,2,0,0,0,0,0,Matches
92,Robert Andrich,de GER,MFDF,Leverkusen,de Bundesliga,31-041,1994,5.7,8,1.41,7,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
93,Miguel Ángel Rubio,es ESP,DF,Espanyol,es La Liga,27-236,1998,1.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
94,Angeliño,es ESP,DFMF,Roma,it Serie A,28-302,1997,4.3,5,1.16,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
95,Samuele Angori,it ITA,DF,Pisa,it Serie A,22-026,2003,4.8,8,1.67,5,3,0,0,0,0,1,0.21,1,0,0,0,0,0,Matches
96,Faustino Anjorin,eng ENG,MFFW,Torino,it Serie A,23-344,2001,0.3,1,3.10,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
97,Ilyas Ansah,de GER,MFFW,Union Berlin,de Bundesliga,20-359,2004,6.6,14,2.11,9,0,0,2,3,0,4,0.60,3,0,0,1,0,0,Matches
98,Aaron Anselmino,ar ARG,DF,Dortmund,de Bundesliga,20-187,2005,1.8,1,0.55,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
99,Jaidon Anthony,eng ENG,MFFW,Burnley,eng Premier League,25-336,1999,9.0,18,2.01,13,1,3,0,1,0,3,0.33,2,0,1,0,0,0,Matches
100,Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,29-105,1996,9.0,3,0.33,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
101,Antoniu,es ESP,FW,Espanyol,es La Liga,23-058,2002,0.4,4,9.47,4,0,0,0,0,0,1,2.37,1,0,0,0,0,0,Matches
102,Antony,br BRA,FW,Betis,es La Liga,25-251,2000,5.6,32,5.69,24,3,1,2,2,0,0,0.00,0,0,0,0,0,0,Matches
103,Youssef El-Arabi,ma MAR,FW,Nantes,fr Ligue 1,38-272,1987,2.2,8,3.69,4,0,0,1,2,1,2,0.92,1,0,0,1,0,0,Matches
104,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,30-033,1995,10.8,16,1.49,12,0,0,4,0,0,1,0.09,0,0,0,1,0,0,Matches
105,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,23-102,2002,9.0,12,1.33,10,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
106,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,26-240,1999,4.7,4,0.85,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
107,Carlens Arcus,ht HAI,DF,Angers,fr Ligue 1,29-127,1996,9.7,9,0.92,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
108,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,32-248,1993,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
109,Jesús Areso,es ESP,DF,Athletic Club,es La Liga,26-123,1999,8.2,14,1.70,13,1,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
110,Jhon Arias,co COL,FW,Wolves,eng Premier League,28-042,1997,6.1,17,2.80,9,4,2,0,0,2,0,0.00,0,0,0,0,0,0,Matches
111,Harrison Armstrong,eng ENG,FW,Everton,eng Premier League,18-287,2007,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
112,Hákon Arnar Haraldsson,is ISL,MFFW,Lille,fr Ligue 1,22-206,2003,8.2,34,4.14,25,9,0,0,0,0,5,0.61,3,2,0,0,0,0,Matches
113,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,31-159,1994,7.0,22,3.14,10,12,0,0,0,0,3,0.43,2,1,0,0,0,0,Matches
114,Tolu Arokodare,ng NGA,FW,Wolves,eng Premier League,24-344,2000,2.3,4,1.71,3,0,0,1,0,0,1,0.43,1,0,0,0,0,0,Matches
115,Kervin Arriaga,hn HON,MF,Levante,es La Liga,27-301,1998,4.2,6,1.41,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
116,Arthur,br BRA,DF,Leverkusen,de Bundesliga,22-230,2003,4.0,5,1.25,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
117,Takuma Asano,jp JPN,FW,Mallorca,es La Liga,30-357,1994,2.8,4,1.43,3,0,0,0,1,0,1,0.36,1,0,0,0,0,0,Matches
118,Raúl Asencio,es ESP,DF,Real Madrid,es La Liga,22-262,2003,3.5,4,1.14,4,0,0,0,0,0,1,0.28,1,0,0,0,0,0,Matches
119,Fisnik Asllani,xk KVX,FWMF,Hoffenheim,de Bundesliga,23-086,2002,6.7,14,2.10,10,0,3,1,0,0,1,0.15,1,0,0,0,0,0,Matches
120,Kristjan Asllani,al ALB,MF,Torino,it Serie A,23-238,2002,6.3,14,2.24,7,5,0,1,0,1,1,0.16,0,1,0,0,0,0,Matches
121,Joel Asoro,se SWE,FW,Metz,fr Ligue 1,26-189,1999,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
122,Iago Aspas,es ESP,FWMF,Celta Vigo,es La Liga,38-093,1987,4.1,26,6.41,23,2,0,0,0,1,1,0.25,1,0,0,0,0,0,Matches
123,Yaser Asprilla,co COL,FWMF,Girona,es La Liga,21-348,2003,4.7,14,2.96,9,3,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
124,Lorenz Assignon,tg TOG,DF,Stuttgart,de Bundesliga,25-133,2000,3.5,11,3.11,8,2,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
125,Dehmaine Assoumani,fr FRA,MF,Nantes,fr Ligue 1,20-199,2005,4.4,11,2.51,9,1,1,0,0,0,2,0.46,2,0,0,0,0,0,Matches
126,Otavio Ataide,br BRA,DF,Paris FC,fr Ligue 1,23-195,2002,8.4,4,0.47,2,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
127,Zachary Athekame,ch SUI,DFFW,Milan,it Serie A,20-324,2004,1.2,2,1.73,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
128,Arthur Atta,fr FRA,MF,Udinese,it Serie A,22-292,2003,9.5,35,3.68,17,5,6,4,3,0,6,0.63,3,0,1,2,0,0,Matches
129,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,23-161,2002,9.0,3,0.33,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
130,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,fr Ligue 1,36-137,1989,6.0,12,1.99,9,0,0,1,1,1,5,0.83,3,0,0,1,1,0,Matches
131,Emil Audero,id IDN,GK,Cremonese,it Serie A,28-288,1997,6.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
132,Carlos Augusto,br BRA,DF,Inter,it Serie A,26-299,1999,3.2,12,3.80,7,1,2,2,0,0,1,0.32,1,0,0,0,0,0,Matches
133,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,24-338,2000,2.0,2,1.00,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
134,Leon Avdullahu,xk KVX,MF,Hoffenheim,de Bundesliga,21-252,2004,7.4,14,1.89,11,2,0,0,1,0,2,0.27,1,1,0,0,0,0,Matches
135,Ezequiel Ávila,ar ARG,FWMF,Betis,es La Liga,31-269,1994,0.5,2,4.19,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
136,Arthur Avom,cm CMR,MF,Lorient,fr Ligue 1,20-322,2004,8.4,33,3.94,24,2,0,2,5,0,1,0.12,0,0,0,1,0,0,Matches
137,Chidozie Awaziem,ng NGA,DF,Nantes,fr Ligue 1,28-305,1997,9.8,7,0.71,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
138,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,28-082,1997,1.1,1,0.87,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
139,Yasin Ayari,se SWE,MF,Brighton,eng Premier League,22-027,2003,8.7,21,2.42,13,4,1,2,1,0,1,0.12,1,0,0,0,0,0,Matches
140,Neil El Aynaoui,ma MAR,MF,Roma,it Serie A,24-123,2001,2.6,5,1.95,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
141,César Azpilicueta,es ESP,DF,Sevilla,es La Liga,36-066,1989,5.5,7,1.27,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
142,Oussama El Azzouzi,ma MAR,MFDF,Auxerre,fr Ligue 1,24-157,2001,2.2,3,1.36,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
143,Mio Backhaus,de GER,GK,Werder Bremen,de Bundesliga,21-200,2004,7.0,1,0.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
144,Loïc Bade,fr FRA,DF,Leverkusen,de Bundesliga,25-205,2000,6.9,6,0.87,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
145,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,24-221,2001,0.7,2,2.73,2,0,0,0,0,0,1,1.36,1,0,0,0,0,0,Matches
146,Alex Baena,es ESP,MF,Atlético Madrid,es La Liga,24-105,2001,3.1,16,5.20,12,4,0,0,0,0,2,0.65,2,0,0,0,0,0,Matches
147,Samson Baidoo,at AUT,DF,Lens,fr Ligue 1,21-216,2004,8.5,10,1.18,5,0,1,4,0,0,1,0.12,0,0,0,1,0,0,Matches
148,Leon Bailey,jm JAM,MFFW,Roma,it Serie A,28-085,1997,1.2,3,2.55,1,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
149,Eric Bailly,ci CIV,DF,Oviedo,es La Liga,31-204,1994,3.0,2,0.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
150,Theo Bair,ca CAN,MFFW,Auxerre,fr Ligue 1,26-067,1999,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
151,Cédric Bakambu,cd COD,FW,Betis,es La Liga,34-205,1991,0.8,1,1.27,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
152,Johan Bakayoko,be BEL,FW,RB Leipzig,de Bundesliga,22-196,2003,5.9,17,2.86,11,0,2,2,2,0,2,0.34,0,0,1,0,1,0,Matches
153,Darryl Bakola,fr FRA,MF,Marseille,fr Ligue 1,17-337,2007,0.3,1,3.91,1,0,0,0,0,0,1,3.91,1,0,0,0,0,0,Matches
154,Ridle Baku,de GER,DF,RB Leipzig,de Bundesliga,27-208,1998,8.9,23,2.60,21,0,0,2,0,0,2,0.23,2,0,0,0,0,0,Matches
155,Dilane Bakwa,fr FRA,FWMF,Nott'ham Forest,eng Premier League,23-068,2002,1.9,7,3.62,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
156,Dilane Bakwa,fr FRA,DFMF,Strasbourg,fr Ligue 1,23-068,2002,1.2,8,6.73,3,1,2,0,2,0,5,4.21,2,0,2,0,1,0,Matches
157,Tommaso Baldanzi,it ITA,MFFW,Roma,it Serie A,22-224,2003,1.5,7,4.57,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
158,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,22-015,2003,4.8,18,3.79,15,0,1,0,2,0,1,0.21,1,0,0,0,0,0,Matches
