,,,,,,,,,Touches,,,,,,,Take-Ons,,,,,Carries,,,,,,,,Receiving,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
31,Julen Agirrezabala,es ESP,GK,Valencia,es La Liga,24-311,2000,11.0,399,338,397,2,0,0,399,0,0,,0,,211,1094,632,0,0,0,0,0,160,0,Matches
32,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,23-266,2002,8.3,448,22,96,262,91,8,448,5,3,60.0,2,40.0,241,1104,584,13,9,0,5,2,289,12,Matches
33,Felix Agu,ng NGA,DF,Werder Bremen,de Bundesliga,26-036,1999,5.4,318,24,114,135,72,6,318,6,2,33.3,2,33.3,161,799,333,9,6,1,8,3,168,28,Matches
34,Marc Aguado,es ESP,MF,Elche,es La Liga,25-253,2000,6.0,403,30,112,259,32,2,403,0,0,,0,,204,729,323,2,2,0,1,2,296,5,Matches
35,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,29-217,1996,2.0,143,14,62,72,9,2,143,1,1,100.0,0,0.0,71,405,222,2,2,0,1,0,93,0,Matches
36,Nayef Aguerd,ma MAR,DF,Marseille,fr Ligue 1,29-217,1996,7.0,742,55,246,475,24,3,742,0,0,,0,,555,2494,1312,7,6,0,5,1,578,1,Matches
37,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,32-190,1993,8.1,500,26,129,188,187,22,500,6,3,50.0,2,33.3,223,1008,584,20,10,3,9,1,304,65,Matches
38,Honest Ahanor,it ITA,DF,Atalanta,it Serie A,17-252,2008,4.2,256,26,121,115,21,7,256,4,1,25.0,2,50.0,131,507,273,4,1,0,3,2,168,4,Matches
39,Lucas Ahijado,es ESP,DF,Oviedo,es La Liga,30-276,1995,4.1,246,15,94,110,45,3,246,12,5,41.7,7,58.3,110,683,302,4,4,0,6,1,117,4,Matches
40,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,30-034,1995,1.0,54,21,50,5,0,0,54,1,1,100.0,0,0.0,23,57,11,0,0,0,1,0,25,0,Matches
41,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,29-025,1996,3.0,203,13,70,75,62,3,203,11,3,27.3,8,72.7,82,362,212,5,4,1,0,5,108,8,Matches
42,Abdelhamid Ait Boudlal,ma MAR,DFMF,Rennes,fr Ligue 1,19-200,2006,2.2,111,11,64,37,11,2,111,1,1,100.0,0,0.0,45,207,128,1,2,1,3,0,68,1,Matches
43,Rayan Aït-Nouri,dz ALG,DF,Manchester City,eng Premier League,24-149,2001,2.2,164,10,60,65,39,2,164,6,1,16.7,5,83.3,75,385,160,6,2,0,4,2,95,8,Matches
44,Tosin Aiyegun,bj BEN,MFFW,Lorient,fr Ligue 1,27-129,1998,5.6,147,2,16,69,64,21,146,15,6,40.0,8,53.3,102,664,307,9,8,2,3,8,118,26,Matches
45,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,21-022,2004,0.0,3,0,0,0,3,1,3,0,0,,0,,1,1,0,0,0,0,1,1,3,0,Matches
46,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,27-199,1998,4.3,207,9,59,108,42,16,207,3,1,33.3,2,66.7,88,503,306,6,4,0,4,2,122,6,Matches
47,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,31-250,1994,9.9,353,15,38,182,141,43,353,10,8,80.0,2,20.0,173,608,223,6,3,1,26,9,264,37,Matches
