,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
2387,Davie Selke,de GER,FW,Werder Bremen,de Bundesliga,25,1995,9.0,131,223,58.7,1849,424,79,122,64.8,40,70,57.1,6,12,50.0,1,0.7,+0.3,7,6,4,0,13,Matches
2388,Malik Sellouki,fr FRA,FWMF,Nice,fr Ligue 1,20,2000,0.7,20,30,66.7,289,78,12,12,100.0,7,11,63.6,1,5,20.0,0,0.0,0.0,0,3,0,0,3,Matches
2389,Matz Sels,be BEL,GK,Strasbourg,fr Ligue 1,28,1992,6.0,110,175,62.9,4152,3081,18,18,100.0,34,34,100.0,57,122,46.7,0,0.0,0.0,0,2,1,0,0,Matches
2390,Nélson Semedo,pt POR,DF,Wolves,eng Premier League,26,1993,33.1,1541,1892,81.4,24883,7784,866,947,91.4,518,621,83.4,129,223,57.8,1,1.1,-0.1,20,93,24,14,100,Matches
2391,Léo Sena,br BRA,MF,Spezia,it Serie A,24,1995,9.8,532,602,88.4,12672,3163,124,139,89.2,248,272,91.2,149,171,87.1,0,0.1,-0.1,2,112,5,1,63,Matches
2392,Stefano Sensi,it ITA,MF,Inter,it Serie A,24,1995,6.7,351,426,82.4,6422,1748,164,182,90.1,140,166,84.3,43,68,63.2,0,1.0,-1.0,12,37,12,2,45,Matches
2393,Jaime Seoane,es ESP,MF,Huesca,es La Liga,23,1997,22.9,677,881,76.8,13558,2637,271,325,83.4,247,292,84.6,132,205,64.4,1,1.2,-0.2,12,55,11,3,45,Matches
2394,Luigi Sepe,it ITA,GK,Parma,it Serie A,29,1991,36.0,1133,1445,78.4,36748,24424,176,178,98.9,450,458,98.3,501,803,62.4,0,0.0,0.0,0,28,0,0,1,Matches
2395,Suat Serdar,de GER,MF,Schalke 04,de Bundesliga,23,1997,21.7,468,612,76.5,9619,2215,164,213,77.0,199,240,82.9,94,121,77.7,3,1.5,+1.5,15,48,10,0,58,Matches
2396,Jean Seri,ci CIV,MF,Bordeaux,fr Ligue 1,29,1991,7.9,456,518,88.0,9396,1830,157,170,92.4,210,228,92.1,82,107,76.6,0,0.5,-0.5,5,33,4,2,28,Matches
2397,Femi Seriki,eng ENG,DF,Sheffield Utd,eng Premier League,,,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
2398,Ryan Sessegnon,eng ENG,DF,Hoffenheim,de Bundesliga,20,2000,17.5,727,934,77.8,12886,4628,327,359,91.1,323,411,78.6,66,116,56.9,3,1.8,+1.2,16,51,25,12,72,Matches
2399,Nils Seufert,de GER,MFFW,Arminia,de Bundesliga,23,1997,3.8,125,154,81.2,1870,444,70,78,89.7,46,51,90.2,6,16,37.5,1,0.3,+0.7,4,12,1,0,10,Matches
2400,Edgar Sevikyan,ru RUS,MF,Levante,es La Liga,18,2001,0.1,3,5,60.0,35,3,2,3,66.7,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
2401,Stephan El Shaarawy,it ITA,FWMF,Roma,it Serie A,27,1992,6.4,186,240,77.5,3320,614,80,101,79.2,84,96,87.5,18,24,75.0,1,1.5,-0.5,16,10,6,2,9,Matches
2402,Jamie Shackleton,eng ENG,MFDF,Leeds United,eng Premier League,20,1999,5.1,182,206,88.3,2900,627,89,98,90.8,73,81,90.1,13,15,86.7,0,0.3,-0.3,2,7,2,1,7,Matches
2403,Xherdan Shaqiri,ch SUI,MFFW,Liverpool,eng Premier League,28,1991,6.2,356,426,83.6,6282,1550,165,183,90.2,132,153,86.3,46,64,71.9,2,3.0,-1.0,19,25,26,5,39,Matches
2404,Billy Sharp,eng ENG,FW,Sheffield Utd,eng Premier League,34,1986,8.2,86,123,69.9,1158,168,46,59,78.0,31,44,70.5,0,2,0.0,0,0.6,-0.6,4,2,3,0,6,Matches
2405,Luke Shaw,eng ENG,DF,Manchester Utd,eng Premier League,25,1995,29.5,1645,2015,81.6,25958,11037,923,1005,91.8,568,667,85.2,119,253,47.0,5,5.2,-0.2,71,87,46,16,154,Matches
2406,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,eng Premier League,28,1992,29.1,1047,1418,73.8,25957,7702,316,366,86.3,433,522,83.0,291,504,57.7,3,2.7,+0.3,38,132,23,5,110,Matches
2407,Eldor Shomurodov,uz UZB,FW,Genoa,it Serie A,25,1995,18.6,342,483,70.8,4738,866,214,270,79.3,93,133,69.9,14,27,51.9,1,2.0,-1.0,20,13,10,3,25,Matches
2408,Shola Shoretire,eng ENG,FW,Manchester Utd,eng Premier League,16,2004,0.1,6,8,75.0,84,12,4,5,80.0,2,2,100.0,0,0,,0,0.0,0.0,0,1,0,0,0,Matches
2409,Mahame Siby,fr FRA,MFFW,Strasbourg,fr Ligue 1,24,1996,0.2,9,12,75.0,112,33,7,7,100.0,2,2,100.0,0,2,0.0,0,0.0,0.0,0,0,0,0,0,Matches
2410,Abdoulaye Sidibé,fr FRA,MF,Saint-Étienne,fr Ligue 1,18,2002,0.1,1,2,50.0,12,12,1,1,100.0,0,0,,0,1,0.0,0,0.0,0.0,0,1,0,0,1,Matches
2411,Djibril Sidibé,fr FRA,DF,Monaco,fr Ligue 1,28,1992,22.0,1522,1826,83.4,29458,10342,533,596,89.4,786,886,88.7,179,300,59.7,2,2.5,-0.5,25,116,27,9,133,Matches
2412,Sidnei,br BRA,DF,Betis,es La Liga,30,1989,7.7,462,510,90.6,9771,2627,130,134,97.0,254,271,93.7,73,96,76.0,0,0.0,0.0,0,11,1,0,11,Matches
2413,Kaj Sierhuis,nl NED,FW,Reims,fr Ligue 1,22,1998,7.2,110,168,65.5,1905,417,59,82,72.0,36,54,66.7,13,22,59.1,1,0.6,+0.4,9,12,5,1,14,Matches
2414,Tim Siersleben,de GER,DF,Wolfsburg,de Bundesliga,20,2000,0.4,20,21,95.2,434,91,5,5,100.0,11,11,100.0,4,5,80.0,0,0.0,0.0,0,1,0,0,0,Matches
2415,Gylfi Sigurðsson,is ISL,MF,Everton,eng Premier League,30,1989,25.0,749,947,79.1,13596,3452,328,381,86.1,298,335,89.0,100,184,54.3,5,5.0,0.0,45,52,22,5,62,Matches
2416,Luca Siligardi,it ITA,MF,Crotone,it Serie A,32,1988,0.5,17,22,77.3,325,98,4,5,80.0,11,14,78.6,2,3,66.7,0,0.0,0.0,2,4,1,0,3,Matches
2417,Luca Siligardi,it ITA,FW,Parma,it Serie A,32,1988,0.4,15,22,68.2,244,19,9,12,75.0,5,5,100.0,1,4,25.0,0,0.0,0.0,1,0,0,0,0,Matches
2418,Adrien Silva,pt POR,MF,Sampdoria,it Serie A,31,1989,17.8,839,959,87.5,17222,4144,310,342,90.6,346,387,89.4,164,197,83.2,1,0.9,+0.1,10,80,8,0,66,Matches
2419,André Silva,pt POR,FW,Eint Frankfurt,de Bundesliga,24,1995,30.7,584,788,74.1,8590,1487,336,421,79.8,202,263,76.8,22,34,64.7,7,5.5,+1.5,29,33,17,3,46,Matches
2420,Bernardo Silva,pt POR,MFFW,Manchester City,eng Premier League,25,1994,22.9,1280,1427,89.7,21634,3378,636,676,94.1,490,534,91.8,119,152,78.3,6,3.7,+2.3,32,81,32,0,72,Matches
2421,Caio Henrique Oliveira Silva,br BRA,DF,Monaco,fr Ligue 1,23,1997,26.3,1186,1500,79.1,21251,6308,506,563,89.9,557,690,80.7,107,195,54.9,4,3.1,+0.9,28,56,44,13,111,Matches
2422,David Silva,es ESP,MF,Real Sociedad,es La Liga,34,1986,15.5,728,872,83.5,12809,3280,355,404,87.9,268,313,85.6,94,119,79.0,5,4.0,+1.0,29,79,50,1,102,Matches
2423,Fábio Silva,pt POR,FW,Wolves,eng Premier League,18,2002,15.2,227,306,74.2,3155,438,136,163,83.4,66,85,77.6,12,28,42.9,3,0.5,+2.5,11,8,6,0,17,Matches
2424,Florent da Silva,fr FRA,FW,Lyon,fr Ligue 1,17,2003,0.0,1,1,100.0,12,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
2425,Gabriel Silva,br BRA,DF,Saint-Étienne,fr Ligue 1,29,1991,3.9,192,230,83.5,3336,1175,98,106,92.5,68,81,84.0,20,31,64.5,0,0.2,-0.2,3,16,8,5,14,Matches
2426,Gastón Silva,uy URU,DF,Huesca,es La Liga,26,1994,6.7,282,325,86.8,6022,2032,85,92,92.4,141,152,92.8,53,76,69.7,0,0.0,0.0,1,24,1,0,24,Matches
2427,Rui Silva,pt POR,GK,Granada,es La Liga,26,1994,32.0,591,1075,55.0,23837,17571,70,70,100.0,197,201,98.0,321,800,40.1,0,0.0,0.0,1,31,1,0,0,Matches
2428,Thiago Silva,br BRA,DF,Chelsea,eng Premier League,35,1984,21.5,1749,1871,93.5,38049,11880,471,489,96.3,950,978,97.1,317,385,82.3,0,0.3,-0.3,5,113,7,0,78,Matches
2429,Marco Silvestri,it ITA,GK,Hellas Verona,it Serie A,29,1991,34.0,447,1002,44.6,17199,14240,62,63,98.4,143,147,97.3,242,791,30.6,0,0.0,0.0,0,13,1,0,0,Matches
2430,Mohamed Simakan,fr FRA,DF,Strasbourg,fr Ligue 1,20,2000,17.9,705,852,82.7,16589,5409,196,223,87.9,326,362,90.1,178,249,71.5,1,1.1,-0.1,4,66,11,1,62,Matches
2431,Giovanni Simeone,ar ARG,FW,Cagliari,it Serie A,25,1995,19.3,253,343,73.8,3721,418,131,162,80.9,93,123,75.6,14,22,63.6,2,1.2,+0.8,11,8,3,1,9,Matches
2432,Moses Simon,ng NGA,FWMF,Nantes,fr Ligue 1,25,1995,25.8,474,731,64.8,7543,2280,269,337,79.8,155,234,66.2,36,108,33.3,5,3.5,+1.5,32,25,25,11,45,Matches
2433,Unai Simón,es ESP,GK,Athletic Club,es La Liga,23,1997,37.0,750,1063,70.6,25811,17983,107,107,100.0,293,297,98.7,344,653,52.7,0,0.1,-0.1,1,16,1,0,2,Matches
2434,Xavi Simons,nl NED,MF,Paris S-G,fr Ligue 1,17,2003,0.0,6,8,75.0,89,14,4,5,80.0,0,0,,1,1,100.0,0,0.0,0.0,0,1,0,0,0,Matches
2435,Jóan Símun Edmundsson,fo FRO,MFFW,Arminia,de Bundesliga,29,1991,0.6,11,15,73.3,209,43,6,7,85.7,3,5,60.0,2,3,66.7,0,0.0,0.0,0,1,0,0,1,Matches
2436,Wilfried Singo,ci CIV,DF,Torino,it Serie A,19,2000,20.6,736,959,76.7,12478,4526,358,398,89.9,308,398,77.4,60,122,49.2,2,2.9,-0.9,23,34,21,9,66,Matches
2437,Daley Sinkgraven,nl NED,DF,Leverkusen,de Bundesliga,25,1995,17.4,1059,1291,82.0,20457,6197,419,469,89.3,472,537,87.9,152,236,64.4,0,0.7,-0.7,14,79,16,1,74,Matches
2438,Dimitris Siovas,gr GRE,DF,Huesca,es La Liga,31,1988,34.1,1515,1830,82.8,33983,9886,369,412,89.6,862,943,91.4,271,452,60.0,0,0.2,-0.2,3,77,1,0,76,Matches
2439,Tobias Sippel,de GER,GK,M'Gladbach,de Bundesliga,32,1988,3.8,96,147,65.3,3467,2488,17,17,100.0,30,31,96.8,49,99,49.5,0,0.0,0.0,0,2,0,0,0,Matches
2440,Salvatore Sirigu,it ITA,GK,Torino,it Serie A,33,1987,32.0,708,1012,70.0,20967,13380,167,169,98.8,242,248,97.6,285,579,49.2,0,0.0,0.0,0,14,0,0,0,Matches
2441,Issouf Sissokho,ml MLI,MF,Bordeaux,fr Ligue 1,18,2002,0.9,41,44,93.2,648,164,21,23,91.3,16,17,94.1,2,2,100.0,0,0.0,0.0,0,3,0,0,6,Matches
2442,Ibrahima Sissoko,fr FRA,MF,Strasbourg,fr Ligue 1,22,1997,28.7,941,1162,81.0,19465,5312,333,390,85.4,430,482,89.2,163,251,64.9,0,0.4,-0.4,5,103,13,4,106,Matches
2443,Moussa Sissoko,fr FRA,MF,Tottenham,eng Premier League,30,1989,17.6,666,792,84.1,11832,2567,295,339,87.0,285,317,89.9,71,105,67.6,0,0.5,-0.5,5,50,6,2,36,Matches
2444,Nelson Sissoko,fr FRA,DF,Saint-Étienne,fr Ligue 1,23,1997,5.3,208,280,74.3,4353,1482,82,101,81.2,76,101,75.2,47,71,66.2,0,0.0,0.0,2,14,0,0,15,Matches
2445,Antonio Sivera,es ESP,GK,Alavés,es La Liga,23,1996,0.8,10,22,45.5,361,285,2,2,100.0,3,3,100.0,5,17,29.4,0,0.0,0.0,0,0,0,0,0,Matches
2446,Jacques Siwe,fr FRA,FW,Dijon,fr Ligue 1,19,2001,1.9,23,34,67.6,287,29,15,21,71.4,7,9,77.8,0,1,0.0,0,0.2,-0.2,2,1,0,0,0,Matches
2447,Ellyes Skhiri,tn TUN,MF,Köln,de Bundesliga,25,1995,30.9,1318,1514,87.1,25955,7367,474,535,88.6,592,640,92.5,213,282,75.5,2,1.1,+0.9,17,82,19,3,103,Matches
2448,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,29,1991,28.0,749,966,77.5,18546,10343,186,187,99.5,295,300,98.3,224,433,51.7,0,0.0,0.0,0,3,0,0,1,Matches
2449,Andreas Skov Olsen,dk DEN,FWDF,Bologna,it Serie A,20,1999,13.1,419,555,75.5,6790,1848,217,250,86.8,149,190,78.4,37,80,46.3,3,2.1,+0.9,24,9,13,5,35,Matches
2450,Robert Skov,dk DEN,FWDF,Hoffenheim,de Bundesliga,24,1996,12.9,360,518,69.5,6820,1884,158,195,81.0,144,188,76.6,50,105,47.6,0,1.3,-1.3,15,18,17,5,41,Matches
2451,Milan Škriniar,sk SVK,DF,Inter,it Serie A,25,1995,30.9,2027,2193,92.4,39131,11303,742,777,95.5,1062,1118,95.0,211,270,78.1,0,0.4,-0.4,4,131,12,2,122,Matches
2452,Steven Skrzybski,de GER,FWDF,Schalke 04,de Bundesliga,27,1992,4.7,76,127,59.8,1450,516,32,45,71.1,32,45,71.1,11,23,47.8,0,0.1,-0.1,2,5,2,1,9,Matches
2453,Petar Škuletić,rs SRB,FWMF,Montpellier,fr Ligue 1,30,1990,2.6,41,72,56.9,543,86,26,40,65.0,13,25,52.0,1,4,25.0,0,0.4,-0.4,4,3,1,0,2,Matches
2454,Islam Slimani,dz ALG,FW,Leicester City,eng Premier League,32,1988,0.2,8,11,72.7,108,16,5,6,83.3,3,5,60.0,0,0,,0,0.0,0.0,1,0,0,0,1,Matches
2455,Islam Slimani,dz ALG,FW,Lyon,fr Ligue 1,32,1988,6.4,182,245,74.3,2511,621,104,132,78.8,56,75,74.7,8,12,66.7,1,1.5,-0.5,10,15,8,2,18,Matches
2456,William Smallbone,ie IRL,MF,Southampton,eng Premier League,20,2000,1.9,64,78,82.1,1113,243,28,31,90.3,31,34,91.2,4,11,36.4,0,0.0,0.0,0,4,1,0,5,Matches
2457,Chris Smalling,eng ENG,DF,Roma,it Serie A,30,1989,12.3,613,664,92.3,13151,3275,148,157,94.3,363,375,96.8,96,123,78.0,1,0.5,+0.5,2,19,0,0,12,Matches
2458,Emile Smith-Rowe,eng ENG,MFFW,Arsenal,eng Premier League,20,2000,16.0,635,724,87.7,9532,1794,349,386,90.4,237,259,91.5,30,40,75.0,4,3.0,+1.0,24,37,14,2,42,Matches
2459,Robert Snodgrass,sct SCO,MFFW,West Brom,eng Premier League,32,1987,5.8,105,133,78.9,1699,544,59,71,83.1,36,48,75.0,7,11,63.6,0,0.3,-0.3,3,9,5,0,15,Matches
2460,Robert Snodgrass,sct SCO,FWDF,West Ham,eng Premier League,32,1987,0.1,3,3,100.0,35,13,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
2461,Cédric Soares,pt POR,DF,Arsenal,eng Premier League,28,1991,8.3,351,463,75.8,5737,2100,199,227,87.7,118,155,76.1,30,62,48.4,1,0.9,+0.1,6,29,7,2,27,Matches
2462,Rafa Soares,pt POR,DF,Eibar,es La Liga,25,1995,12.6,490,702,69.8,9958,4833,193,222,86.9,213,289,73.7,79,163,48.5,1,1.2,-0.2,14,48,13,10,54,Matches
2463,Rubén Sobrino,es ESP,MFFW,Valencia,es La Liga,28,1992,0.5,17,23,73.9,228,46,12,13,92.3,2,4,50.0,2,3,66.7,0,0.0,0.0,1,0,0,0,0,Matches
2464,Rubén Sobrino,es ESP,FWMF,Cádiz,es La Liga,28,1992,12.4,187,257,72.8,2948,682,100,126,79.4,63,85,74.1,16,27,59.3,0,0.8,-0.8,9,15,3,0,15,Matches
2465,Simon Sohm,ch SUI,MF,Parma,it Serie A,19,2001,10.0,370,432,85.6,6782,1417,157,179,87.7,166,183,90.7,42,62,67.7,0,0.3,-0.3,5,26,3,0,34,Matches
2466,Augusto Solari,ar ARG,MF,Celta Vigo,es La Liga,28,1992,5.4,145,202,71.8,2348,790,78,97,80.4,44,59,74.6,16,31,51.6,2,1.3,+0.7,10,9,5,3,12,Matches
2467,Roberto Soldado,es ESP,FW,Granada,es La Liga,35,1985,16.0,216,347,62.2,3090,417,130,176,73.9,60,99,60.6,14,33,42.4,0,0.7,-0.7,8,13,5,1,12,Matches
2468,Carlos Soler,es ESP,MF,Valencia,es La Liga,23,1997,30.4,1286,1577,81.5,25704,7113,511,545,93.8,521,580,89.8,220,393,56.0,8,4.6,+3.4,44,158,23,0,126,Matches
2469,Yann Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,31,1988,30.1,1010,1239,81.5,26802,13362,211,212,99.5,468,472,99.2,321,544,59.0,0,0.0,0.0,0,1,0,0,2,Matches
2470,Son,es ESP,DF,Levante,es La Liga,26,1994,12.3,485,637,76.1,9205,3330,206,245,84.1,206,243,84.8,65,115,56.5,0,1.2,-1.2,18,27,28,15,70,Matches
2471,Brandon Soppy,fr FRA,DF,Rennes,fr Ligue 1,18,2002,6.2,323,406,79.6,5516,1836,157,175,89.7,131,156,84.0,31,59,52.5,0,0.1,-0.1,2,15,6,2,26,Matches
2472,David Soria,es ESP,GK,Getafe,es La Liga,27,1993,28.0,401,856,46.8,21010,17595,12,12,100.0,61,61,100.0,326,780,41.8,0,0.1,-0.1,1,54,2,0,0,Matches
2473,Roberto Soriano,it ITA,MF,Bologna,it Serie A,29,1991,36.1,1232,1517,81.2,19954,6232,635,739,85.9,456,539,84.6,100,146,68.5,6,6.4,-0.4,48,108,51,5,172,Matches
2474,Alberto Soro,es ESP,FWMF,Granada,es La Liga,21,1999,4.4,94,129,72.9,1534,352,52,64,81.3,30,35,85.7,10,24,41.7,2,0.4,+1.6,6,4,5,1,12,Matches
2475,Borna Sosa,hr CRO,DF,Stuttgart,de Bundesliga,22,1998,22.7,908,1289,70.4,15878,6758,451,516,87.4,344,458,75.1,98,259,37.8,9,5.9,+3.1,57,53,44,28,99,Matches
2476,Hugo Sotelo,es ESP,MF,Celta Vigo,es La Liga,16,2003,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
2477,Florian Sotoca,fr FRA,FW,Lens,fr Ligue 1,29,1990,26.8,654,920,71.1,11827,2299,313,417,75.1,234,308,76.0,89,136,65.4,3,3.6,-0.6,24,47,26,5,83,Matches
2478,Riccardo Sottil,it ITA,MFFW,Cagliari,it Serie A,21,1999,13.2,292,390,74.9,5572,1216,132,158,83.5,113,153,73.9,42,59,71.2,1,1.8,-0.8,17,19,25,4,38,Matches
2479,Cheick Souaré,fr FRA,MF,Marseille,fr Ligue 1,17,2002,0.1,2,3,66.7,60,15,1,1,100.0,0,0,,1,1,100.0,0,0.0,0.0,0,0,1,0,1,Matches
2480,Tomáš Souček,cz CZE,MF,West Ham,eng Premier League,25,1995,38.0,1184,1539,76.9,21845,5546,525,667,78.7,467,598,78.1,164,216,75.9,1,1.5,-0.5,16,102,11,2,103,Matches
2481,Rayan Souici,fr FRA,DF,Saint-Étienne,fr Ligue 1,22,1998,0.1,7,8,87.5,184,65,1,1,100.0,4,5,80.0,2,2,100.0,0,0.0,0.0,0,0,0,0,1,Matches
2482,Cebio Soukou,bj BEN,FWMF,Arminia,de Bundesliga,27,1992,5.1,101,115,87.8,1669,288,46,50,92.0,39,44,88.6,10,13,76.9,0,0.1,-0.1,4,5,3,1,11,Matches
2483,Adama Soumaoro,fr FRA,DF,Bologna,it Serie A,28,1992,19.5,819,894,91.6,16043,4631,276,299,92.3,425,443,95.9,109,135,80.7,0,0.1,-0.1,2,22,0,0,35,Matches
2484,Adama Soumaoro,fr FRA,DF,Lille,fr Ligue 1,28,1992,1.6,116,121,95.9,2764,744,22,24,91.7,70,71,98.6,23,25,92.0,0,0.0,0.0,0,2,0,0,1,Matches
2485,Boubakary Soumaré,fr FRA,MF,Lille,fr Ligue 1,21,1999,21.3,1368,1575,86.9,26443,6644,551,619,89.0,605,677,89.4,190,252,75.4,1,1.2,-0.2,15,185,7,2,149,Matches
2486,Yaya Soumaré,fr FRA,FW,Lyon,fr Ligue 1,20,2000,0.0,1,1,100.0,17,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
2487,Arnaud Souquet,fr FRA,DF,Montpellier,fr Ligue 1,28,1992,13.6,486,648,75.0,8253,3914,226,262,86.3,205,265,77.4,44,88,50.0,1,0.5,+0.5,9,26,21,13,51,Matches
2488,Ansou Sow,fr FRA,MF,Lens,fr Ligue 1,20,2000,0.1,1,2,50.0,9,0,1,1,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
2489,Djibril Sow,ch SUI,MF,Eint Frankfurt,de Bundesliga,23,1997,24.2,1075,1215,88.5,19259,4660,479,522,91.8,474,530,89.4,110,138,79.7,2,1.6,+0.4,19,70,12,0,114,Matches
2490,Saidou Sow,gn GUI,DF,Saint-Étienne,fr Ligue 1,18,2002,11.1,483,561,86.1,10429,3542,129,140,92.1,261,279,93.5,86,127,67.7,0,0.1,-0.1,1,15,1,0,25,Matches
2491,Çağlar Söyüncü,tr TUR,DF,Leicester City,eng Premier League,24,1996,20.2,1202,1351,89.0,22877,6879,436,468,93.2,639,683,93.6,115,179,64.2,0,0.2,-0.2,4,74,5,3,72,Matches
2492,Leonardo Spinazzola,it ITA,DF,Roma,it Serie A,27,1993,23.6,1014,1283,79.0,18575,5764,441,508,86.8,454,538,84.4,108,181,59.7,4,5.0,-1.0,36,68,42,21,114,Matches
2493,Marco Sportiello,it ITA,GK,Atalanta,it Serie A,28,1992,14.0,314,375,83.7,8559,4632,52,52,100.0,160,161,99.4,99,159,62.3,0,0.0,0.0,0,0,0,0,0,Matches
2494,Mattia Sprocati,it ITA,FW,Parma,it Serie A,27,1993,0.2,5,5,100.0,85,7,2,2,100.0,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
2495,Jerry St. Juste,nl NED,DF,Mainz 05,de Bundesliga,23,1996,32.0,1094,1342,81.5,24141,8655,296,344,86.0,573,625,91.7,216,337,64.1,1,0.2,+0.8,5,77,15,3,103,Matches
2496,Benjamin Stambouli,fr FRA,MFDF,Schalke 04,de Bundesliga,29,1990,21.7,775,1035,74.9,16890,6491,222,269,82.5,404,477,84.7,138,258,53.5,2,0.5,+1.5,8,66,9,0,81,Matches
2497,Josip Stanišić,de GER,DF,Bayern Munich,de Bundesliga,20,2000,1.0,55,61,90.2,1134,280,17,18,94.4,31,34,91.2,7,7,100.0,0,0.0,0.0,0,2,0,0,4,Matches
2498,Niklas Stark,de GER,DFMF,Hertha BSC,de Bundesliga,25,1995,31.0,1290,1520,84.9,30828,8379,237,280,84.6,716,787,91.0,331,431,76.8,0,0.2,-0.2,4,86,11,0,106,Matches
2499,Renato Steffen,ch SUI,FWMF,Wolfsburg,de Bundesliga,28,1991,17.4,481,661,72.8,8369,2196,239,293,81.6,178,239,74.5,53,95,55.8,4,2.5,+1.5,19,47,22,7,58,Matches
2500,Zack Steffen,us USA,GK,Manchester City,eng Premier League,25,1995,1.0,23,28,82.1,512,236,8,8,100.0,8,8,100.0,7,12,58.3,0,0.0,0.0,0,0,0,0,0,Matches
2501,Pascal Stenzel,de GER,DF,Stuttgart,de Bundesliga,24,1996,14.2,958,1115,85.9,20536,7498,291,319,91.2,483,529,91.3,177,246,72.0,1,0.3,+0.7,3,58,3,1,61,Matches
2502,Dale Stephens,eng ENG,MF,Burnley,eng Premier League,31,1989,2.9,103,124,83.1,1894,528,44,49,89.8,39,46,84.8,17,23,73.9,0,0.0,0.0,0,7,3,0,12,Matches
2503,Jack Stephens,eng ENG,DF,Southampton,eng Premier League,26,1994,17.1,845,1016,83.2,17222,6271,280,317,88.3,439,490,89.6,117,187,62.6,0,0.5,-0.5,8,67,11,0,60,Matches
2504,Raheem Sterling,eng ENG,FW,Manchester City,eng Premier League,25,1994,28.2,962,1127,85.4,12874,2421,637,699,91.1,255,286,89.2,31,50,62.0,7,4.8,+2.2,38,38,29,5,62,Matches
2505,Enda Stevens,ie IRL,DF,Sheffield Utd,eng Premier League,30,1990,30.0,1106,1427,77.5,19176,8176,557,610,91.3,424,529,80.2,112,238,47.1,1,1.6,-0.6,18,88,30,8,116,Matches
2506,Lars Stindl,de GER,MFFW,M'Gladbach,de Bundesliga,31,1988,21.8,860,1049,82.0,14563,3329,437,503,86.9,289,354,81.6,100,135,74.1,8,5.6,+2.4,44,69,21,4,87,Matches
2507,Kevin Stöger,at AUT,MFFW,Mainz 05,de Bundesliga,26,1993,6.0,273,393,69.5,5108,1683,124,149,83.2,103,147,70.1,41,85,48.2,0,0.9,-0.9,10,25,9,4,32,Matches
2508,John Stones,eng ENG,DF,Manchester City,eng Premier League,26,1994,21.5,1615,1713,94.3,31552,7992,594,620,95.8,796,822,96.8,210,245,85.7,0,0.1,-0.1,2,113,4,0,75,Matches
2509,Thomas Strakosha,al ALB,GK,Lazio,it Serie A,25,1995,9.0,287,344,83.4,7308,4744,79,79,100.0,104,105,99.0,97,153,63.4,0,0.0,0.0,0,3,0,0,1,Matches
2510,Tobias Strobl,de GER,MF,Augsburg,de Bundesliga,30,1990,20.5,677,834,81.2,13071,3661,298,336,88.7,267,317,84.2,101,146,69.2,0,0.9,-0.9,14,59,9,1,72,Matches
2511,Kevin Strootman,nl NED,MF,Genoa,it Serie A,30,1990,14.6,691,854,80.9,12443,3313,315,362,87.0,294,335,87.8,74,126,58.7,4,2.4,+1.6,23,73,17,4,61,Matches
2512,Kevin Strootman,nl NED,MF,Marseille,fr Ligue 1,30,1990,2.6,152,180,84.4,3030,787,59,66,89.4,59,66,89.4,30,42,71.4,0,0.3,-0.3,3,18,1,0,18,Matches
2513,Pascal Struijk,nl NED,DFMF,Leeds United,eng Premier League,20,1999,23.1,1097,1259,87.1,24438,6594,275,306,89.9,616,660,93.3,196,272,72.1,0,0.2,-0.2,5,48,2,0,47,Matches
2514,Jens Stryger Larsen,dk DEN,DF,Udinese,it Serie A,29,1991,29.3,1056,1343,78.6,17732,7710,538,596,90.3,400,497,80.5,92,193,47.7,0,1.0,-1.0,11,69,24,8,109,Matches
2515,Stefano Sturaro,it ITA,MF,Hellas Verona,it Serie A,27,1993,4.7,137,183,74.9,2675,551,52,66,78.8,59,75,78.7,22,31,71.0,0,0.0,0.0,0,8,3,1,9,Matches
2516,Stefano Sturaro,it ITA,MF,Genoa,it Serie A,27,1993,4.9,173,245,70.6,3407,694,67,86,77.9,78,95,82.1,25,52,48.1,0,0.2,-0.2,4,7,2,1,17,Matches
2517,Damián Suárez,uy URU,DF,Getafe,es La Liga,32,1988,27.0,855,1293,66.1,17440,10003,317,390,81.3,393,547,71.8,133,312,42.6,0,0.7,-0.7,18,114,25,13,138,Matches
