,,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1232,Joaquín,es ESP,FWMF,Betis,es La Liga,39,1981,14.3,7,5,2,4,1,3,12,25.0,9,152,35,23.0,33,76,43,18,1,0,17,14,21,10,0,Matches
1233,John Joe,ie IRL,MFDF,Getafe,es La Liga,16,2003,0.7,1,1,0,1,0,0,0,,0,24,4,16.7,4,17,3,1,0,0,1,1,2,0,0,Matches
1234,Joelinton,br BRA,FWMF,Newcastle Utd,eng Premier League,23,1996,22.0,44,26,10,27,7,13,38,34.2,25,394,96,24.4,88,199,107,37,4,0,33,20,64,21,0,Matches
1235,Marco John,de GER,DF,Hoffenheim,de Bundesliga,18,2002,11.1,18,12,7,8,3,5,19,26.3,14,145,54,37.2,49,63,33,31,1,0,30,13,31,20,0,Matches
1236,Ben Johnson,eng ENG,DF,West Ham,eng Premier League,20,2000,5.8,9,3,7,0,2,5,9,55.6,4,81,13,16.0,45,22,14,10,2,1,8,11,20,14,0,Matches
1237,Sam Johnstone,eng ENG,GK,West Brom,eng Premier League,27,1993,37.0,0,0,0,0,0,0,0,,0,3,2,66.7,3,0,0,1,0,0,1,0,0,0,1,Matches
1238,Curtis Jones,eng ENG,MF,Liverpool,eng Premier League,19,2001,13.1,21,16,8,8,5,10,23,43.5,13,234,70,29.9,51,110,73,18,0,0,18,17,38,10,1,Matches
1239,Frenkie de Jong,nl NED,MFDF,Barcelona,es La Liga,23,1997,35.0,41,26,19,18,4,11,37,29.7,26,360,114,31.7,99,183,78,32,3,0,29,37,78,31,1,Matches
1240,Luuk de Jong,nl NED,FW,Sevilla,es La Liga,29,1990,14.1,10,5,4,3,3,1,5,20.0,4,194,62,32.0,13,86,95,12,3,0,9,3,13,14,0,Matches
1241,Jony,es ESP,MFFW,Osasuna,es La Liga,29,1991,9.7,6,6,1,3,2,3,14,21.4,11,119,31,26.1,22,53,44,8,0,0,8,11,17,3,0,Matches
1242,Joan Jordán,es ESP,MF,Sevilla,es La Liga,26,1994,26.7,50,28,15,28,7,18,78,23.1,60,480,128,26.7,113,290,77,28,1,0,27,19,69,35,1,Matches
1243,Jorginho,it ITA,MF,Chelsea,eng Premier League,28,1991,22.3,59,38,25,28,6,22,73,30.1,51,467,165,35.3,169,241,57,42,5,0,37,51,110,21,1,Matches
1244,Josan,es ESP,MFDF,Elche,es La Liga,30,1989,21.4,40,26,26,14,0,10,36,27.8,26,282,67,23.8,122,111,49,35,2,0,33,21,61,28,1,Matches
1245,Willian José,br BRA,FW,Wolves,eng Premier League,28,1991,12.3,2,2,0,1,1,0,4,0.0,4,119,32,26.9,5,63,51,7,1,0,6,7,9,10,0,Matches
1246,Willian José,br BRA,FW,Real Sociedad,es La Liga,28,1991,7.7,4,4,0,4,0,2,4,50.0,2,100,35,35.0,3,37,60,5,1,0,4,1,5,5,0,Matches
1247,Joselu,es ESP,FW,Alavés,es La Liga,30,1990,33.6,29,21,10,16,3,7,28,25.0,21,560,131,23.4,52,275,233,37,6,0,31,17,46,56,0,Matches
1248,Josema,es ESP,DF,Elche,es La Liga,24,1996,21.8,49,29,37,12,0,7,18,38.9,11,241,83,34.4,160,68,13,42,10,0,32,34,83,98,0,Matches
1249,Jota,pt POR,FW,Valladolid,es La Liga,21,1999,7.4,,3,,,,,,,,,,,,,,,,,,5,,,,Matches
1250,Jota,es ESP,MF,Alavés,es La Liga,29,1991,15.5,23,14,8,10,5,4,24,16.7,20,306,73,23.9,78,157,71,16,0,0,16,16,39,11,0,Matches
1251,Diogo Jota,pt POR,FW,Liverpool,eng Premier League,23,1996,12.4,14,10,4,7,3,5,35,14.3,30,296,75,25.3,59,105,132,12,1,0,11,8,22,4,0,Matches
1252,Stevan Jovetić,me MNE,FWMF,Monaco,fr Ligue 1,30,1989,8.9,13,9,3,7,3,4,14,28.6,10,132,44,33.3,18,53,61,4,0,0,4,7,20,8,0,Matches
1253,Luka Jović,rs SRB,FWMF,Real Madrid,es La Liga,22,1997,1.7,0,0,0,0,0,0,0,,0,15,2,13.3,2,2,11,0,0,0,0,0,0,0,0,Matches
1254,Luka Jović,rs SRB,FWMF,Eint Frankfurt,de Bundesliga,22,1997,9.9,4,4,0,2,2,1,5,20.0,4,99,26,26.3,5,38,56,5,0,0,5,1,5,4,0,Matches
1255,Juanmi,es ESP,FWMF,Betis,es La Liga,27,1993,6.7,11,8,2,4,5,5,16,31.3,11,134,39,29.1,21,63,50,3,0,0,3,3,14,2,1,Matches
1256,Hamed Junior Traorè,ci CIV,FWMF,Sassuolo,it Serie A,20,2000,19.9,37,24,14,12,11,14,32,43.8,18,344,104,30.2,78,151,115,20,4,1,16,18,55,14,1,Matches
1257,Vinicius Júnior,br BRA,FW,Real Madrid,es La Liga,20,2000,21.9,34,24,15,9,10,9,45,20.0,36,445,119,26.7,109,175,161,40,2,0,38,8,42,7,0,Matches
1258,James Justin,eng ENG,DF,Leicester City,eng Premier League,22,1998,23.0,63,28,41,18,4,17,43,39.5,26,347,110,31.7,183,107,57,54,11,0,43,25,88,64,0,Matches
1259,Musa Juwara,gm GAM,DF,Bologna,it Serie A,18,2001,0.5,3,0,2,1,0,2,3,66.7,1,7,1,14.3,3,3,1,0,0,0,0,0,3,0,0,Matches
1260,Jens Jønsson,dk DEN,MF,Cádiz,es La Liga,27,1993,29.1,56,41,29,24,3,17,44,38.6,27,480,143,29.8,179,249,52,52,9,0,43,47,103,51,0,Matches
1261,Ozan Kabak,tr TUR,DF,Liverpool,eng Premier League,20,2000,8.9,19,10,12,4,3,2,7,28.6,5,103,41,39.8,58,40,5,5,3,0,2,12,31,49,1,Matches
1262,Ozan Kabak,tr TUR,DF,Schalke 04,de Bundesliga,20,2000,13.8,20,11,15,4,1,6,16,37.5,10,151,47,31.1,104,42,5,30,14,0,16,16,36,76,2,Matches
1263,Abdoul Kader Bamba,fr FRA,FWMF,Nantes,fr Ligue 1,26,1994,10.2,19,13,7,8,4,6,15,40.0,9,154,50,32.5,41,79,34,13,0,0,13,7,26,3,0,Matches
1264,Pavel Kadeřábek,cz CZE,DF,Hoffenheim,de Bundesliga,28,1992,17.6,21,15,9,6,6,8,23,34.8,15,141,39,27.7,41,56,44,19,3,0,16,17,38,34,0,Matches
1265,Tino Kadewere,zw ZIM,FW,Lyon,fr Ligue 1,24,1996,22.3,39,25,16,16,7,12,36,33.3,24,328,101,30.8,82,128,118,29,6,0,23,24,63,24,0,Matches
1266,Damian Kądzior,pl POL,FWMF,Eibar,es La Liga,28,1992,2.2,1,1,0,1,0,1,6,16.7,5,34,8,23.5,4,15,15,1,0,0,1,0,1,0,0,Matches
1267,Florian Kainz,at AUT,FWMF,Köln,de Bundesliga,27,1992,5.0,5,4,1,3,1,0,4,0.0,4,58,17,29.3,10,27,21,8,0,0,8,5,10,5,0,Matches
1268,Gaël Kakuta,cd COD,MFFW,Lens,fr Ligue 1,29,1991,26.6,42,27,8,21,13,8,35,22.9,27,484,129,26.7,84,282,118,29,4,0,25,23,65,8,0,Matches
1269,Sasa Kalajdzic,at AUT,FW,Stuttgart,de Bundesliga,23,1997,23.7,15,6,2,6,7,1,22,4.5,21,388,99,25.5,17,154,217,19,3,0,16,7,22,17,0,Matches
1270,Arnaud Kalimuendo,fr FRA,FW,Paris S-G,fr Ligue 1,18,2002,0.8,0,0,0,0,0,0,0,,0,4,1,25.0,0,3,1,0,0,0,0,0,0,0,0,Matches
1271,Arnaud Kalimuendo,fr FRA,FW,Lens,fr Ligue 1,18,2002,13.5,7,5,4,1,2,2,12,16.7,10,211,56,26.5,21,91,99,8,0,0,8,1,8,2,0,Matches
1272,Nikola Kalinić,hr CRO,FW,Hellas Verona,it Serie A,32,1988,11.8,2,1,1,1,0,0,3,0.0,3,133,38,28.6,7,34,92,4,0,0,4,1,3,6,0,Matches
1273,Yayah Kallon,sl SLE,MFFW,Genoa,it Serie A,19,2001,0.5,0,0,0,0,0,0,0,,0,6,0,0.0,1,3,2,0,0,0,0,0,0,0,0,Matches
1274,Samuel Kalu,ng NGA,FWMF,Bordeaux,fr Ligue 1,22,1997,10.7,26,18,11,10,5,6,15,40.0,9,160,58,36.3,36,64,60,18,0,0,18,9,35,3,0,Matches
1275,Pierre Kalulu,fr FRA,DF,Milan,it Serie A,20,2000,8.1,21,13,11,7,3,5,9,55.6,4,127,39,30.7,61,50,16,14,4,0,10,15,36,25,0,Matches
1276,Daichi Kamada,jp JPN,MFFW,Eint Frankfurt,de Bundesliga,23,1996,26.2,52,29,24,17,11,20,63,31.7,43,523,157,30.0,89,259,175,31,2,0,29,26,78,23,0,Matches
1277,Aboubakar Kamara,mr MTN,FWMF,Dijon,fr Ligue 1,25,1995,6.2,3,3,1,1,1,0,6,0.0,6,113,21,18.6,10,58,45,1,0,0,1,1,4,3,0,Matches
1278,Aboubakar Kamara,mr MTN,FWDF,Fulham,eng Premier League,25,1995,3.5,2,2,2,0,0,1,5,20.0,4,71,13,18.3,13,27,31,10,1,0,9,2,4,2,0,Matches
1279,Bingourou Kamara,sn SEN,GK,Strasbourg,fr Ligue 1,23,1996,8.0,0,0,0,0,0,0,2,0.0,2,3,0,0.0,3,0,0,0,0,0,0,0,0,0,0,Matches
1280,Boubacar Kamara,fr FRA,MF,Marseille,fr Ligue 1,20,1999,32.2,98,69,38,50,10,35,84,41.7,49,533,186,34.9,163,314,56,57,14,0,43,34,132,71,0,Matches
1281,Hassane Kamara,ci CIV,DF,Nice,fr Ligue 1,25,1994,32.9,67,27,37,22,8,26,58,44.8,32,368,95,25.8,149,133,86,62,9,0,53,43,110,75,1,Matches
1282,Marcin Kamiński,pl POL,DF,Stuttgart,de Bundesliga,28,1992,2.4,1,1,0,0,1,0,0,,0,9,3,33.3,5,4,0,4,1,0,3,1,2,14,0,Matches
1283,Kevin Kampl,si SVN,MF,RB Leipzig,de Bundesliga,29,1990,21.5,50,42,17,27,6,12,32,37.5,20,391,153,39.1,105,226,60,30,3,0,27,30,80,22,0,Matches
1284,Harry Kane,eng ENG,FW,Tottenham,eng Premier League,27,1993,34.2,18,12,3,12,3,5,20,25.0,15,391,99,25.3,21,190,180,30,13,1,17,15,33,41,0,Matches
1285,Wilfried Kanga,fr FRA,FW,Angers,fr Ligue 1,22,1998,1.5,0,0,0,0,0,0,2,0.0,2,27,4,14.8,2,10,15,1,0,0,1,0,0,2,0,Matches
1286,Lee Kangin,kr KOR,FWMF,Valencia,es La Liga,19,2001,14.0,18,13,9,5,4,5,32,15.6,27,321,73,22.7,59,171,91,10,0,0,10,2,20,1,0,Matches
1287,N'Golo Kanté,fr FRA,MF,Chelsea,eng Premier League,29,1991,23.8,87,57,42,40,5,29,60,48.3,31,478,164,34.3,201,213,64,62,5,0,57,62,149,32,0,Matches
1288,Jimmy Kaparos,de GER,MF,Schalke 04,de Bundesliga,18,2001,0.2,0,0,0,0,0,0,1,0.0,1,4,0,0.0,3,1,0,0,0,0,0,0,0,0,0,Matches
1289,Yann Karamoh,fr FRA,FWMF,Parma,it Serie A,22,1998,14.4,26,20,9,12,5,10,24,41.7,14,239,62,25.9,48,108,83,11,1,0,10,7,33,7,0,Matches
1290,Isaac Karamoko,fr FRA,DF,Sassuolo,it Serie A,18,2002,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1291,Atakan Karazor,de GER,DFMF,Stuttgart,de Bundesliga,23,1996,11.5,23,14,14,9,0,10,19,52.6,9,176,67,38.1,90,68,18,22,6,0,16,18,41,62,1,Matches
1292,Augustus Kargbo,sl SLE,FW,Crotone,it Serie A,20,1999,0.4,1,1,0,0,1,0,1,0.0,1,20,6,30.0,1,5,14,0,0,0,0,0,1,0,0,Matches
1293,Loris Karius,de GER,GK,Union Berlin,de Bundesliga,27,1993,3.2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1294,Rick Karsdorp,nl NED,DF,Roma,it Serie A,25,1995,28.3,46,29,22,20,4,13,46,28.3,33,328,99,30.2,125,126,77,28,1,0,27,33,79,33,0,Matches
1295,Noah Katterbach,de GER,DF,Köln,de Bundesliga,19,2001,12.3,22,15,14,6,2,5,22,22.7,17,144,46,31.9,73,57,14,15,2,1,13,11,33,29,0,Matches
1296,Eiji Kawashima,jp JPN,GK,Strasbourg,fr Ligue 1,37,1983,24.0,0,0,0,0,0,0,1,0.0,1,4,1,25.0,4,0,0,0,0,0,0,0,0,0,1,Matches
1297,Moise Kean,it ITA,FW,Everton,eng Premier League,20,2000,0.2,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,Matches
1298,Moise Kean,it ITA,FW,Paris S-G,fr Ligue 1,20,2000,18.9,10,9,1,7,2,3,14,21.4,11,177,51,28.8,22,64,91,10,2,0,8,7,17,7,0,Matches
1299,Michael Keane,eng ENG,DF,Everton,eng Premier League,27,1993,33.2,31,15,23,6,2,12,34,35.3,22,204,70,34.3,131,64,9,74,38,0,36,43,74,198,2,Matches
1300,Neeskens Kebano,cd COD,FWMF,Fulham,eng Premier League,28,1992,1.3,1,1,1,0,0,1,3,33.3,2,30,9,30.0,4,13,13,5,0,0,5,0,1,1,0,Matches
1301,Thilo Kehrer,de GER,DF,Paris S-G,fr Ligue 1,23,1996,18.0,28,16,17,9,2,8,22,36.4,14,202,74,36.6,85,92,25,25,4,0,21,17,45,47,2,Matches
1302,Habib Keita,ml MLI,MF,Lyon,fr Ligue 1,18,2002,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,2,2,0,0,Matches
1303,Naby Keïta,gn GUI,MF,Liverpool,eng Premier League,25,1995,5.8,7,5,4,2,1,2,18,11.1,16,144,37,25.7,18,75,51,11,0,0,11,12,19,6,0,Matches
1304,Yannik Keitel,de GER,MF,Freiburg,de Bundesliga,20,2000,5.5,13,8,6,6,1,4,7,57.1,3,89,30,33.7,35,40,14,9,2,0,7,10,23,11,0,Matches
1305,Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,21,1998,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1306,Stephane Keller,cm CMR,DF,Alavés,es La Liga,18,2001,0.2,1,1,0,1,0,0,0,,0,2,1,50.0,1,1,0,1,0,0,1,0,1,0,0,Matches
1307,Martin Kelly,eng ENG,DF,Crystal Palace,eng Premier League,30,1990,0.0,1,0,1,0,0,1,1,100.0,0,3,2,66.7,2,1,0,0,0,0,0,0,1,1,0,Matches
1308,Marc-Oliver Kempf,de GER,DF,Stuttgart,de Bundesliga,25,1995,30.3,63,42,46,13,4,25,51,49.0,26,286,102,35.7,165,105,16,65,31,0,34,52,115,132,1,Matches
1309,Kenedy,br BRA,FWMF,Granada,es La Liga,24,1996,16.3,28,18,15,8,5,4,25,16.0,21,258,64,24.8,80,96,82,32,4,0,28,21,49,16,1,Matches
1310,Jonjoe Kenny,eng ENG,DF,Everton,eng Premier League,23,1997,0.9,1,0,1,0,0,0,1,0.0,1,11,1,9.1,4,4,3,2,0,0,2,1,2,1,0,Matches
1311,Franck Kessié,ci CIV,MF,Milan,it Serie A,23,1996,35.8,72,44,45,19,8,26,42,61.9,16,535,160,29.9,171,278,86,75,18,0,57,43,115,59,0,Matches
1312,Reda Khadra,de GER,FW,Brighton,eng Premier League,19,2001,0.1,0,0,0,0,0,0,0,,0,1,1,100.0,0,0,1,0,0,0,0,0,0,0,0,Matches
1313,Omar Khailoti,it ITA,DF,Bologna,it Serie A,18,2001,0.3,0,0,0,0,0,0,0,,0,2,1,50.0,1,0,1,2,0,0,2,0,0,0,0,Matches
1314,Saîf-Eddine Khaoui,tn TUN,FWMF,Marseille,fr Ligue 1,25,1995,6.7,16,10,8,3,5,6,15,40.0,9,131,36,27.5,43,58,30,13,0,0,13,18,34,7,0,Matches
1315,Wahbi Khazri,tn TUN,FW,Saint-Étienne,fr Ligue 1,29,1991,13.1,23,11,11,7,5,9,24,37.5,15,236,79,33.5,29,101,106,11,1,0,10,6,29,9,0,Matches
1316,Rani Khedira,de GER,MF,Augsburg,de Bundesliga,26,1994,20.2,36,20,16,18,2,9,24,37.5,15,336,98,29.2,106,184,46,26,6,0,20,23,59,57,0,Matches
1317,Sami Khedira,de GER,MF,Hertha BSC,de Bundesliga,33,1987,4.4,10,8,3,5,2,5,11,45.5,6,66,22,33.3,22,30,14,5,1,0,4,10,20,9,1,Matches
1318,Kike,es ESP,FW,Eibar,es La Liga,30,1989,34.3,26,22,7,11,8,3,25,12.0,22,556,178,32.0,32,209,315,35,4,0,31,8,34,26,0,Matches
1319,Luca Kilian,de GER,DF,Mainz 05,de Bundesliga,20,1999,4.2,14,4,10,3,1,2,10,20.0,8,38,17,44.7,22,15,1,6,2,0,4,1,15,15,1,Matches
1320,Max Kilman,eng ENG,DF,Wolves,eng Premier League,23,1997,14.6,27,20,21,3,3,10,20,50.0,10,148,44,29.7,105,36,7,20,9,0,11,18,45,58,0,Matches
1321,Joshua Kimmich,de GER,MF,Bayern Munich,de Bundesliga,25,1995,24.4,45,34,16,23,6,16,62,25.8,46,429,137,31.9,126,223,80,34,5,0,29,41,86,26,0,Matches
1322,Presnel Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,24,1995,25.6,53,33,25,26,2,12,20,60.0,8,218,72,33.0,108,90,20,34,14,0,20,34,87,94,2,Matches
1323,Joshua King,no NOR,MFFW,Everton,eng Premier League,28,1992,1.6,4,1,2,0,2,1,1,100.0,0,44,11,25.0,14,17,13,3,0,0,3,1,5,1,0,Matches
1324,Giorgos Kiriakopoulos,gr GRE,DF,Sassuolo,it Serie A,24,1996,16.2,46,26,27,12,7,15,32,46.9,17,206,62,30.1,94,74,38,30,6,0,24,14,60,44,1,Matches
1325,Simon Kjær,dk DEN,DF,Milan,it Serie A,31,1989,26.6,51,21,31,18,2,21,40,52.5,19,307,91,29.6,153,144,10,56,29,1,27,38,89,145,2,Matches
1326,Davy Klaassen,nl NED,MF,Werder Bremen,de Bundesliga,27,1993,2.5,3,2,1,1,1,0,2,0.0,2,59,20,33.9,9,35,15,9,1,0,8,2,5,0,0,Matches
1327,Felix Klaus,de GER,DFMF,Wolfsburg,de Bundesliga,27,1992,1.5,9,8,3,5,1,3,5,60.0,2,35,16,45.7,12,14,9,5,0,0,5,0,9,6,0,Matches
1328,Klauss,br BRA,FW,Hoffenheim,de Bundesliga,23,1997,0.6,0,0,0,0,0,0,1,0.0,1,11,4,36.4,0,3,8,0,0,0,0,0,0,0,0,Matches
1329,Ragnar Klavan,ee EST,DF,Cagliari,it Serie A,34,1985,8.6,16,5,8,7,1,6,9,66.7,3,105,29,27.6,62,39,4,13,5,0,8,7,23,41,0,Matches
1330,Philipp Klement,de GER,MFFW,Stuttgart,de Bundesliga,27,1992,4.7,9,5,6,1,2,3,12,25.0,9,106,27,25.5,44,38,24,8,2,0,6,5,14,11,0,Matches
1331,Mateusz Klich,pl POL,MF,Leeds United,eng Premier League,30,1990,26.6,52,43,19,25,8,10,59,16.9,49,570,165,28.9,129,319,122,21,4,0,17,17,69,23,0,Matches
1332,Mateo Klimowicz,de GER,FWMF,Stuttgart,de Bundesliga,20,2000,13.3,24,14,6,11,7,4,18,22.2,14,232,69,29.7,39,85,108,11,1,0,10,3,27,4,0,Matches
1333,Fabian Klos,de GER,FW,Arminia,de Bundesliga,32,1987,30.1,26,14,9,11,6,7,34,20.6,27,508,141,27.8,54,259,195,20,6,1,14,10,36,28,0,Matches
1334,Lukas Klostermann,de GER,DF,RB Leipzig,de Bundesliga,24,1996,16.1,26,13,14,9,3,8,19,42.1,11,178,73,41.0,76,76,26,33,8,0,25,19,45,53,0,Matches
1335,Justin Kluivert,nl NED,FW,RB Leipzig,de Bundesliga,21,1999,9.0,5,3,1,3,1,1,6,16.7,5,126,35,27.8,21,54,51,11,0,0,11,3,8,5,0,Matches
1336,Justin Kluivert,nl NED,FWMF,Roma,it Serie A,21,1999,0.2,0,0,0,0,0,0,0,,0,8,1,12.5,2,3,3,0,0,0,0,0,0,0,0,Matches
1337,Lukas Klünter,de GER,DF,Hertha BSC,de Bundesliga,24,1996,11.0,12,7,8,4,0,4,8,50.0,4,107,36,33.6,58,40,9,13,1,0,12,13,25,47,0,Matches
1338,Ansgar Knauff,de GER,FWMF,Dortmund,de Bundesliga,18,2002,0.8,1,0,0,1,0,0,1,0.0,1,21,3,14.3,6,13,2,2,1,0,1,1,2,2,0,Matches
1339,Robin Knoche,de GER,DF,Union Berlin,de Bundesliga,28,1992,33.8,50,34,33,16,1,18,40,45.0,22,346,133,38.4,216,112,18,59,29,1,30,43,93,192,2,Matches
1340,Gregor Kobel,ch SUI,GK,Stuttgart,de Bundesliga,22,1997,33.0,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,1,1,Matches
1341,Robin Koch,de GER,DFMF,Leeds United,eng Premier League,24,1996,12.6,29,18,16,13,0,12,24,50.0,12,183,48,26.2,91,80,12,31,14,0,17,13,42,40,2,Matches
1342,Giorgi Kochorashvili,ge GEO,MF,Levante,es La Liga,21,1999,0.3,0,0,0,0,0,0,0,,0,6,3,50.0,1,4,1,0,0,0,0,0,0,0,0,Matches
1343,Kenan Kodro,ba BIH,FW,Valladolid,es La Liga,26,1993,5.1,0,0,0,0,0,0,2,0.0,2,59,11,18.6,6,19,34,1,0,0,1,4,4,5,0,Matches
1344,Kenan Kodro,ba BIH,FWMF,Athletic Club,es La Liga,26,1993,0.5,0,0,0,0,0,0,1,0.0,1,9,1,11.1,1,4,4,0,0,0,0,0,0,0,0,Matches
1345,Dominik Kohr,de GER,MF,Mainz 05,de Bundesliga,26,1994,14.1,48,29,18,22,8,11,36,30.6,25,299,100,33.4,84,161,54,24,5,0,19,29,77,39,0,Matches
1346,Dominik Kohr,de GER,MFFW,Eint Frankfurt,de Bundesliga,26,1994,2.9,17,11,2,10,5,3,6,50.0,3,74,28,37.8,15,44,15,7,1,0,6,5,22,9,0,Matches
1347,Koba Koindredi,fr FRA,MF,Valencia,es La Liga,18,2001,0.2,2,2,1,1,0,0,1,0.0,1,4,3,75.0,1,3,0,0,0,0,0,0,2,1,0,Matches
1348,Koke,es ESP,MF,Atlético Madrid,es La Liga,28,1992,33.6,78,53,27,38,13,30,107,28.0,77,616,177,28.7,202,316,98,46,6,0,40,38,116,44,0,Matches
1349,Aleksandr Kokorin,ru RUS,FWMF,Fiorentina,it Serie A,29,1991,1.0,0,0,0,0,0,0,1,0.0,1,7,0,0.0,5,1,1,0,0,0,0,1,1,0,0,Matches
1350,Aleksandar Kolarov,rs SRB,DF,Inter,it Serie A,34,1985,4.3,7,5,2,4,1,1,2,50.0,1,37,14,37.8,10,23,4,3,0,0,3,2,9,9,0,Matches
1351,Sead Kolašinac,ba BIH,DF,Arsenal,eng Premier League,27,1993,1.0,0,0,0,0,0,0,0,,0,3,1,33.3,0,2,1,0,0,0,0,0,0,0,0,Matches
1352,Sead Kolašinac,ba BIH,DFMF,Schalke 04,de Bundesliga,27,1993,15.8,24,14,12,10,2,13,26,50.0,13,184,52,28.3,76,81,27,19,4,0,15,36,60,21,0,Matches
1353,Randal Kolo Muani,fr FRA,FW,Nantes,fr Ligue 1,21,1998,33.7,30,20,2,19,9,4,20,20.0,16,521,158,30.3,41,253,227,19,3,0,16,19,49,28,1,Matches
1354,Timothée Kolodziejczak,fr FRA,DF,Saint-Étienne,fr Ligue 1,28,1991,22.6,34,21,24,10,0,14,28,50.0,14,206,74,35.9,123,75,8,35,16,1,19,38,72,105,2,Matches
1355,Ghislain Konan,ci CIV,DF,Reims,fr Ligue 1,24,1995,29.0,69,40,36,24,9,25,47,53.2,22,266,85,32.0,128,101,37,51,10,0,41,32,101,81,0,Matches
1356,Ibrahima Konaté,fr FRA,DF,RB Leipzig,de Bundesliga,21,1999,7.7,10,5,6,4,0,2,7,28.6,5,56,15,26.8,25,29,2,10,4,0,6,10,20,41,0,Matches
1357,Moussa Konaté,sn SEN,FW,Dijon,fr Ligue 1,27,1993,13.3,6,2,1,5,0,3,18,16.7,15,153,40,26.1,8,97,48,12,1,0,11,6,12,7,0,Matches
1358,Geoffrey Kondogbia,cf CTA,MFFW,Atlético Madrid,es La Liga,27,1993,6.8,29,20,8,20,1,9,18,50.0,9,170,57,33.5,56,98,16,13,5,0,8,9,38,12,0,Matches
1359,Geoffrey Kondogbia,cf CTA,MF,Valencia,es La Liga,27,1993,4.9,15,10,7,7,1,5,15,33.3,10,118,37,31.4,49,64,5,4,1,0,3,4,19,13,0,Matches
1360,Lamine Koné,ci CIV,DF,Strasbourg,fr Ligue 1,31,1989,11.6,12,7,8,4,0,6,8,75.0,2,81,23,28.4,55,25,1,15,5,0,10,7,19,52,0,Matches
1361,Moussa Koné,sn SEN,FW,Nîmes,fr Ligue 1,23,1996,19.5,16,10,2,9,5,4,18,22.2,14,292,77,26.4,20,148,124,15,3,0,12,8,24,7,0,Matches
1362,Youssouf Koné,ml MLI,DFFW,Elche,es La Liga,25,1995,0.8,2,0,1,0,1,0,1,0.0,1,9,2,22.2,8,0,1,0,0,0,0,1,3,0,0,Matches
1363,Terence Kongolo,nl NED,DF,Fulham,eng Premier League,26,1994,1.0,4,4,1,3,0,0,0,,0,14,8,57.1,6,7,1,2,0,0,2,0,4,6,0,Matches
1364,Ezri Konsa,eng ENG,DF,Aston Villa,eng Premier League,22,1997,35.5,34,22,23,10,1,11,19,57.9,8,225,71,31.6,129,83,13,65,45,0,20,27,61,193,0,Matches
1365,Laurent Koscielny,fr FRA,DF,Bordeaux,fr Ligue 1,34,1985,24.6,27,18,19,7,1,11,20,55.0,9,172,80,46.5,110,57,5,53,35,0,18,40,67,139,1,Matches
1366,Filip Kostić,rs SRB,DF,Eint Frankfurt,de Bundesliga,27,1992,28.2,60,34,30,19,11,23,59,39.0,36,434,140,32.3,143,170,121,67,6,0,61,31,91,33,1,Matches
1367,Márk Kosznovszky,hu HUN,MF,Parma,it Serie A,18,2002,1.0,2,0,1,1,0,1,3,33.3,2,16,1,6.3,2,6,8,3,0,0,3,3,5,0,0,Matches
1368,Christian Kouamé,ci CIV,FW,Fiorentina,it Serie A,22,1997,11.1,16,11,3,4,9,5,13,38.5,8,179,46,25.7,25,65,89,5,0,0,5,4,20,4,0,Matches
1369,Nianzou Kouassi,fr FRA,DFMF,Bayern Munich,de Bundesliga,18,2002,1.3,2,1,2,0,0,1,1,100.0,0,9,3,33.3,5,4,0,0,0,0,0,1,3,8,0,Matches
1370,Kalidou Koulibaly,sn SEN,DF,Napoli,it Serie A,29,1991,24.5,45,29,27,16,2,17,36,47.2,19,249,101,40.6,144,89,16,54,28,1,26,30,75,98,2,Matches
1371,Jules Koundé,fr FRA,DF,Sevilla,es La Liga,21,1998,33.1,31,23,16,14,1,10,23,43.5,13,242,110,45.5,124,93,25,42,19,1,23,42,73,140,1,Matches
1372,Boubakar Kouyaté,ml MLI,DF,Metz,fr Ligue 1,23,1997,21.8,68,36,51,17,0,29,64,45.3,35,283,103,36.4,180,99,4,49,28,3,21,50,118,216,3,Matches
1373,Cheikhou Kouyaté,sn SEN,DF,Crystal Palace,eng Premier League,30,1989,34.7,70,36,53,14,3,26,45,57.8,19,350,109,31.1,230,102,18,62,28,0,34,38,108,162,2,Matches
